Analisando frase(s)... 

Melhores respostas:

Lista de triplas candidatas a resposta: 
0 13.667 [*elton_john | *musica | sim] - [12.000 0.667 1.000]
1 13.667 [gnomeu_e_julieta | *musica | *elton_john] - [12.000 0.667 1.000]
2 13.667 [versao_acustica_2 | *musica | *elton_john] - [12.000 0.667 1.000]
3 13.667 [a_change_of_seasons | *musica | *elton_john] - [12.000 0.667 1.000]
4 13.667 [mulheres_de_areia_(1993) | *musica | *elton_john] - [12.000 0.667 1.000]
5 13.667 [a_viagem_(1994) | *musica | *elton_john] - [12.000 0.667 1.000]
6 13.667 [boogie_oogie | *musica | *elton_john] - [12.000 0.667 1.000]
7 13.667 [de_corpo_e_alma_(telenovela) | *musica | *elton_john] - [12.000 0.667 1.000]
8 13.667 [o_caminho_para_el_dorado | *musica | *elton_john] - [12.000 0.667 1.000]
9 13.022 [*elton_john | instrumento | *teclado_(instrumento_musical)] - [11.355 0.667 1.000]
10 11.333 [the_lion_king_(trilha_sonora) | extra | *elton_john] - [10.000 0.333 1.000]
11 11.333 [i'm_still_standing | artista | *elton_john] - [10.000 0.333 1.000]
12 11.333 [at_last...the_duets_album | escritor | *elton_john] - [10.000 0.333 1.000]
13 11.333 [mary_j._blige | influencias | *elton_john] - [10.000 0.333 1.000]
14 11.333 [blue_(banda) | afiliacoes | *elton_john] - [10.000 0.333 1.000]
15 11.333 [*elton_john | origem | londres, inglaterra] - [10.000 0.333 1.000]
16 11.333 [*elton_john | instrumento | vocal] - [10.000 0.333 1.000]
17 11.333 [*elton_john | genero | pop_rock] - [10.000 0.333 1.000]
18 11.333 [*elton_john | genero | pop] - [10.000 0.333 1.000]
19 11.333 [*elton_john | genero | rock] - [10.000 0.333 1.000]
20 11.333 [*elton_john | instrumento | piano] - [10.000 0.333 1.000]
21 11.333 [*elton_john | genero | art_rock] - [10.000 0.333 1.000]
22 11.333 [*elton_john | genero | soft_rock] - [10.000 0.333 1.000]
23 11.333 [*elton_john | genero | rock_psicodelico] - [10.000 0.333 1.000]
24 11.333 [*elton_john | genero | hard_rock] - [10.000 0.333 1.000]
25 11.333 [*elton_john | genero | glam_rock] - [10.000 0.333 1.000]
26 11.333 [*elton_john | genero | rhythm_and_blues] - [10.000 0.333 1.000]
27 11.333 [*elton_john | genero | rock_sinfonico] - [10.000 0.333 1.000]
28 11.333 [360_degrees_of_billy_paul | escritor | *elton_john] - [10.000 0.333 1.000]
29 11.333 [*elton_john | genero | rock_progressivo] - [10.000 0.333 1.000]
30 11.333 [*elton_john | genero | blues_rock] - [10.000 0.333 1.000]
31 11.333 [*elton_john | gravadora | universal] - [10.000 0.333 1.000]
32 11.333 [*elton_john | gravadora | capitol] - [10.000 0.333 1.000]
33 11.333 [*elton_john | gravadora | interscope_records] - [10.000 0.333 1.000]
34 11.333 [*elton_john | gravadora | virgin emi] - [10.000 0.333 1.000]
35 11.333 [*elton_john | gravadora | rocket records] - [10.000 0.333 1.000]
36 11.333 [*elton_john | gravadora | djm_records] - [10.000 0.333 1.000]
37 11.333 [*elton_john | gravadora | geffen_records] - [10.000 0.333 1.000]
38 11.333 [*elton_john | gravadora | island_records] - [10.000 0.333 1.000]
39 11.333 [lady_gaga | influencias | *elton_john] - [10.000 0.333 1.000]
40 11.333 [*elton_john | afiliacoes | lady_gaga] - [10.000 0.333 1.000]
41 11.333 [*elton_john | afiliacoes | john_lennon] - [10.000 0.333 1.000]
42 11.333 [*elton_john | afiliacoes | billy_joel] - [10.000 0.333 1.000]
43 11.333 [*elton_john | afiliacoes | ed_sheeran] - [10.000 0.333 1.000]
44 11.333 [*elton_john | afiliacoes | shania_twain] - [10.000 0.333 1.000]
45 11.333 [*elton_john | afiliacoes | kiki_dee] - [10.000 0.333 1.000]
46 11.333 [*elton_john | afiliacoes | guns_n'_roses] - [10.000 0.333 1.000]
47 11.333 [*elton_john | afiliacoes | eminem] - [10.000 0.333 1.000]
48 11.333 [*elton_john | afiliacoes | eric_clapton] - [10.000 0.333 1.000]
49 11.333 [*elton_john | afiliacoes | queen] - [10.000 0.333 1.000]
50 11.333 [selva_de_pedra_(1986) | extra | *elton_john] - [10.000 0.333 1.000]
51 11.333 [shania_twain | afiliacoes | *elton_john] - [10.000 0.333 1.000]
52 11.333 [*elton_john | data | fevereiro de 2008] - [10.000 0.333 1.000]
53 11.333 [alexia | influencias | *elton_john] - [10.000 0.333 1.000]
54 11.333 [*elton_john | aovivo | 4] - [10.000 0.333 1.000]
55 11.333 [*elton_john | aovivolink | albuns ao vivo] - [10.000 0.333 1.000]
56 11.333 [*elton_john | singleslink | singles] - [10.000 0.333 1.000]
57 11.333 [*elton_john | singles | 128] - [10.000 0.333 1.000]
58 11.333 [goodbye_yellow_brick_road | artista | *elton_john] - [10.000 0.333 1.000]
59 11.333 [*elton_john | nome | sir elton john] - [10.000 0.333 1.000]
60 11.333 [*elton_john | artista | elton john] - [10.000 0.333 1.000]
61 11.333 [tributo_(album) | titulo | *elton_john] - [10.000 0.333 1.000]
62 11.333 [le_manoir_magique | producao | *elton_john] - [10.000 0.333 1.000]
63 11.333 [*elton_john | tributo | 1] - [10.000 0.333 1.000]
64 11.333 [*elton_john | ocupacao | cantor, compositor e produtor] - [10.000 0.333 1.000]
65 11.333 [honky_chateau | artista | *elton_john] - [10.000 0.333 1.000]
66 11.333 [*elton_john | apelido | rockaday johnnie, \"rocket man\"  e sir elton john] - [10.000 0.333 1.000]
