
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 9.209 [*farol_de_colombo | estatuto | monumento] - [8.375 0.333 0.500]
1 9.209 [*farol_de_colombo | projecto | joseph_lea_gleave] - [8.375 0.333 0.500]
2 9.209 [*farol_de_colombo | imagem | faro colon.jpg] - [8.375 0.333 0.500]
3 9.209 [*farol_de_colombo | dataconstrucao | 1931] - [8.375 0.333 0.500]
4 9.209 [*farol_de_colombo | titulolocal | *farol de colombo] - [8.375 0.333 0.500]
5 9.209 [joseph_lea_gleave | magnumopus | *farol_de_colombo] - [8.375 0.333 0.500]
6 9.042 [*farol_de_colombo | imagem | faro colon.jpg | *farol_de_colombo | estatuto | monumento] - [8.375 0.167 0.500]
7 9.042 [*farol_de_colombo | projecto | joseph_lea_gleave | *farol_de_colombo | imagem | faro colon.jpg] - [8.375 0.167 0.500]
8 9.042 [*farol_de_colombo | imagem | faro colon.jpg | *farol_de_colombo | projecto | joseph_lea_gleave] - [8.375 0.167 0.500]
9 9.042 [*farol_de_colombo | projecto | joseph_lea_gleave | *farol_de_colombo | dataconstrucao | 1931] - [8.375 0.167 0.500]
10 9.042 [*farol_de_colombo | imagem | faro colon.jpg | *farol_de_colombo | dataconstrucao | 1931] - [8.375 0.167 0.500]
11 9.042 [*farol_de_colombo | projecto | joseph_lea_gleave | *farol_de_colombo | titulolocal | *farol de colombo] - [8.375 0.167 0.500]
12 9.042 [*farol_de_colombo | imagem | faro colon.jpg | *farol_de_colombo | titulolocal | *farol de colombo] - [8.375 0.167 0.500]
13 9.042 [*farol_de_colombo | projecto | joseph_lea_gleave | *farol_de_colombo | estatuto | monumento] - [8.375 0.167 0.500]
14 9.042 [*farol_de_colombo | dataconstrucao | 1931 | joseph_lea_gleave | magnumopus | *farol_de_colombo] - [8.375 0.167 0.500]
15 9.042 [*farol_de_colombo | titulolocal | *farol de colombo | *farol_de_colombo | estatuto | monumento] - [8.375 0.167 0.500]
16 9.042 [*farol_de_colombo | titulolocal | *farol de colombo | *farol_de_colombo | projecto | joseph_lea_gleave] - [8.375 0.167 0.500]
17 9.042 [*farol_de_colombo | titulolocal | *farol de colombo | *farol_de_colombo | imagem | faro colon.jpg] - [8.375 0.167 0.500]
18 9.042 [*farol_de_colombo | titulolocal | *farol de colombo | *farol_de_colombo | dataconstrucao | 1931] - [8.375 0.167 0.500]
19 9.042 [*farol_de_colombo | estatuto | monumento | *farol_de_colombo | projecto | joseph_lea_gleave] - [8.375 0.167 0.500]
20 9.042 [*farol_de_colombo | estatuto | monumento | *farol_de_colombo | imagem | faro colon.jpg] - [8.375 0.167 0.500]
21 9.042 [*farol_de_colombo | projecto | joseph_lea_gleave | joseph_lea_gleave | magnumopus | *farol_de_colombo] - [8.375 0.167 0.500]
22 9.042 [*farol_de_colombo | imagem | faro colon.jpg | joseph_lea_gleave | magnumopus | *farol_de_colombo] - [8.375 0.167 0.500]
23 9.042 [*farol_de_colombo | estatuto | monumento | *farol_de_colombo | dataconstrucao | 1931] - [8.375 0.167 0.500]
24 9.042 [*farol_de_colombo | estatuto | monumento | *farol_de_colombo | titulolocal | *farol de colombo] - [8.375 0.167 0.500]
25 9.042 [joseph_lea_gleave | magnumopus | *farol_de_colombo | *farol_de_colombo | projecto | joseph_lea_gleave] - [8.375 0.167 0.500]
26 9.042 [*farol_de_colombo | titulolocal | *farol de colombo | joseph_lea_gleave | magnumopus | *farol_de_colombo] - [8.375 0.167 0.500]
27 9.042 [*farol_de_colombo | dataconstrucao | 1931 | *farol_de_colombo | estatuto | monumento] - [8.375 0.167 0.500]
28 9.042 [*farol_de_colombo | dataconstrucao | 1931 | *farol_de_colombo | imagem | faro colon.jpg] - [8.375 0.167 0.500]
29 9.042 [*farol_de_colombo | dataconstrucao | 1931 | *farol_de_colombo | projecto | joseph_lea_gleave] - [8.375 0.167 0.500]
30 9.042 [*farol_de_colombo | dataconstrucao | 1931 | *farol_de_colombo | titulolocal | *farol de colombo] - [8.375 0.167 0.500]
31 9.042 [*farol_de_colombo | estatuto | monumento | joseph_lea_gleave | magnumopus | *farol_de_colombo] - [8.375 0.167 0.500]
32 6.611 [*farol_de_colombo | artefactos | *tumba de cristovao colombo] - [5.778 0.333 0.500]
33 6.444 [*farol_de_colombo | projecto | joseph_lea_gleave | *farol_de_colombo | artefactos | *tumba de cristovao colombo] - [5.778 0.167 0.500]
34 6.444 [*farol_de_colombo | imagem | faro colon.jpg | *farol_de_colombo | artefactos | *tumba de cristovao colombo] - [5.778 0.167 0.500]
35 6.444 [*farol_de_colombo | artefactos | *tumba de cristovao colombo | *farol_de_colombo | estatuto | monumento] - [5.778 0.167 0.500]
36 6.444 [*farol_de_colombo | artefactos | *tumba de cristovao colombo | *farol_de_colombo | imagem | faro colon.jpg] - [5.778 0.167 0.500]
37 6.444 [*farol_de_colombo | artefactos | *tumba de cristovao colombo | *farol_de_colombo | projecto | joseph_lea_gleave] - [5.778 0.167 0.500]
38 6.444 [*farol_de_colombo | titulolocal | *farol de colombo | *farol_de_colombo | artefactos | *tumba de cristovao colombo] - [5.778 0.167 0.500]
39 6.444 [*farol_de_colombo | artefactos | *tumba de cristovao colombo | *farol_de_colombo | dataconstrucao | 1931] - [5.778 0.167 0.500]
40 6.444 [*farol_de_colombo | artefactos | *tumba de cristovao colombo | *farol_de_colombo | titulolocal | *farol de colombo] - [5.778 0.167 0.500]
41 6.444 [*farol_de_colombo | estatuto | monumento | *farol_de_colombo | artefactos | *tumba de cristovao colombo] - [5.778 0.167 0.500]
42 6.444 [*farol_de_colombo | artefactos | *tumba de cristovao colombo | joseph_lea_gleave | magnumopus | *farol_de_colombo] - [5.778 0.167 0.500]
43 6.444 [*farol_de_colombo | dataconstrucao | 1931 | *farol_de_colombo | artefactos | *tumba de cristovao colombo] - [5.778 0.167 0.500]
44 4.333 [*farol_da_senhora_da_agonia | altitude | 33 | *farol_da_senhora_da_agonia | altura | 9] - [4.000 0.333 0.000]
45 4.333 [*farol_da_ponta_norte | altura | 5 | *farol_da_ponta_norte | altitude | 16] - [4.000 0.333 0.000]
