
Melhores respostas:
0 13.133 [*cereste | *insee | 4045] - [11.466 0.667 1.000]
1 12.925 [*cereste | *inseeref | s] - [11.259 0.667 1.000]
2 12.199 [*cravenceres | *insee | 32113] - [10.532 0.667 1.000]
3 11.992 [*cravenceres | *inseeref | s] - [10.325 0.667 1.000]

Lista de triplas candidatas a resposta: 
0 13.133 [*cereste | *insee | 4045] - [11.466 0.667 1.000]
1 12.925 [*cereste | *inseeref | s] - [11.259 0.667 1.000]
2 12.199 [*cravenceres | *insee | 32113] - [10.532 0.667 1.000]
3 11.992 [*cravenceres | *inseeref | s] - [10.325 0.667 1.000]
4 11.502 [*alex_caceres | *ammfinderrotas | 5] - [9.835 0.667 1.000]
5 11.333 [djerba | editora | *ceres] - [10.000 0.333 1.000]
6 11.333 [taca_corcovado_de_2016 | title | *ceres] - [10.000 0.333 1.000]
7 11.333 [ifgoiano | cidade | *ceres] - [10.000 0.333 1.000]
8 11.333 [resultados_do_campeonato_goiano_de_futebol_de_2015___terceira_divisao | time | *ceres] - [10.000 0.333 1.000]
9 11.333 [revolucao_boliviana | editora | *ceres] - [10.000 0.333 1.000]
10 11.333 [casamento_tradicional_em_djerba | editora | *ceres] - [10.000 0.333 1.000]
11 11.333 [carlos_gaguim | localnascimento | *ceres] - [10.000 0.333 1.000]
12 11.333 [taca_santos_dumont_de_2015 | title | *ceres] - [10.000 0.333 1.000]
13 11.333 [taca_santos_dumont_de_2016 | title | *ceres] - [10.000 0.333 1.000]
14 11.333 [resultados_do_grupo_b_do_campeonato_carioca_de_futebol_de_2011___serie_b | time | *ceres] - [10.000 0.333 1.000]
15 11.333 [ademir_da_guia | jovemclubes | *ceres] - [10.000 0.333 1.000]
16 11.333 [uruana | microrregiao | *ceres] - [10.000 0.333 1.000]
17 11.333 [resultados_do_campeonato_goiano_de_futebol_de_2015___terceira_divisao | title | *ceres] - [10.000 0.333 1.000]
18 11.333 [eduardo_da_silva | jovemclubes | *ceres] - [10.000 0.333 1.000]
19 11.253 [*ceres_(goias) | *aniversario | 4] - [9.587 0.667 1.000]
