
Melhores respostas:
0 13.328 [*ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.667 1.000]

Lista de triplas candidatas a resposta: 
0 13.328 [*ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.667 1.000]
1 12.995 [*ponte_do_brooklyn | trafego | 145000 | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
2 12.995 [*ponte_do_brooklyn | latminutes | 42 | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
3 12.995 [*ponte_do_brooklyn | longminutes | 59 | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
4 12.995 [*ponte_do_brooklyn | longseconds | 48 | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
5 12.995 [*ponte_do_brooklyn | longdirection | w | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
6 12.995 [*ponte_do_brooklyn | localizacao | 20 | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
7 12.995 [*ponte_do_brooklyn | localizacao | brooklyn | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
8 12.995 [*ponte_do_brooklyn | localizacao | manhattan | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
9 12.995 [*ponte_do_brooklyn | imagem | brooklyn bridge ny.jpg | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
10 12.995 [*ponte_do_brooklyn | vaolivre | 4863 | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
11 12.995 [*ponte_do_brooklyn | nome | brooklyn bridge | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
12 12.995 [*ponte_do_brooklyn | latdegrees | 40 | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
13 12.995 [*ponte_do_brooklyn | latseconds | 21 | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
14 12.995 [*ponte_do_brooklyn | estilo | neogotico | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
15 12.995 [*ponte_do_brooklyn | mantida | departamento_de_transporte_da_cidade_de_nova_iorque | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
16 12.995 [*ponte_do_brooklyn | design | ponte_pensil | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
17 12.995 [*ponte_do_brooklyn | nomeponte | ponte do brooklyn | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
18 12.995 [*ponte_do_brooklyn | comprimento | 1825 m | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
19 12.995 [*ponte_do_brooklyn | nomeoutradesignacao | marco historico de nyc | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
20 12.995 [*ponte_do_brooklyn | tamanhoimagem | 250 | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
21 12.995 [*ponte_do_brooklyn | abrevoutradesignacao | nycl | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
22 12.995 [*ponte_do_brooklyn | coroutradesignacao | #ff0000 | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
23 12.995 [*ponte_do_brooklyn | linkoutradesignacao | comissao para a preservacao de monumentos historicos de nova iorque | *ponte_do_brooklyn | cruza | *rio_east] - [11.662 0.333 1.000]
24 12.995 [*ponte_do_brooklyn | cruza | *rio_east | *ponte_do_brooklyn | trafego | 145000] - [11.662 0.333 1.000]
25 12.995 [*ponte_do_brooklyn | cruza | *rio_east | *ponte_do_brooklyn | latminutes | 42] - [11.662 0.333 1.000]
26 12.995 [*ponte_do_brooklyn | cruza | *rio_east | *ponte_do_brooklyn | longminutes | 59] - [11.662 0.333 1.000]
27 12.995 [*ponte_do_brooklyn | cruza | *rio_east | *ponte_do_brooklyn | longseconds | 48] - [11.662 0.333 1.000]
28 12.995 [*ponte_do_brooklyn | cruza | *rio_east | *ponte_do_brooklyn | localizacao | 20] - [11.662 0.333 1.000]
29 12.995 [*ponte_do_brooklyn | cruza | *rio_east | *ponte_do_brooklyn | localizacao | brooklyn] - [11.662 0.333 1.000]
30 12.995 [*ponte_do_brooklyn | cruza | *rio_east | *ponte_do_brooklyn | longdirection | w] - [11.662 0.333 1.000]
31 12.995 [*ponte_do_brooklyn | cruza | *rio_east | *ponte_do_brooklyn | localizacao | manhattan] - [11.662 0.333 1.000]
32 12.995 [*ponte_do_brooklyn | cruza | *rio_east | *ponte_do_brooklyn | imagem | brooklyn bridge ny.jpg] - [11.662 0.333 1.000]
33 12.995 [*ponte_do_brooklyn | cruza | *rio_east | *ponte_do_brooklyn | vaolivre | 4863] - [11.662 0.333 1.000]
