
Melhores respostas:
0 13.667 [*paris | *prefeito | anne hidalgo] - [12.000 0.667 1.000]
1 13.471 [*parisi | *prefeito | oclair barao bento] - [11.804 0.667 1.000]

Lista de triplas candidatas a resposta: 
0 13.667 [*paris | *prefeito | anne hidalgo] - [12.000 0.667 1.000]
1 13.471 [*parisi | *prefeito | oclair barao bento] - [11.804 0.667 1.000]
2 12.579 [abbecourt | *prefeito | *rene paris] - [10.912 0.667 1.000]
3 11.805 [saltinho_(santa_catarina) | *prefeito | *luiz de paris] - [10.139 0.667 1.000]
4 11.333 [ernest_bersot | localmorte | *paris] - [10.000 0.333 1.000]
5 11.333 [leandro_fernandez_de_moratin | localmorte | *paris] - [10.000 0.333 1.000]
6 11.333 [forum_do_boi | local | *paris] - [10.000 0.333 1.000]
7 11.333 [luc_besson | localidaden | *paris] - [10.000 0.333 1.000]
8 11.333 [felipe_rocha | localidaden | *paris] - [10.000 0.333 1.000]
9 11.333 [izia_higelin | nascimentocidade | *paris] - [10.000 0.333 1.000]
10 11.333 [bartolomeu_i_ghisi | local | *paris] - [10.000 0.333 1.000]
11 11.333 [sixto_de_bourbon_parma | localdamorte | *paris] - [10.000 0.333 1.000]
12 11.333 [carabisianos | local | *paris] - [10.000 0.333 1.000]
13 11.333 [emma_de_caunes | localidaden | *paris] - [10.000 0.333 1.000]
14 11.333 [jose_i_de_holotsim | local | *paris] - [10.000 0.333 1.000]
15 11.333 [luisa_d'aumont | localdamorte | *paris] - [10.000 0.333 1.000]
16 11.333 [les_cavaliers | cidade | *paris] - [10.000 0.333 1.000]
17 11.333 [isaac_i_arcruni | local | *paris] - [10.000 0.333 1.000]
18 11.333 [beilhique_de_hamid | local | *paris] - [10.000 0.333 1.000]
19 11.333 [blaise_pascal | localmorte | *paris] - [10.000 0.333 1.000]
20 11.333 [bruno_coulais | nascimentocidade | *paris] - [10.000 0.333 1.000]
21 11.333 [claude_francois | falecimento | *paris] - [10.000 0.333 1.000]
22 11.333 [alain_sol_sznitman | localnascimento | *paris] - [10.000 0.333 1.000]
23 11.333 [copa_do_mundo_de_rugby_union_de_2007 | stadium | *paris] - [10.000 0.333 1.000]
24 11.333 [gabriel_de_bory | localnascimento | *paris] - [10.000 0.333 1.000]
25 11.333 [joaquim_de_oliveira_alvares | localmorte | *paris] - [10.000 0.333 1.000]
26 11.333 [henri_chretien | localnascimento | *paris] - [10.000 0.333 1.000]
27 11.333 [dorothy_gibson | localidadef | *paris] - [10.000 0.333 1.000]
28 11.333 [jorge_chavez | nascimentolocal | *paris] - [10.000 0.333 1.000]
29 11.333 [charles_tellier | localmorte | *paris] - [10.000 0.333 1.000]
30 11.333 [horacio_lafer | localmorte | *paris] - [10.000 0.333 1.000]
31 11.333 [georges_seurat | nascimentolocal | *paris] - [10.000 0.333 1.000]
32 11.333 [adriano_comneno | local | *paris] - [10.000 0.333 1.000]
33 11.333 [yael_naim | origem | *paris] - [10.000 0.333 1.000]
34 11.333 [armand_david | localmorte | *paris] - [10.000 0.333 1.000]
35 11.333 [filipe_carlos,_duque_de_valois | localdamorte | *paris] - [10.000 0.333 1.000]
36 11.333 [liliane_bettencourt | nascimentolocal | *paris] - [10.000 0.333 1.000]
37 11.333 [gedampfter_schwung | cidade | *paris] - [10.000 0.333 1.000]
38 11.333 [philippe_baden_powell | nascimentocidade | *paris] - [10.000 0.333 1.000]
39 11.333 [claude_debussy | mortelocal | *paris] - [10.000 0.333 1.000]
40 11.333 [georges_duby | nascimentolocal | *paris] - [10.000 0.333 1.000]
41 11.333 [jorge_v_de_hanover | localdamorte | *paris] - [10.000 0.333 1.000]
42 11.333 [emile_nouguier | nascimentolocal | *paris] - [10.000 0.333 1.000]
43 11.333 [barbara_(cantora) | origem | *paris] - [10.000 0.333 1.000]
44 11.333 [la_fille_du_regiment | localdeestreia | *paris] - [10.000 0.333 1.000]
45 11.333 [francoise_benhamou | residencia | *paris] - [10.000 0.333 1.000]
46 11.333 [nicolas_boileau | localnascimento | *paris] - [10.000 0.333 1.000]
47 11.333 [raymond_stora | localnascimento | *paris] - [10.000 0.333 1.000]
48 11.333 [pierre_auguste_adet | localmorte | *paris] - [10.000 0.333 1.000]
49 11.333 [indochine | origem | *paris] - [10.000 0.333 1.000]
50 11.333 [alphonse_daudet | localmorte | *paris] - [10.000 0.333 1.000]
51 11.333 [campeonato_mundial_de_ginastica_ritmica_de_1994 | cidade | *paris] - [10.000 0.333 1.000]
52 11.333 [diego_martinez_barrio | localmorte | *paris] - [10.000 0.333 1.000]
53 11.333 [pierre_bezier | localnascimento | *paris] - [10.000 0.333 1.000]
54 11.333 [jean_auguste_dominique_ingres | mortelocal | *paris] - [10.000 0.333 1.000]
55 11.333 [marcel_paul_schutzenberger | mortelocal | *paris] - [10.000 0.333 1.000]
56 11.333 [rogerio_paulo | local | *paris] - [10.000 0.333 1.000]
57 11.333 [constantino_diogenes_(filho_de_romano_iv) | local | *paris] - [10.000 0.333 1.000]
58 11.333 [sean_macbride | localnascimento | *paris] - [10.000 0.333 1.000]
59 11.333 [juliette_lamboley | nascimentolocal | *paris] - [10.000 0.333 1.000]
60 11.333 [hacane_ibne_ubaide_ala_ibne_tugeje | local | *paris] - [10.000 0.333 1.000]
61 11.333 [instituto_ipsos | sede | *paris] - [10.000 0.333 1.000]
62 11.333 [santiago_casares_quiroga | localmorte | *paris] - [10.000 0.333 1.000]
63 11.333 [baronia_de_veligosti | local | *paris] - [10.000 0.333 1.000]
64 11.333 [etienne_jules_marey | localmorte | *paris] - [10.000 0.333 1.000]
65 11.333 [jules_renard | mortelocal | *paris] - [10.000 0.333 1.000]
66 11.333 [pedro_(estratopedarca) | local | *paris] - [10.000 0.333 1.000]
67 11.333 [carlos_freile_zaldumbide | localmorte | *paris] - [10.000 0.333 1.000]
68 11.333 [arthur_morin | localnascimento | *paris] - [10.000 0.333 1.000]
69 11.333 [elisabeth_d'ayen | cidadedamorte | *paris] - [10.000 0.333 1.000]
70 11.333 [kemal_bourhani | cidadenatal | *paris] - [10.000 0.333 1.000]
71 11.333 [louis_rene_villerme | nascimentolocal | *paris] - [10.000 0.333 1.000]
72 11.333 [jean_marie_duhamel | localmorte | *paris] - [10.000 0.333 1.000]
73 11.333 [vitoria_de_rohan | localdenascimento | *paris] - [10.000 0.333 1.000]
74 11.333 [luciano_de_antioquia | local | *paris] - [10.000 0.333 1.000]
75 11.333 [georges_seurat | mortelocal | *paris] - [10.000 0.333 1.000]
76 11.333 [historia_de_dourados | local | *paris] - [10.000 0.333 1.000]
77 11.333 [yellow_productions | origem | *paris] - [10.000 0.333 1.000]
78 11.333 [jim_morrison | mortelocal | *paris] - [10.000 0.333 1.000]
79 11.333 [pierre_bouguer | localmorte | *paris] - [10.000 0.333 1.000]
80 11.333 [pedro_tovar_de_lemos | nascimentolocal | *paris] - [10.000 0.333 1.000]
81 11.333 [mestre_das_peticoes | local | *paris] - [10.000 0.333 1.000]
82 11.333 [ramon_acin | localmorte | *paris] - [10.000 0.333 1.000]
83 11.333 [gabriel_de_bory | localmorte | *paris] - [10.000 0.333 1.000]
84 11.333 [louis_francois_clement_breguet | localnascimento | *paris] - [10.000 0.333 1.000]
85 11.333 [guilherme_de_la_roche_(senhor_de_veligosti) | local | *paris] - [10.000 0.333 1.000]
86 11.333 [vital_maria_goncalves_de_oliveira | mortelocal | *paris] - [10.000 0.333 1.000]
87 11.333 [bernard_courtois | mortelocal | *paris] - [10.000 0.333 1.000]
88 11.333 [jean_baptiste_boussingault | localnascimento | *paris] - [10.000 0.333 1.000]
89 11.333 [rene_floriot | localnascimento | *paris] - [10.000 0.333 1.000]
90 11.333 [suicidio_no_japao | local | *paris] - [10.000 0.333 1.000]
91 11.333 [stacia_napierkowska | localidaden | *paris] - [10.000 0.333 1.000]
92 11.333 [fahd_hariri | residencia | *paris] - [10.000 0.333 1.000]
93 11.333 [tadashi_kaminagai | localmorte | *paris] - [10.000 0.333 1.000]
94 11.333 [mario_de_sa_carneiro | localmorte | *paris] - [10.000 0.333 1.000]
95 11.333 [lazes | local | *paris] - [10.000 0.333 1.000]
96 11.333 [jean_baptiste_boussingault | localmorte | *paris] - [10.000 0.333 1.000]
97 11.333 [edgar_varese | nascimentocidade | *paris] - [10.000 0.333 1.000]
98 11.333 [bernard_maris | mortelocal | *paris] - [10.000 0.333 1.000]
99 11.333 [campeonato_mundial_de_ginastica_aerobica_de_1995 | cidade | *paris] - [10.000 0.333 1.000]
