
Melhores respostas:
0 13.245 [liga_europa_da_uefa_de_201112__rodadas_de_qualificacao | gols | *milicevic | liga_europa_da_uefa_de_201112__rodadas_de_qualificacao | *time | *khazar lankaran] - [11.745 0.500 1.000]

Lista de triplas candidatas a resposta: 
0 13.245 [liga_europa_da_uefa_de_201112__rodadas_de_qualificacao | gols | *milicevic | liga_europa_da_uefa_de_201112__rodadas_de_qualificacao | *time | *khazar lankaran] - [11.745 0.500 1.000]
1 13.245 [liga_europa_da_uefa_de_201112__rodadas_de_qualificacao | *time | *khazar lankaran | liga_europa_da_uefa_de_201112__rodadas_de_qualificacao | gols | *milicevic] - [11.745 0.500 1.000]
2 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | vital'o] - [11.836 0.333 1.000]
3 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | apr] - [11.836 0.333 1.000]
4 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | casa sport] - [11.836 0.333 1.000]
5 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | jsm bejaia] - [11.836 0.333 1.000]
6 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | as vita club] - [11.836 0.333 1.000]
7 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | al-ittihad] - [11.836 0.333 1.000]
8 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | saint george] - [11.836 0.333 1.000]
9 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | sewe sport] - [11.836 0.333 1.000]
10 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | ac leopards] - [11.836 0.333 1.000]
11 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | casa sport | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara] - [11.836 0.333 1.000]
12 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | ac leopards | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara] - [11.836 0.333 1.000]
13 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | sewe sport | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara] - [11.836 0.333 1.000]
14 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | vital'o | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara] - [11.836 0.333 1.000]
15 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | jsm bejaia | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara] - [11.836 0.333 1.000]
16 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | al-ittihad | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara] - [11.836 0.333 1.000]
17 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | apr | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara] - [11.836 0.333 1.000]
18 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | as vita club | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara] - [11.836 0.333 1.000]
19 13.169 [liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | *time | saint george | liga_dos_campeoes_da_caf_de_2013__fases_de_qualificacao | gols | *rankara] - [11.836 0.333 1.000]
20 12.995 [xzr_lnkran_futbol_klubu | local | *lankaran | xzr_lnkran_futbol_klubu | *treinador | mustafa denizli] - [11.662 0.333 1.000]
21 12.995 [xzr_lnkran_futbol_klubu | *treinador | mustafa denizli | xzr_lnkran_futbol_klubu | local | *lankaran] - [11.662 0.333 1.000]
22 12.907 [roger_lemerre | *treinadorclubes | *ankaragucu | roger_lemerre | nomecompleto | *roger leon maurice lemerre-desprez] - [11.407 0.500 1.000]
23 12.907 [roger_lemerre | nomecompleto | *roger leon maurice lemerre-desprez | roger_lemerre | *treinadorclubes | *ankaragucu] - [11.407 0.500 1.000]
24 12.791 [roger_lemerre | *treinadorclubes | *ankaragucu] - [11.124 0.667 1.000]
25 12.791 [safet_susic | *treinadorclubes | *ankaraspor] - [11.124 0.667 1.000]
26 12.791 [safet_susic | *treinadorclubes | *ankaragucu] - [11.124 0.667 1.000]
27 12.791 [valeriy_nepomnyashchiy | *treinadorclubes | *ankaragucu] - [11.124 0.667 1.000]
28 12.791 [fatih_terim | *treinadorclubes | *ankaragucu] - [11.124 0.667 1.000]
29 12.791 [hans_peter_briegel | *treinadorclubes | *ankaragucu] - [11.124 0.667 1.000]
30 12.586 [liga_europa_da_uefa_de_201112__rodadas_de_qualificacao | gols | *milicevic | liga_europa_da_uefa_de_201112__rodadas_de_qualificacao | estadio | *lankaran] - [11.253 0.333 1.000]
31 12.586 [liga_europa_da_uefa_de_201112__rodadas_de_qualificacao | estadio | *lankaran | liga_europa_da_uefa_de_201112__rodadas_de_qualificacao | gols | *milicevic] - [11.253 0.333 1.000]
32 12.488 [radu_niculescu | clubes | *ankaragucu | radu_niculescu | *treinadorjogos | ?] - [11.155 0.333 1.000]
33 12.488 [radu_niculescu | *treinadorjogos | ? | radu_niculescu | clubes | *ankaragucu] - [11.155 0.333 1.000]
34 12.457 [hans_peter_briegel | *treinadorclubes | *ankaragucu | fatih_terim | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
35 12.457 [safet_susic | *treinadorclubes | *ankaraspor | safet_susic | *treinadoranos | 2006] - [11.124 0.333 1.000]
36 12.457 [safet_susic | *treinadorclubes | *ankaragucu | safet_susic | *treinadoranos | 2006] - [11.124 0.333 1.000]
37 12.457 [safet_susic | *treinadorclubes | *ankaraspor | safet_susic | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
38 12.457 [safet_susic | *treinadorclubes | *ankaragucu | safet_susic | *treinadorclubes | *ankaraspor] - [11.124 0.333 1.000]
39 12.457 [valeriy_nepomnyashchiy | *treinadorclubes | *ankaragucu | roger_lemerre | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
40 12.457 [fatih_terim | *treinadorclubes | *ankaragucu | hans_peter_briegel | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
41 12.457 [roger_lemerre | *treinadorclubes | *ankaragucu | fatih_terim | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
42 12.457 [fatih_terim | *treinadoranos | 1990 | fatih_terim | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
43 12.457 [valeriy_nepomnyashchiy | *treinadorclubes | *ankaragucu | safet_susic | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
44 12.457 [fatih_terim | *treinadorclubes | *ankaragucu | roger_lemerre | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
45 12.457 [safet_susic | *treinadoranos | 2006 | safet_susic | *treinadorclubes | *ankaraspor] - [11.124 0.333 1.000]
46 12.457 [safet_susic | *treinadoranos | 2006 | safet_susic | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
47 12.457 [safet_susic | *treinadorclubes | *ankaragucu | valeriy_nepomnyashchiy | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
48 12.457 [roger_lemerre | *treinadorclubes | *ankaragucu | hans_peter_briegel | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
49 12.457 [hans_peter_briegel | *treinadorclubes | *ankaragucu | roger_lemerre | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
50 12.457 [valeriy_nepomnyashchiy | *treinadorclubes | *ankaragucu | valeriy_nepomnyashchiy | *treinadoranos | 2001] - [11.124 0.333 1.000]
51 12.457 [fatih_terim | *treinadorclubes | *ankaragucu | safet_susic | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
52 12.457 [safet_susic | *treinadorclubes | *ankaragucu | fatih_terim | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
53 12.457 [valeriy_nepomnyashchiy | *treinadorclubes | pakhtakor tashkent | valeriy_nepomnyashchiy | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
54 12.457 [valeriy_nepomnyashchiy | *treinadorclubes | *ankaragucu | valeriy_nepomnyashchiy | *treinadorclubes | pakhtakor tashkent] - [11.124 0.333 1.000]
55 12.457 [hans_peter_briegel | *treinadorclubes | *ankaragucu | safet_susic | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
56 12.457 [fatih_terim | *treinadorclubes | milan | fatih_terim | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
57 12.457 [valeriy_nepomnyashchiy | *treinadoranos | 2001 | valeriy_nepomnyashchiy | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
58 12.457 [fatih_terim | *treinadorclubes | *ankaragucu | valeriy_nepomnyashchiy | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
59 12.457 [valeriy_nepomnyashchiy | *treinadorclubes | *ankaragucu | fatih_terim | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
60 12.457 [roger_lemerre | *treinadorclubes | *ankaragucu | safet_susic | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
61 12.457 [safet_susic | *treinadorclubes | *ankaragucu | hans_peter_briegel | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
62 12.457 [hans_peter_briegel | *treinadorclubes | *ankaragucu | valeriy_nepomnyashchiy | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
63 12.457 [fatih_terim | *treinadorclubes | *ankaragucu | fatih_terim | *treinadoranos | 1990] - [11.124 0.333 1.000]
64 12.457 [safet_susic | *treinadorclubes | *ankaragucu | roger_lemerre | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
65 12.457 [fatih_terim | *treinadorclubes | *ankaragucu | fatih_terim | *treinadorclubes | milan] - [11.124 0.333 1.000]
66 12.457 [valeriy_nepomnyashchiy | *treinadorclubes | *ankaragucu | hans_peter_briegel | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
67 12.457 [roger_lemerre | *treinadorclubes | *ankaragucu | valeriy_nepomnyashchiy | *treinadorclubes | *ankaragucu] - [11.124 0.333 1.000]
68 12.001 [alto_volta | *vice | *thomas sankara] - [10.335 0.667 1.000]
69 12.001 [*291_alice | categoria | cintura_de_asteroides | *1457_ankara | categoria | cintura_de_asteroides] - [10.667 0.333 1.000]
70 12.001 [*1457_ankara | categoria | cintura_de_asteroides | *291_alice | categoria | cintura_de_asteroides] - [10.667 0.333 1.000]
71 11.840 [*2150_nyctimene | categoria | cintura_de_asteroides | *1457_ankara | categoria | cintura_de_asteroides] - [10.507 0.333 1.000]
72 11.840 [*1457_ankara | categoria | cintura_de_asteroides | *2150_nyctimene | categoria | cintura_de_asteroides] - [10.507 0.333 1.000]
73 11.837 [*osice | latns | n | *rio_sankarani | latns | n] - [10.504 0.333 1.000]
74 11.837 [*rio_sankarani | latns | n | *osice | latns | n] - [10.504 0.333 1.000]
75 11.837 [*rio_sankarani | latns | n | *unice | latns | n] - [10.504 0.333 1.000]
76 11.837 [*unice | latns | n | *rio_sankarani | latns | n] - [10.504 0.333 1.000]
77 11.821 [liga_europa_da_uefa_de_201112__rodadas_de_qualificacao | *time | *khazar lankaran] - [10.154 0.667 1.000]
78 11.821 [liga_europa_da_uefa_de_201213__rodadas_de_qualificacao | *time | *khazar lankaran] - [10.154 0.667 1.000]
79 11.769 [*rio_sankarani | latns | n | *pecice | latns | n] - [10.436 0.333 1.000]
80 11.769 [*trtice | latns | n | *rio_sankarani | latns | n] - [10.436 0.333 1.000]
81 11.769 [*rio_sankarani | latns | n | *turice | latns | n] - [10.436 0.333 1.000]
82 11.769 [*pecice | latns | n | *rio_sankarani | latns | n] - [10.436 0.333 1.000]
83 11.769 [*turice | latns | n | *rio_sankarani | latns | n] - [10.436 0.333 1.000]
84 11.769 [*rio_sankarani | latns | n | *vilice | latns | n] - [10.436 0.333 1.000]
85 11.769 [*vilice | latns | n | *rio_sankarani | latns | n] - [10.436 0.333 1.000]
86 11.769 [*rio_sankarani | latns | n | *trtice | latns | n] - [10.436 0.333 1.000]
87 11.769 [*rio_sankarani | latns | n | *otmice | latns | n] - [10.436 0.333 1.000]
88 11.769 [*otmice | latns | n | *rio_sankarani | latns | n] - [10.436 0.333 1.000]
89 11.716 [*7195_danboice | categoria | cintura_de_asteroides | *1457_ankara | categoria | cintura_de_asteroides] - [10.383 0.333 1.000]
90 11.716 [*1457_ankara | categoria | cintura_de_asteroides | *7195_danboice | categoria | cintura_de_asteroides] - [10.383 0.333 1.000]
91 11.700 [*dernice | latns | n | *rio_sankarani | latns | n] - [10.367 0.333 1.000]
92 11.700 [*rio_sankarani | latns | n | *vicenza | latns | n] - [10.367 0.333 1.000]
93 11.700 [*valtice | latns | n | *rio_sankarani | latns | n] - [10.367 0.333 1.000]
94 11.700 [*rio_sankarani | latns | n | *bukvice | latns | n] - [10.367 0.333 1.000]
95 11.700 [*divcice | latns | n | *rio_sankarani | latns | n] - [10.367 0.333 1.000]
96 11.700 [*rio_sankarani | latns | n | *divcice | latns | n] - [10.367 0.333 1.000]
97 11.700 [*bukvice | latns | n | *rio_sankarani | latns | n] - [10.367 0.333 1.000]
98 11.700 [*kasnice | latns | n | *rio_sankarani | latns | n] - [10.367 0.333 1.000]
99 11.700 [*vicenza | latns | n | *rio_sankarani | latns | n] - [10.367 0.333 1.000]
