
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 20.464 [*jody_williams | *nacionalidade | estadunidense | *harry_fox | *nacionalidade | estadunidense] - [19.464 0.500 0.500]
1 20.464 [*harry_hay | *nacionalidade | estadunidense | *jody_williams | *nacionalidade | estadunidense] - [19.464 0.500 0.500]
2 20.464 [*william_andre | *nacionalidade | estadunidense | *harry_fox | *nacionalidade | estadunidense] - [19.464 0.500 0.500]
3 20.464 [*william_beebe | *nacionalidade | estadunidense | *harry_hay | *nacionalidade | estadunidense] - [19.464 0.500 0.500]
4 20.464 [*harry_fox | *nacionalidade | estadunidense | *jody_williams | *nacionalidade | estadunidense] - [19.464 0.500 0.500]
5 20.464 [*harry_hay | *nacionalidade | estadunidense | *william_beebe | *nacionalidade | estadunidense] - [19.464 0.500 0.500]
6 20.464 [*harry_hay | *nacionalidade | estadunidense | *william_andre | *nacionalidade | estadunidense] - [19.464 0.500 0.500]
7 20.464 [*jody_williams | *nacionalidade | estadunidense | *harry_hay | *nacionalidade | estadunidense] - [19.464 0.500 0.500]
8 20.464 [*william_beebe | *nacionalidade | estadunidense | *harry_fox | *nacionalidade | estadunidense] - [19.464 0.500 0.500]
9 20.464 [*harry_fox | *nacionalidade | estadunidense | *william_beebe | *nacionalidade | estadunidense] - [19.464 0.500 0.500]
10 20.464 [*harry_fox | *nacionalidade | estadunidense | *william_andre | *nacionalidade | estadunidense] - [19.464 0.500 0.500]
11 20.464 [*william_andre | *nacionalidade | estadunidense | *harry_hay | *nacionalidade | estadunidense] - [19.464 0.500 0.500]
12 20.430 [ville_radieuse | primeiro | *harry f | ville_radieuse | primeiro | *william] - [19.597 0.333 0.500]
13 20.430 [ville_radieuse | primeiro | *william | ville_radieuse | primeiro | *harry f] - [19.597 0.333 0.500]
14 20.309 [*william_nigh | *localidaden | eua | *harry_mccoy | *localidaden | eua] - [19.309 0.500 0.500]
15 20.309 [*harry_mccoy | *localidaden | eua | *william_nigh | *localidaden | eua] - [19.309 0.500 0.500]
16 20.263 [*harry_hay | *nacionalidade | estadunidense | *william_fulton | *nacionalidade | estadunidense] - [19.263 0.500 0.500]
17 20.263 [*harry_fox | *nacionalidade | estadunidense | *william_fulton | *nacionalidade | estadunidense] - [19.263 0.500 0.500]
