
Melhores respostas:
0 24.500 [*agente_smith | *interprete | hugo_weaving | *agente_smith | obra | *matrix] - [23.000 0.500 1.000]
1 23.782 [*agente_smith | *interprete | hugo_weaving | *agente_smith | primeiraaparicao | *the_matrix] - [22.282 0.500 1.000]

Lista de triplas candidatas a resposta: 
0 24.500 [*agente_smith | *interprete | hugo_weaving | *agente_smith | obra | *matrix] - [23.000 0.500 1.000]
1 24.500 [*agente_smith | obra | *matrix | *agente_smith | *interprete | hugo_weaving] - [23.000 0.500 1.000]
2 24.500 [hugo_weaving | papeisnotaveis | *matrix | *agente_smith | *interprete | hugo_weaving] - [23.000 0.500 1.000]
3 23.782 [*agente_smith | *interprete | hugo_weaving | *agente_smith | primeiraaparicao | *the_matrix] - [22.282 0.500 1.000]
4 23.782 [*agente_smith | primeiraaparicao | *the_matrix | *agente_smith | *interprete | hugo_weaving] - [22.282 0.500 1.000]
5 21.667 [*agente_smith | obra | *matrix] - [20.000 0.667 1.000]
6 21.333 [*matrix | codigoimdb | 133093 | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
7 21.333 [*matrix | distribuicao | roadshow entertainment | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
8 21.333 [*matrix | receita | 4.63517383e8 | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
9 21.333 [*matrix | distribuicao | warner_bros._pictures | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
10 21.333 [*matrix | ano | 1999 | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
11 21.333 [*matrix | direcao | andy_e_lana_wachowski | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
12 21.333 [*matrix | coprodutor | dan cracchiolo | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
13 21.333 [*agente_smith | cor | cinema | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
14 21.333 [*agente_smith | sexo | masculino | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
15 21.333 [*matrix | orcamento | us$ 63 milhoes | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
16 21.333 [*agente_smith | data | fevereiro de 2008 | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
17 21.333 [*agente_smith | obra | *matrix | *agente_smith | cor | cinema] - [20.000 0.333 1.000]
18 21.333 [*agente_smith | obra | *matrix | *agente_smith | sexo | masculino] - [20.000 0.333 1.000]
19 21.333 [*agente_smith | obra | *matrix | *agente_smith | data | fevereiro de 2008] - [20.000 0.333 1.000]
20 21.333 [*agente_smith | obra | *matrix | *agente_smith | especie | programa_de_computador] - [20.000 0.333 1.000]
21 21.333 [*agente_smith | obra | *matrix | *agente_smith | criador | andy_e_larry_wachowski] - [20.000 0.333 1.000]
22 21.333 [*agente_smith | obra | *matrix | *agente_smith | legenda | agente smith] - [20.000 0.333 1.000]
23 21.333 [*agente_smith | obra | *matrix | *agente_smith | nome | agente smith] - [20.000 0.333 1.000]
24 21.333 [*agente_smith | obra | *matrix | *agente_smith | actividade | agente, mais tarde virus] - [20.000 0.333 1.000]
25 21.333 [*agente_smith | obra | *matrix | *agente_smith | imagem | 225] - [20.000 0.333 1.000]
26 21.333 [*agente_smith | obra | *matrix | *agente_smith | especialidade | exterminacao] - [20.000 0.333 1.000]
27 21.333 [*agente_smith | obra | *matrix | *agente_smith | arte | sim] - [20.000 0.333 1.000]
28 21.333 [*agente_smith | criador | andy_e_larry_wachowski | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
29 21.333 [*agente_smith | especie | programa_de_computador | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
30 21.333 [*agente_smith | legenda | agente smith | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
31 21.333 [*agente_smith | nome | agente smith | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
32 21.333 [*agente_smith | actividade | agente, mais tarde virus | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
33 21.333 [*agente_smith | imagem | 225 | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
34 21.333 [*agente_smith | especialidade | exterminacao | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
35 21.333 [*agente_smith | arte | sim | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
36 21.333 [*matrix | idioma | lingua_inglesa | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
37 21.333 [*matrix | producaoexecutivo | erwin stoff | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
38 21.333 [*matrix | producaoexecutivo | barrie m. osborne | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
39 21.333 [*matrix | producaoexecutivo | lana wachowski | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
40 21.333 [*matrix | producaoexecutivo | andrew mason | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
41 21.333 [*matrix | producaoexecutivo | bruce berman | *agente_smith | obra | *matrix] - [20.000 0.333 1.000]
