
Melhores respostas:
0 15.960 [*lingua_erzya | *falantes | 697000 | *lingua_erzya | estados | *turcomenistao] - [14.460 0.500 1.000]
1 15.868 [*lingua_usbeque | *falantes | 23500 | *lingua_usbeque | estados | *turcomenistao] - [14.368 0.500 1.000]
2 15.868 [*lingua_cazaque | *falantes | 11000 | *lingua_cazaque | estados | *turcomenistao] - [14.368 0.500 1.000]
3 15.768 [*lingua_turcomena | *falantes | cerca de 9 milhoes | *lingua_turcomena | oficial | *turcomenistao] - [14.268 0.500 1.000]
4 15.768 [*lingua_turcomena | *falantes | cerca de 9 milhoes | *lingua_turcomena | estados | *turcomenistao] - [14.268 0.500 1.000]

Lista de triplas candidatas a resposta: 
0 15.960 [*lingua_erzya | *falantes | 697000 | *lingua_erzya | estados | *turcomenistao] - [14.460 0.500 1.000]
1 15.960 [*lingua_erzya | estados | *turcomenistao | *lingua_erzya | *falantes | 697000] - [14.460 0.500 1.000]
2 15.868 [*lingua_usbeque | *falantes | 23500 | *lingua_usbeque | estados | *turcomenistao] - [14.368 0.500 1.000]
3 15.868 [*lingua_usbeque | estados | *turcomenistao | *lingua_usbeque | *falantes | 23500] - [14.368 0.500 1.000]
4 15.868 [*lingua_cazaque | *falantes | 11000 | *lingua_cazaque | estados | *turcomenistao] - [14.368 0.500 1.000]
5 15.868 [*lingua_cazaque | estados | *turcomenistao | *lingua_cazaque | *falantes | 11000] - [14.368 0.500 1.000]
6 15.768 [*lingua_turcomena | *falantes | cerca de 9 milhoes | *lingua_turcomena | oficial | *turcomenistao] - [14.268 0.500 1.000]
7 15.768 [*lingua_turcomena | *falantes | cerca de 9 milhoes | *lingua_turcomena | estados | *turcomenistao] - [14.268 0.500 1.000]
8 15.768 [*lingua_turcomena | estados | *turcomenistao | *lingua_turcomena | *falantes | cerca de 9 milhoes] - [14.268 0.500 1.000]
9 15.768 [*lingua_turcomena | oficial | *turcomenistao | *lingua_turcomena | *falantes | cerca de 9 milhoes] - [14.268 0.500 1.000]
10 13.439 [*lingua_erzya | estados | *turcomenistao] - [11.772 0.667 1.000]
11 13.346 [*lingua_usbeque | estados | *turcomenistao] - [11.680 0.667 1.000]
12 13.346 [*lingua_cazaque | estados | *turcomenistao] - [11.680 0.667 1.000]
13 13.247 [*lingua_turcomena | oficial | *turcomenistao] - [11.580 0.667 1.000]
14 13.247 [*lingua_turcomena | estados | *turcomenistao] - [11.580 0.667 1.000]
15 13.105 [*lingua_erzya | estados | *turcomenistao | *lingua_erzya | regiao | oblast_de_nijni_novgorod] - [11.772 0.333 1.000]
16 13.105 [*lingua_erzya | estados | *turcomenistao | *lingua_erzya | regiao | bascortostao] - [11.772 0.333 1.000]
17 13.105 [*lingua_erzya | estados | *turcomenistao | *lingua_erzya | regiao | oblast_de_samara] - [11.772 0.333 1.000]
18 13.105 [*lingua_erzya | estados | *turcomenistao | *lingua_erzya | escrita | alfabeto_cirilico] - [11.772 0.333 1.000]
19 13.105 [*lingua_erzya | estados | *turcomenistao | *lingua_erzya | corfamilia | uralica] - [11.772 0.333 1.000]
20 13.105 [*lingua_erzya | estados | *turcomenistao | *lingua_erzya | regiao | oblast_de_orenburgo] - [11.772 0.333 1.000]
21 13.105 [*lingua_erzya | estados | *turcomenistao | *lingua_erzya | estados | quirguistao] - [11.772 0.333 1.000]
22 13.105 [*lingua_erzya | estados | *turcomenistao | *lingua_erzya | nomenativo |   / erzanj kelj / erzan kel] - [11.772 0.333 1.000]
23 13.105 [*lingua_erzya | estados | quirguistao | *lingua_erzya | estados | *turcomenistao] - [11.772 0.333 1.000]
24 13.105 [*lingua_erzya | escrita | alfabeto_cirilico | *lingua_erzya | estados | *turcomenistao] - [11.772 0.333 1.000]
