
Melhores respostas:
0 21.333 [*julia_roberts | nacionalidade | norte-americana | *richard_gere | nacionalidade | norte-americana] - [20.000 0.333 1.000]
1 21.333 [*julia_roberts | nacionalidade | norte-americana | *richard_gere | nacionalidade | norte-americana] - [20.000 0.333 1.000]

Lista de triplas candidatas a resposta: 
0 21.333 [pretty_woman | elenco | *julia_roberts | pretty_woman | elenco | *richard_gere] - [20.000 0.333 1.000]
1 21.333 [pretty_woman | elenco | *richard_gere | pretty_woman | elenco | *julia_roberts] - [20.000 0.333 1.000]
2 21.333 [noiva_em_fuga | elenco | *julia_roberts | noiva_em_fuga | elenco | *richard_gere] - [20.000 0.333 1.000]
3 21.333 [noiva_em_fuga | elenco | *richard_gere | noiva_em_fuga | elenco | *julia_roberts] - [20.000 0.333 1.000]
4 21.333 [*julia_roberts | ocupacao | *ator | *richard_gere | ocupacao | *ator] - [20.000 0.333 1.000]
5 21.333 [*julia_roberts | nacionalidade | norte-americana | *richard_gere | nacionalidade | norte-americana] - [20.000 0.333 1.000]
6 21.333 [*richard_gere | ocupacao | *ator | *julia_roberts | ocupacao | *ator] - [20.000 0.333 1.000]
7 21.333 [*richard_gere | nacionalidade | norte-americana | *julia_roberts | nacionalidade | norte-americana] - [20.000 0.333 1.000]
8 14.251 [*richard_gere | sagawards | *melhor elenco - cinema | hachiko:_a_dog's_story | *producao | *richard_gere] - [13.251 0.500 0.500]
9 13.932 [*julia_roberts | sagawards | *melhor atriz em cinema | *hook_(filme) | elenco | *julia_roberts] - [12.932 0.500 0.500]
10 13.903 [*notting_hill_(filme) | *cinematografia | michael coulter | *notting_hill_(filme) | elenco | *julia_roberts] - [12.903 0.500 0.500]
11 13.903 [*notting_hill_(filme) | elenco | *julia_roberts | *notting_hill_(filme) | *cinematografia | michael coulter] - [12.903 0.500 0.500]
12 13.843 [*mirror_mirror_(filme) | *cinematografia | brendan galvin | *mirror_mirror_(filme) | elenco | *julia_roberts] - [12.843 0.500 0.500]
13 13.843 [*mirror_mirror_(filme) | elenco | *julia_roberts | *mirror_mirror_(filme) | *cinematografia | brendan galvin] - [12.843 0.500 0.500]
14 13.823 [*julia_roberts | sagawards | *melhor atriz em cinema | *closer_(filme) | elenco | *julia_roberts] - [12.823 0.500 0.500]
