
Melhores respostas:
0 15.131 [*rachel_stevens | *imagem | rachel stevens.jpg | *rachel_stevens | *atividade | 2003] - [13.631 0.500 1.000]
1 14.636 [*rachel_stevens | *imagemtamanho | 200 | *rachel_stevens | *atividade | 2003] - [13.136 0.500 1.000]

Lista de triplas candidatas a resposta: 
0 15.131 [*rachel_stevens | *imagem | rachel stevens.jpg | *rachel_stevens | *atividade | 2003] - [13.631 0.500 1.000]
1 15.131 [*rachel_stevens | *atividade | 2003 | *rachel_stevens | *imagem | rachel stevens.jpg] - [13.631 0.500 1.000]
2 14.636 [*rachel_stevens | *imagemtamanho | 200 | *rachel_stevens | *atividade | 2003] - [13.136 0.500 1.000]
3 14.636 [*sam_hazeldine | *atividade | 2003 | *rachel_stevens | *atividade | 2003] - [13.136 0.500 1.000]
4 14.636 [*rachel_stevens | *atividade | 2003 | *sam_hazeldine | *atividade | 2003] - [13.136 0.500 1.000]
5 14.636 [*rachel_stevens | *atividade | 2003 | *rachel_stevens | *imagemtamanho | 200] - [13.136 0.500 1.000]
6 14.112 [*mike_oldfield | *imagemtamanho | 200 | *rachel_stevens | *imagemtamanho | 200] - [12.612 0.500 1.000]
7 14.112 [*rachel_stevens | *imagemtamanho | 200 | *mike_oldfield | *imagemtamanho | 200] - [12.612 0.500 1.000]
8 13.911 [*rachel_stevens | *imagemtamanho | 200 | *universidade_de_iorque | *imagemtamanho | 200] - [12.411 0.500 1.000]
9 13.911 [*universidade_de_iorque | *imagemtamanho | 200 | *rachel_stevens | *imagemtamanho | 200] - [12.411 0.500 1.000]
10 13.907 [*rachel_stevens | *imagemtamanho | 200 | *giacomo_casanova | *imagemtamanho | 200] - [12.407 0.500 1.000]
11 13.907 [*giacomo_casanova | *imagemtamanho | 200 | *rachel_stevens | *imagemtamanho | 200] - [12.407 0.500 1.000]
12 13.600 [*emilio_augusto_goeldi | *imagemtamanho | 200 | *rachel_stevens | *imagemtamanho | 200] - [12.100 0.500 1.000]
13 13.600 [*rachel_stevens | *imagemtamanho | 200 | *emilio_augusto_goeldi | *imagemtamanho | 200] - [12.100 0.500 1.000]
14 13.497 [*rachel_stevens | *atividade | 2003] - [11.830 0.667 1.000]
15 13.468 [*rachel_stevens | *imagem | rachel stevens.jpg] - [11.801 0.667 1.000]
16 13.237 [*urbano_santos_da_costa_araujo | *imagemtamanho | 200 | *rachel_stevens | *imagemtamanho | 200] - [11.737 0.500 1.000]
