
Melhores respostas:
0 13.995 [anton_hafner | *nascimentolocal | *erbach] - [12.329 0.667 1.000]
1 13.730 [georg_christian_oeder | *nascimentolocal | *ansbach] - [12.063 0.667 1.000]
2 13.730 [ernst_ihbe | *nascimentolocal | *erlbach] - [12.063 0.667 1.000]
3 13.730 [julius_buckler | *nascimentolocal | *mombach] - [12.063 0.667 1.000]
4 13.688 [marquinhos_gabriel | *nascimentocidade | *selbach] - [12.021 0.667 1.000]
5 13.688 [roland_hattenberger | *nascimentocidade | *jenbach] - [12.021 0.667 1.000]
6 13.688 [billel_omrani | *nascimentocidade | *forbach] - [12.021 0.667 1.000]
7 13.688 [karlheinz_forster | *nascimentocidade | *mosbach] - [12.021 0.667 1.000]
8 13.494 [walter_brandmuller | *nascimentodata | *ansbach,] - [11.827 0.667 1.000]
9 13.454 [hansrudi_marki | *nascimentolocal | *handbach] - [11.788 0.667 1.000]
10 13.454 [friedrich_oswald_sauerbronn | *nascimentolocal | *hilsbach] - [11.788 0.667 1.000]
11 13.454 [franz_lackner | *nascimentolocal | *feldbach] - [11.788 0.667 1.000]
12 13.170 [otto_mannel | *nascimentolocal | *schilbach] - [11.503 0.667 1.000]
13 13.170 [hans_jordan | *nascimentolocal | *gernsbach] - [11.503 0.667 1.000]
14 13.128 [horst_eckel | *nascimentocidade | *vogelbach] - [11.461 0.667 1.000]
15 12.877 [jakob_heine | *nascimentolocal | *lauterbach] - [11.210 0.667 1.000]

Lista de triplas candidatas a resposta: 
0 13.995 [anton_hafner | *nascimentolocal | *erbach] - [12.329 0.667 1.000]
1 13.995 [albert_fraenkel | *localnascimento | *mubach] - [12.329 0.667 1.000]
2 13.995 [timo_boll | *localnascimento | *erbach] - [12.329 0.667 1.000]
3 13.730 [georg_christian_oeder | *nascimentolocal | *ansbach] - [12.063 0.667 1.000]
4 13.730 [georg_ernst_stahl | *localnascimento | *ansbach] - [12.063 0.667 1.000]
5 13.730 [ernst_ihbe | *nascimentolocal | *erlbach] - [12.063 0.667 1.000]
6 13.730 [neri_geller | *localnascimento | *selbach] - [12.063 0.667 1.000]
7 13.730 [wilhelm_killing | *localnascimento | *burbach] - [12.063 0.667 1.000]
8 13.730 [julius_buckler | *nascimentolocal | *mombach] - [12.063 0.667 1.000]
9 13.730 [gregor_baunach | *localnascimento | *karbach] - [12.063 0.667 1.000]
10 13.730 [heinrich_hencky | *localnascimento | *ansbach] - [12.063 0.667 1.000]
11 13.688 [marquinhos_gabriel | *nascimentocidade | *selbach] - [12.021 0.667 1.000]
12 13.688 [roland_hattenberger | *nascimentocidade | *jenbach] - [12.021 0.667 1.000]
13 13.688 [billel_omrani | *nascimentocidade | *forbach] - [12.021 0.667 1.000]
14 13.688 [karlheinz_forster | *nascimentocidade | *mosbach] - [12.021 0.667 1.000]
15 13.494 [walter_brandmuller | *nascimentodata | *ansbach,] - [11.827 0.667 1.000]
16 13.454 [wolfgang_tonne | *localnascimento | *moosbach] - [11.788 0.667 1.000]
17 13.454 [michele_besso | *localnascimento | *riesbach] - [11.788 0.667 1.000]
18 13.454 [maximus_von_imhof | *localnascimento | *reisbach] - [11.788 0.667 1.000]
19 13.454 [leonhard_auffhammer | *localnascimento | *kulmbach] - [11.788 0.667 1.000]
20 13.454 [hansrudi_marki | *nascimentolocal | *handbach] - [11.788 0.667 1.000]
21 13.454 [friedrich_oswald_sauerbronn | *nascimentolocal | *hilsbach] - [11.788 0.667 1.000]
22 13.454 [joachim_schwermer | *localnascimento | *kulmbach] - [11.788 0.667 1.000]
23 13.454 [hans_kienle | *localnascimento | *kulmbach] - [11.788 0.667 1.000]
24 13.454 [franz_lackner | *nascimentolocal | *feldbach] - [11.788 0.667 1.000]
25 13.367 [feodora_de_leiningen | *localdenascimento | *amorbach] - [11.700 0.667 1.000]
26 13.367 [carlos,_3_principe_de_leiningen | *localdenascimento | *amorbach] - [11.700 0.667 1.000]
27 13.170 [jean_baptiste_senderens | *localnascimento | *barbachen] - [11.503 0.667 1.000]
28 13.170 [otto_mannel | *nascimentolocal | *schilbach] - [11.503 0.667 1.000]
29 13.170 [walter_greiner | *localnascimento | *judenbach] - [11.503 0.667 1.000]
30 13.170 [josef_bremm | *localnascimento | *mannebach] - [11.503 0.667 1.000]
31 13.170 [uwe_dassler | *localnascimento | *ebersbach] - [11.503 0.667 1.000]
32 13.170 [karl_auer | *localnascimento | *prienbach] - [11.503 0.667 1.000]
33 13.170 [nicole_hosp | *localnascimento | *bichlbach] - [11.503 0.667 1.000]
34 13.170 [hans_marschall | *localnascimento | *otterbach] - [11.503 0.667 1.000]
35 13.170 [tim_lobinger | *localnascimento | *rheinbach] - [11.503 0.667 1.000]
36 13.170 [hans_jordan | *nascimentolocal | *gernsbach] - [11.503 0.667 1.000]
37 13.128 [horst_eckel | *nascimentocidade | *vogelbach] - [11.461 0.667 1.000]
38 13.083 [maria_ana_de_braganca,_gra_duquesa_do_luxemburgo | *localdenascimento | *bronnbach] - [11.416 0.667 1.000]
39 12.877 [jakob_heine | *nascimentolocal | *lauterbach] - [11.210 0.667 1.000]
40 12.877 [*marta_bach | *localnascimento | espanha] - [11.210 0.667 1.000]
41 12.877 [otto_franzel | *localnascimento | *eschenbach] - [11.210 0.667 1.000]
42 12.877 [hugo_deiring | *localnascimento | *gronenbach] - [11.210 0.667 1.000]
43 12.877 [josef_beck | *localnascimento | *sielenbach] - [11.210 0.667 1.000]
44 12.877 [heinz_imboden | *nascimentolocal | *bleienbach] - [11.210 0.667 1.000]
45 12.835 [karen_lancaume | *nomedenascimento | *karen bach] - [11.168 0.667 1.000]
46 12.790 [henrique_ii_do_sacro_imperio_romano_germanico | *localdenascimento | *bad_abbach] - [11.123 0.667 1.000]
47 12.577 [*edward_bach | *localnascimento | birmingham] - [10.910 0.667 1.000]
48 12.577 [wim_kok | *localnascimento | *bergambacht] - [10.910 0.667 1.000]
49 12.577 [heidi_hutterer | *localnascimento | *ergoldsbach] - [10.910 0.667 1.000]
50 12.577 [*helmut_bach | *localnascimento | helfta] - [10.910 0.667 1.000]
51 12.577 [ilona_gusenbauer | *localnascimento | *gummersbach] - [10.910 0.667 1.000]
52 12.577 [*volker_bach | *localnascimento | bremen] - [10.910 0.667 1.000]
53 12.577 [*sani_abacha | *localnascimento | nigeria] - [10.910 0.667 1.000]
54 12.577 [*thomas_bach | *nascimentolocal | wurzburg] - [10.910 0.667 1.000]
55 12.577 [heiner_brand | *localnascimento | *gummersbach] - [10.910 0.667 1.000]
56 12.577 [*thomas_bach | *nascimentolocal | alemanha] - [10.910 0.667 1.000]
57 12.577 [paul_drux | *localnascimento | *gummersbach] - [10.910 0.667 1.000]
58 12.535 [*nafa_urbach | *nascimentocidade | java_central] - [10.868 0.667 1.000]
59 12.310 [*john_bachman | *datanascimento | 4] - [10.644 0.667 1.000]
60 12.271 [*willi_bachor | *localnascimento | kelbassen/easternprussia, alemanha] - [10.604 0.667 1.000]
61 12.271 [*erich_bachem | *localnascimento | mulheim] - [10.604 0.667 1.000]
