
Melhores respostas:
0 13.294 [*kafka_(filme) | elenco | *alec_guinness] - [11.628 0.667 1.000]
1 13.126 [*cromwell_(filme) | elenco | *alec_guinness] - [11.459 0.667 1.000]
2 13.068 [*star_wars_(filme) | elenco | *alec_guinness] - [11.401 0.667 1.000]
3 12.599 [*our_man_in_havana_(filme) | elenco | *alec_guinness] - [10.932 0.667 1.000]
4 12.544 [*lawrence_da_arabia_(filme) | elenco | *alec_guinness] - [10.877 0.667 1.000]

Lista de triplas candidatas a resposta: 
0 13.294 [*kafka_(filme) | elenco | *alec_guinness] - [11.628 0.667 1.000]
1 13.126 [*cromwell_(filme) | elenco | *alec_guinness] - [11.459 0.667 1.000]
2 13.068 [*star_wars_(filme) | elenco | *alec_guinness] - [11.401 0.667 1.000]
3 12.599 [*our_man_in_havana_(filme) | elenco | *alec_guinness] - [10.932 0.667 1.000]
4 12.544 [*lawrence_da_arabia_(filme) | elenco | *alec_guinness] - [10.877 0.667 1.000]
5 11.775 [*alec_guinness | titulo | *lista_de_filmes_premiados_com_o_oscar_de_melhor_ator] - [10.108 0.667 1.000]
6 11.333 [yul_brynner | depois | *alec_guinness] - [10.000 0.333 1.000]
7 11.333 [the_card | elenco | *alec_guinness] - [10.000 0.333 1.000]
8 11.333 [murder_by_death | elenco | *alec_guinness] - [10.000 0.333 1.000]
9 11.333 [*alec_guinness | ocupacao | ator] - [10.000 0.333 1.000]
10 11.333 [*alec_guinness | descricao | alec guinness em 1973] - [10.000 0.333 1.000]
11 11.333 [*alec_guinness | anos | 1957] - [10.000 0.333 1.000]
12 11.333 [*alec_guinness | urso | urso de ouro honorario] - [10.000 0.333 1.000]
13 11.333 [hotel_paradiso | elenco | *alec_guinness] - [10.000 0.333 1.000]
14 11.333 [*alec_guinness | urso | 1988] - [10.000 0.333 1.000]
15 11.333 [*alec_guinness | imagem | sir alec guinness allan warren.jpg] - [10.000 0.333 1.000]
16 11.333 [*alec_guinness | conjuge | merula salaman] - [10.000 0.333 1.000]
17 11.333 [*alec_guinness | nome | alec guinness] - [10.000 0.333 1.000]
18 11.333 [*alec_guinness | localidaden | inglaterra] - [10.000 0.333 1.000]
19 11.333 [*alec_guinness | localidaden | londres] - [10.000 0.333 1.000]
20 11.333 [*alec_guinness | oscaresacademia | 1957] - [10.000 0.333 1.000]
21 11.333 [*alec_guinness | oscaresacademia | melhor ator] - [10.000 0.333 1.000]
22 11.333 [*alec_guinness | tamanhoimagem | 240] - [10.000 0.333 1.000]
