
Melhores respostas:
0 21.041 [convocacoes_para_a_copa_america_de_2015 | name | *neymar | convocacoes_para_a_copa_america_de_2015 | club | *real_madrid_cf] - [19.708 0.333 1.000]
1 20.808 [convocacoes_para_a_copa_america_de_2015 | name | *neymar | convocacoes_para_a_copa_america_de_2015 | club | *real_madrid_c.f.] - [19.474 0.333 1.000]
2 20.234 [convocacoes_para_a_copa_america_de_2015 | name | *neymar | convocacoes_para_a_copa_america_de_2015 | club | *real_madrid_castilla] - [18.901 0.333 1.000]

Lista de triplas candidatas a resposta: 
0 21.333 [copa_del_rey_de_201415 | gols | *neymar | copa_del_rey_de_201415 | team | *real_madrid] - [20.000 0.333 1.000]
1 21.333 [copa_del_rey_de_201415 | gols | *neymar | copa_del_rey_de_201415 | rd2time | *real_madrid] - [20.000 0.333 1.000]
2 21.333 [resultados_do_segundo_turno_de_la_liga_de_201516 | time | *real_madrid | resultados_do_segundo_turno_de_la_liga_de_201516 | gols | *neymar] - [20.000 0.333 1.000]
3 21.333 [resultados_do_segundo_turno_de_la_liga_de_201516 | gols | *neymar | resultados_do_segundo_turno_de_la_liga_de_201516 | time | *real_madrid] - [20.000 0.333 1.000]
4 21.333 [resultados_do_primeiro_turno_de_la_liga_de_201516 | time | *real_madrid | resultados_do_primeiro_turno_de_la_liga_de_201516 | gols | *neymar] - [20.000 0.333 1.000]
5 21.333 [resultados_do_primeiro_turno_de_la_liga_de_201516 | gols | *neymar | resultados_do_primeiro_turno_de_la_liga_de_201516 | time | *real_madrid] - [20.000 0.333 1.000]
6 21.333 [copa_del_rey_de_201415 | team | *real_madrid | copa_del_rey_de_201415 | gols | *neymar] - [20.000 0.333 1.000]
7 21.333 [copa_del_rey_de_201415 | rd2time | *real_madrid | copa_del_rey_de_201415 | gols | *neymar] - [20.000 0.333 1.000]
8 21.041 [convocacoes_para_a_copa_america_de_2015 | name | *neymar | convocacoes_para_a_copa_america_de_2015 | club | *real_madrid_cf] - [19.708 0.333 1.000]
9 21.041 [convocacoes_para_a_copa_america_de_2015 | club | *real_madrid_cf | convocacoes_para_a_copa_america_de_2015 | name | *neymar] - [19.708 0.333 1.000]
10 20.995 [copa_del_rey_de_201415 | goals | *neymar , | copa_del_rey_de_201415 | team | *real_madrid] - [19.662 0.333 1.000]
11 20.995 [copa_del_rey_de_201415 | goals | *neymar , | copa_del_rey_de_201415 | rd2time | *real_madrid] - [19.662 0.333 1.000]
12 20.995 [copa_del_rey_de_201415 | team | *real_madrid | copa_del_rey_de_201415 | goals | *neymar ,] - [19.662 0.333 1.000]
13 20.995 [copa_del_rey_de_201415 | rd2time | *real_madrid | copa_del_rey_de_201415 | goals | *neymar ,] - [19.662 0.333 1.000]
14 20.808 [copa_del_rey_de_201415 | gols | *neymar | copa_del_rey_de_201415 | team | *real_madrid_c.f.] - [19.474 0.333 1.000]
15 20.808 [convocacoes_para_a_copa_america_de_2015 | name | *neymar | convocacoes_para_a_copa_america_de_2015 | club | *real_madrid_c.f.] - [19.474 0.333 1.000]
16 20.808 [copa_del_rey_de_201415 | team | *real_madrid_c.f. | copa_del_rey_de_201415 | gols | *neymar] - [19.474 0.333 1.000]
17 20.808 [convocacoes_para_a_copa_america_de_2015 | club | *real_madrid_c.f. | convocacoes_para_a_copa_america_de_2015 | name | *neymar] - [19.474 0.333 1.000]
18 20.469 [copa_del_rey_de_201415 | goals | *neymar , | copa_del_rey_de_201415 | team | *real_madrid_c.f.] - [19.136 0.333 1.000]
19 20.469 [copa_del_rey_de_201415 | team | *real_madrid_c.f. | copa_del_rey_de_201415 | goals | *neymar ,] - [19.136 0.333 1.000]
20 20.234 [convocacoes_para_a_copa_america_de_2015 | name | *neymar | convocacoes_para_a_copa_america_de_2015 | club | *real_madrid_castilla] - [18.901 0.333 1.000]
21 20.234 [convocacoes_para_a_copa_america_de_2015 | club | *real_madrid_castilla | convocacoes_para_a_copa_america_de_2015 | name | *neymar] - [18.901 0.333 1.000]
22 15.942 [*neymar | *jogos(golos)_ | 230 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [14.942 0.500 0.500]
23 15.942 [*neymar | *jogos(golos)_ | 156 | campeonato_brasileiro_de_futebol_de_2011___serie_a | *melhorjogador | *neymar] - [14.942 0.500 0.500]
24 15.942 [*neymar | *jogos(golos)_ | 230 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [14.942 0.500 0.500]
25 15.942 [*neymar | *jogos(golos)_ | 156 | copa_das_confederacoes_fifa_de_2013 | *melhorjogador | *neymar] - [14.942 0.500 0.500]
