
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 12.833 [*melbourne_village | populacao | 662 | *melbourne_village | estado | *florida] - [12.000 0.333 0.500]
1 12.833 [*melbourne_village | estado | *florida | *melbourne_village | populacao | 662] - [12.000 0.333 0.500]
2 12.833 [*west_melbourne | estado | *florida | *west_melbourne | populacao | 18355] - [12.000 0.333 0.500]
3 12.833 [*melbourne_beach | estado | *florida | *melbourne_beach | populacao | 3101] - [12.000 0.333 0.500]
4 12.833 [*west_melbourne | populacao | 18355 | *west_melbourne | estado | *florida] - [12.000 0.333 0.500]
5 12.833 [*melbourne_beach | populacao | 3101 | *melbourne_beach | estado | *florida] - [12.000 0.333 0.500]
6 11.312 [*florida_(uruguai) | populacao | 32128] - [10.145 0.667 0.500]
7 10.833 [*melbourne_village | estado | *florida] - [10.000 0.333 0.500]
8 10.833 [*west_melbourne | estado | *florida] - [10.000 0.333 0.500]
9 10.833 [*melbourne_beach | estado | *florida] - [10.000 0.333 0.500]
10 10.827 [*melbourne_(florida) | populacao | 76068] - [9.660 0.667 0.500]
11 10.667 [*melbourne_village | nome | *melbourne village | *melbourne_village | estado | *florida] - [10.000 0.167 0.500]
12 10.667 [*melbourne_village | y | 546 | *melbourne_village | estado | *florida] - [10.000 0.167 0.500]
13 10.667 [*melbourne_village | y | 794 | *melbourne_village | estado | *florida] - [10.000 0.167 0.500]
14 10.667 [*melbourne_village | y | 565 | *melbourne_village | estado | *florida] - [10.000 0.167 0.500]
15 10.667 [*melbourne_village | latm | 5 | *melbourne_village | estado | *florida] - [10.000 0.167 0.500]
16 10.667 [*melbourne_village | y | 417 | *melbourne_village | estado | *florida] - [10.000 0.167 0.500]
17 10.667 [*melbourne_village | y | 533 | *melbourne_village | estado | *florida] - [10.000 0.167 0.500]
18 10.667 [*melbourne_village | estado | *florida | *melbourne_village | text | 8] - [10.000 0.167 0.500]
19 10.667 [*melbourne_village | estado | *florida | *melbourne_village | text | 14] - [10.000 0.167 0.500]
20 10.667 [*melbourne_village | estado | *florida | *melbourne_village | text | 20] - [10.000 0.167 0.500]
21 10.667 [*melbourne_village | estado | *florida | *melbourne_village | text | 16] - [10.000 0.167 0.500]
22 10.667 [*melbourne_village | estado | *florida | *melbourne_village | lema | the town that really cares] - [10.000 0.167 0.500]
23 10.667 [*melbourne_village | estado | *florida | *melbourne_village | scale | 400] - [10.000 0.167 0.500]
24 10.667 [*melbourne_village | estado | *florida | *melbourne_village | latg | 28] - [10.000 0.167 0.500]
25 10.667 [*melbourne_village | estado | *florida | *melbourne_village | lats | 18] - [10.000 0.167 0.500]
26 10.667 [*melbourne_village | estado | *florida | *melbourne_village | long | 80] - [10.000 0.167 0.500]
27 10.667 [*melbourne_village | estado | *florida | *melbourne_village | mapadetalhado | 250] - [10.000 0.167 0.500]
28 10.667 [*melbourne_village | estado | *florida | *melbourne_village | artigoestadomapaeua | da] - [10.000 0.167 0.500]
29 10.667 [*melbourne_village | estado | *florida | *melbourne_village | areaterra | 153] - [10.000 0.167 0.500]
30 10.667 [*melbourne_village | estado | *florida | *melbourne_village | codigofips | 12] - [10.000 0.167 0.500]
31 10.667 [*melbourne_village | estado | *florida | *melbourne_village | densidade | 43322] - [10.000 0.167 0.500]
32 10.667 [*melbourne_village | estado | *florida | *melbourne_village | tipo | vila] - [10.000 0.167 0.500]
33 10.667 [*melbourne_village | estado | *florida | *melbourne_village | lons | 1] - [10.000 0.167 0.500]
34 10.667 [*melbourne_village | estado | *florida | *melbourne_village | artigoestado | na] - [10.000 0.167 0.500]
35 10.667 [*melbourne_village | latp | n | *melbourne_village | estado | *florida] - [10.000 0.167 0.500]
36 10.667 [*melbourne_village | estado | *florida | *melbourne_village | text | 12] - [10.000 0.167 0.500]
