
Melhores respostas:
0 13.482 [ken_rosewall | *cidadenatal | *australia] - [11.815 0.667 1.000]
1 13.482 [geoff_masters | *cidadenatal | *australia] - [11.815 0.667 1.000]
2 13.482 [john_marks | *cidadenatal | *australia] - [11.815 0.667 1.000]
3 13.482 [jack_crawford | *cidadenatal | *australia] - [11.815 0.667 1.000]
4 13.482 [laura_robson | *cidadenatal | *australia] - [11.815 0.667 1.000]
5 13.482 [adam_scott_(golfista) | *cidadenatal | *australia] - [11.815 0.667 1.000]
6 13.482 [peter_mcnamara | *cidadenatal | *australia] - [11.815 0.667 1.000]
7 13.482 [jenny_byrne | *cidadenatal | *australia] - [11.815 0.667 1.000]
8 13.482 [frank_sedgman | *cidadenatal | *australia] - [11.815 0.667 1.000]
9 13.482 [john_bromwich | *cidadenatal | *australia] - [11.815 0.667 1.000]
10 13.482 [sandon_stolle | *cidadenatal | *australia] - [11.815 0.667 1.000]
11 13.482 [karen_krantzcke | *cidadenatal | *australia] - [11.815 0.667 1.000]
12 13.482 [ken_mcgregor | *cidadenatal | *australia] - [11.815 0.667 1.000]
13 13.482 [malcolm_anderson | *cidadenatal | *australia] - [11.815 0.667 1.000]
14 13.482 [margaret_court | *cidadenatal | *australia] - [11.815 0.667 1.000]
15 13.482 [gerald_patterson | *cidadenatal | *australia] - [11.815 0.667 1.000]
16 13.482 [johanna_konta | *cidadenatal | *australia] - [11.815 0.667 1.000]
17 13.482 [jordan_kerr | *cidadenatal | *australia] - [11.815 0.667 1.000]
18 13.482 [ernie_parker | *cidadenatal | *australia] - [11.815 0.667 1.000]
19 13.482 [daphne_akhurst | *cidadenatal | *australia] - [11.815 0.667 1.000]
20 13.482 [samantha_stosur | *cidadenatal | *australia] - [11.815 0.667 1.000]
21 13.482 [horace_rice | *cidadenatal | *australia] - [11.815 0.667 1.000]
22 13.482 [arthur_o'hara_wood | *cidadenatal | *australia] - [11.815 0.667 1.000]
23 13.482 [kerry_reid | *cidadenatal | *australia] - [11.815 0.667 1.000]
24 13.482 [mervyn_rose | *cidadenatal | *australia] - [11.815 0.667 1.000]
25 13.482 [wendy_turnbull | *cidadenatal | *australia] - [11.815 0.667 1.000]
26 13.482 [bill_bowrey | *cidadenatal | *australia] - [11.815 0.667 1.000]
27 13.482 [nathan_healey | *cidadenatal | *australia] - [11.815 0.667 1.000]
28 13.482 [john_patrick_smith | *cidadenatal | *australia] - [11.815 0.667 1.000]
29 13.482 [harry_hopman | *cidadenatal | *australia] - [11.815 0.667 1.000]
30 13.482 [todd_perry | *cidadenatal | *australia] - [11.815 0.667 1.000]
31 13.482 [alicia_molik | *cidadenatal | *australia] - [11.815 0.667 1.000]
32 13.482 [casey_dellacqua | *cidadenatal | *australia] - [11.815 0.667 1.000]
33 13.482 [mark_kratzmann | *cidadenatal | *australia] - [11.815 0.667 1.000]
34 13.482 [nancye_wynne_bolton | *cidadenatal | *australia] - [11.815 0.667 1.000]
35 13.482 [pat_cash | *cidadenatal | *australia] - [11.815 0.667 1.000]
36 13.482 [don_candy | *cidadenatal | *australia] - [11.815 0.667 1.000]
