
Melhores respostas:
0 17.190 [*phoenix_(sonda_espacial) | *lancamento | 4 | *phoenix_(sonda_espacial) | *operacao | *nasa] - [15.690 0.500 1.000]
1 17.092 [*dawn_(sonda_espacial) | *localdolancamento | cabo canaveral, florida, estados unidos | *dawn_(sonda_espacial) | *operacao | *nasa] - [15.592 0.500 1.000]
2 17.017 [*phoenix_(sonda_espacial) | *localdolancamento | estacao da forca aerea de cabo canaveral, florida, estados unidos | *phoenix_(sonda_espacial) | *operacao | *nasa] - [15.517 0.500 1.000]
3 16.951 [*phoenix_(sonda_espacial) | *veiculodelancamento | delta ii 7925 | *phoenix_(sonda_espacial) | *operacao | *nasa] - [15.451 0.500 1.000]

Lista de triplas candidatas a resposta: 
0 17.190 [*phoenix_(sonda_espacial) | *lancamento | 4 | *phoenix_(sonda_espacial) | *operacao | *nasa] - [15.690 0.500 1.000]
1 17.190 [*phoenix_(sonda_espacial) | *operacao | *nasa | *phoenix_(sonda_espacial) | *lancamento | 4] - [15.690 0.500 1.000]
2 17.092 [*dawn_(sonda_espacial) | *operacao | *nasa | *dawn_(sonda_espacial) | *localdolancamento | cabo canaveral, florida, estados unidos] - [15.592 0.500 1.000]
3 17.092 [*dawn_(sonda_espacial) | *localdolancamento | cabo canaveral, florida, estados unidos | *dawn_(sonda_espacial) | *operacao | *nasa] - [15.592 0.500 1.000]
4 17.017 [*phoenix_(sonda_espacial) | *operacao | *nasa | *phoenix_(sonda_espacial) | *localdolancamento | estacao da forca aerea de cabo canaveral, florida, estados unidos] - [15.517 0.500 1.000]
5 17.017 [*phoenix_(sonda_espacial) | *localdolancamento | estacao da forca aerea de cabo canaveral, florida, estados unidos | *phoenix_(sonda_espacial) | *operacao | *nasa] - [15.517 0.500 1.000]
6 16.951 [*phoenix_(sonda_espacial) | *operacao | *nasa | *phoenix_(sonda_espacial) | *veiculodelancamento | delta ii 7925] - [15.451 0.500 1.000]
7 16.951 [*phoenix_(sonda_espacial) | *veiculodelancamento | delta ii 7925 | *phoenix_(sonda_espacial) | *operacao | *nasa] - [15.451 0.500 1.000]
8 16.500 [programa_viking | *lancamento | viking 1: 20 de agosto de 1975 as 21:22:00 utc | programa_viking | *operacao | *nasa] - [15.000 0.500 1.000]
9 16.500 [maven | *lancamento | 18 | maven | *operacao | *nasa] - [15.000 0.500 1.000]
10 16.500 [mariner_6_e_7 | *operacao | *nasa | mariner_6_e_7 | *lancamento | 27] - [15.000 0.500 1.000]
11 16.500 [cassini_huygens | *lancamento | 15 | cassini_huygens | *operacao | *nasa] - [15.000 0.500 1.000]
12 16.500 [pioneer_4 | *operacao | *nasa | pioneer_4 | *lancamento | 3] - [15.000 0.500 1.000]
13 16.500 [triton_orbiter | *lancamento | 2016 | triton_orbiter | *operacao | *nasa] - [15.000 0.500 1.000]
14 16.500 [wilkinson_microwave_anisotropy_probe | *lancamento | 30 | wilkinson_microwave_anisotropy_probe | *operacao | *nasa] - [15.000 0.500 1.000]
15 16.500 [lunar_prospector | *operacao | *nasa | lunar_prospector | *lancamento | 7] - [15.000 0.500 1.000]
16 16.500 [tdrs_8 | *work | failures | tdrs_8 | *operador | *nasa] - [15.000 0.500 1.000]
17 16.500 [tdrs_8 | *work | advanced technologies, volume 8 number 5 | tdrs_8 | *operador | *nasa] - [15.000 0.500 1.000]
18 16.500 [programa_viking | *operacao | *nasa | programa_viking | *lancamento | viking 1: 20 de agosto de 1975 as 21:22:00 utc] - [15.000 0.500 1.000]
19 16.500 [interface_region_imaging_spectrograph | *operacao | *nasa | interface_region_imaging_spectrograph | *lancamento | 27] - [15.000 0.500 1.000]
20 16.500 [pioneer_5 | *operacao | *nasa | pioneer_5 | *lancamento | 11] - [15.000 0.500 1.000]
21 16.500 [tdrs_8 | *operador | *nasa | tdrs_8 | *work | advanced technologies, volume 8 number 5] - [15.000 0.500 1.000]
22 16.500 [tdrs_8 | *operador | *nasa | tdrs_8 | *work | failures] - [15.000 0.500 1.000]
23 16.500 [mariner_6_e_7 | *lancamento | 27 | mariner_6_e_7 | *operacao | *nasa] - [15.000 0.500 1.000]
24 16.500 [insight | *lancamento | maio de 2018 | insight | *operacao | *nasa] - [15.000 0.500 1.000]
25 16.500 [maven | *operacao | *nasa | maven | *lancamento | 18] - [15.000 0.500 1.000]
26 16.500 [pioneer_4 | *lancamento | 3 | pioneer_4 | *operacao | *nasa] - [15.000 0.500 1.000]
27 16.500 [cassini_huygens | *operacao | *nasa | cassini_huygens | *lancamento | 15] - [15.000 0.500 1.000]
28 16.500 [triton_orbiter | *operacao | *nasa | triton_orbiter | *lancamento | 2016] - [15.000 0.500 1.000]
29 16.500 [lunar_prospector | *lancamento | 7 | lunar_prospector | *operacao | *nasa] - [15.000 0.500 1.000]
30 16.500 [wilkinson_microwave_anisotropy_probe | *operacao | *nasa | wilkinson_microwave_anisotropy_probe | *lancamento | 30] - [15.000 0.500 1.000]
31 16.500 [interface_region_imaging_spectrograph | *lancamento | 27 | interface_region_imaging_spectrograph | *operacao | *nasa] - [15.000 0.500 1.000]
32 16.500 [insight | *operacao | *nasa | insight | *lancamento | maio de 2018] - [15.000 0.500 1.000]
33 16.500 [pioneer_5 | *lancamento | 11 | pioneer_5 | *operacao | *nasa] - [15.000 0.500 1.000]
34 16.327 [lunar_orbiter_2 | *operacao | *nasa | lunar_orbiter_2 | *localdolancamento | cabo canaveral, florida, estados unidos] - [14.827 0.500 1.000]
35 16.327 [pioneer_4 | *localdolancamento | cabo canaveral, florida, estados unidos | pioneer_4 | *operacao | *nasa] - [14.827 0.500 1.000]
36 16.327 [lunar_orbiter_2 | *localdolancamento | cabo canaveral, florida, estados unidos | lunar_orbiter_2 | *operacao | *nasa] - [14.827 0.500 1.000]
37 16.327 [voyager_1 | *operacao | *nasa | voyager_1 | *localdolancamento | estacao_da_forca_aerea_de_cabo_canaveral] - [14.827 0.500 1.000]
38 16.327 [voyager_1 | *localdolancamento | estacao_da_forca_aerea_de_cabo_canaveral | voyager_1 | *operacao | *nasa] - [14.827 0.500 1.000]
