
Melhores respostas:
0 14.667 [raja_ram | *nascimento | *australia] - [13.000 0.667 1.000]
1 14.667 [mick_fanning | *nascimento | *australia] - [13.000 0.667 1.000]
2 14.534 [luke_steele_(musico) | *nascimentopais | *australia] - [12.867 0.667 1.000]
3 14.534 [jesse_pinto | *nascimentopais | *australia] - [12.867 0.667 1.000]
4 14.534 [mitchell_langerak | *nascimentopais | *australia] - [12.867 0.667 1.000]
5 14.534 [chet_faker | *nascimentopais | *australia] - [12.867 0.667 1.000]
6 14.534 [cameron_muncey | *nascimentopais | *australia] - [12.867 0.667 1.000]
7 14.534 [grace_(cantora) | *nascimentopais | *australia] - [12.867 0.667 1.000]
8 14.534 [ante_covic | *nascimentopais | *australia] - [12.867 0.667 1.000]
9 14.494 [geoff_smith | *nascimentolocal | *australia] - [12.827 0.667 1.000]
10 14.494 [donald_wilson | *nascimentolocal | *australia] - [12.827 0.667 1.000]
11 14.494 [kaarle_mcculloch | *nascimentolocal | *australia] - [12.827 0.667 1.000]
12 14.494 [matt_white | *nascimentolocal | *australia] - [12.827 0.667 1.000]
13 14.494 [clyde_sefton | *nascimentolocal | *australia] - [12.827 0.667 1.000]
14 14.494 [sid_patterson | *nascimentolocal | *australia] - [12.827 0.667 1.000]
15 14.494 [anna_millward | *nascimentolocal | *australia] - [12.827 0.667 1.000]
16 14.494 [shane_kelly | *nascimentolocal | *australia] - [12.827 0.667 1.000]
17 14.494 [sam_willoughby | *nascimentolocal | *australia] - [12.827 0.667 1.000]
18 14.494 [oenone_wood | *nascimentolocal | *australia] - [12.827 0.667 1.000]
19 14.494 [ryan_bayley | *nascimentolocal | *australia] - [12.827 0.667 1.000]
20 14.494 [lisa_mathison | *nascimentolocal | *australia] - [12.827 0.667 1.000]
21 14.494 [chloe_hosking | *nascimentolocal | *australia] - [12.827 0.667 1.000]
22 14.494 [william_wentworth | *nascimentolocal | *australia] - [12.827 0.667 1.000]
23 14.494 [barry_tuckwell | *nascimentolocal | *australia] - [12.827 0.667 1.000]
24 14.494 [max_barry | *nascimentolocal | *australia] - [12.827 0.667 1.000]
25 14.494 [scott_dixon | *nascimentolocal | *australia] - [12.827 0.667 1.000]
26 14.494 [sam_reid | *nascimentolocal | *australia] - [12.827 0.667 1.000]
27 14.494 [dallas_cairns | *nascimentolocal | *australia] - [12.827 0.667 1.000]
28 14.494 [alan_jones | *nascimentolocal | *australia] - [12.827 0.667 1.000]
29 14.494 [craig_steven_wright | *nascimentolocal | *australia] - [12.827 0.667 1.000]
30 14.494 [marcos_ambrose | *nascimentolocal | *australia] - [12.827 0.667 1.000]
31 14.494 [brett_aitken | *nascimentolocal | *australia] - [12.827 0.667 1.000]
32 14.494 [tanya_bailey | *nascimentolocal | *australia] - [12.827 0.667 1.000]
33 14.494 [sidney_ramsden | *nascimentolocal | *australia] - [12.827 0.667 1.000]
34 14.494 [olivia_gollan | *nascimentolocal | *australia] - [12.827 0.667 1.000]
35 14.494 [dick_ploog | *nascimentolocal | *australia] - [12.827 0.667 1.000]
36 14.494 [graeme_jose | *nascimentolocal | *australia] - [12.827 0.667 1.000]
37 14.494 [jim_nevin | *nascimentolocal | *australia] - [12.827 0.667 1.000]
38 14.494 [gerald_halpin | *nascimentolocal | *australia] - [12.827 0.667 1.000]
39 14.494 [ian_browne | *nascimentolocal | *australia] - [12.827 0.667 1.000]
40 14.494 [matthew_lloyd | *nascimentolocal | *australia] - [12.827 0.667 1.000]
41 14.494 [peter_mcdermott | *nascimentolocal | *australia] - [12.827 0.667 1.000]
42 14.494 [sara_carrigan | *nascimentolocal | *australia] - [12.827 0.667 1.000]
43 14.494 [alister_grierson | *nascimentolocal | *australia] - [12.827 0.667 1.000]
44 14.494 [josie_tomic | *nascimentolocal | *australia] - [12.827 0.667 1.000]
45 14.494 [gary_neiwand | *nascimentolocal | *australia] - [12.827 0.667 1.000]
46 14.494 [nathan_o'neill | *nascimentolocal | *australia] - [12.827 0.667 1.000]
47 14.494 [mark_jamieson | *nascimentolocal | *australia] - [12.827 0.667 1.000]
48 14.494 [graeme_brown | *nascimentolocal | *australia] - [12.827 0.667 1.000]
49 14.494 [jai_courtney | *nascimentolocal | *australia] - [12.827 0.667 1.000]
50 14.494 [luois_hunter | *nascimentolocal | *australia] - [12.827 0.667 1.000]

Lista de triplas candidatas a resposta: 
