
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 32.960 [*abraham_lincoln | *vicepresidente | hannibal hamlin | *abraham_lincoln | conjuge | mary todd] - [31.527 0.833 0.600]
1 32.960 [*abraham_lincoln | conjuge | mary todd | *abraham_lincoln | *vicepresidente | hannibal hamlin] - [31.527 0.833 0.600]
2 22.695 [*abraham_lincoln | *vicepresidente | hannibal hamlin | *abraham_lincoln | image | mary todd lincoln 1846-1847 restored cropped.png] - [21.429 0.667 0.600]
3 22.695 [*abraham_lincoln | image | mary todd lincoln 1846-1847 restored cropped.png | *abraham_lincoln | *vicepresidente | hannibal hamlin] - [21.429 0.667 0.600]
4 22.567 [*abraham_lincoln | *ordempresidente | 16 | *abraham_lincoln | conjuge | mary todd] - [21.501 0.667 0.400]
5 22.567 [*abraham_lincoln | conjuge | mary todd | *abraham_lincoln | *ordempresidente | 16] - [21.501 0.667 0.400]
6 22.539 [*abraham_lincoln | conjuge | mary todd | eleicao_presidencial_nos_estados_unidos_em_1864 | *presidenteeleito | *abraham_lincoln] - [21.472 0.667 0.400]
7 22.539 [*abraham_lincoln | conjuge | mary todd | eleicao_presidencial_nos_estados_unidos_em_1860 | *presidenteeleito | *abraham_lincoln] - [21.472 0.667 0.400]
8 22.509 [*abraham_lincoln | conjuge | mary todd | eleicao_presidencial_nos_estados_unidos_em_1864 | *presidentetitular | *abraham_lincoln] - [21.442 0.667 0.400]
9 22.369 [*abraham_lincoln | *vicepresidente | hannibal hamlin | *abraham_lincoln | caption | mary todd lincoln, esposa de abraham lincoln aos 28 anos.] - [21.102 0.667 0.600]
10 22.369 [*abraham_lincoln | caption | mary todd lincoln, esposa de abraham lincoln aos 28 anos. | *abraham_lincoln | *vicepresidente | hannibal hamlin] - [21.102 0.667 0.600]
11 22.261 [*abraham_lincoln | *vicepresidente | hannibal hamlin | *abraham_lincoln | alt | black and white photo of mary todd lincoln's shoulders and head] - [20.994 0.667 0.600]
12 22.261 [*abraham_lincoln | alt | black and white photo of mary todd lincoln's shoulders and head | *abraham_lincoln | *vicepresidente | hannibal hamlin] - [20.994 0.667 0.600]
13 22.251 [*abraham_lincoln | *vicepresidente | hannibal hamlin] - [20.851 1.000 0.400]
14 21.751 [*abraham_lincoln | *vicepresidente | hannibal hamlin | thomas_paine | influenciados | *abraham_lincoln] - [20.851 0.500 0.400]
15 21.751 [*abraham_lincoln | *vicepresidente | hannibal hamlin | guerra_de_secessao | comandante | *abraham_lincoln] - [20.851 0.500 0.400]
16 21.751 [*abraham_lincoln | *vicepresidente | hannibal hamlin | eleicao_presidencial_nos_estados_unidos_em_1864 | candidato | *abraham_lincoln] - [20.851 0.500 0.400]
17 21.751 [*abraham_lincoln | *vicepresidente | hannibal hamlin | schuyler_colfax | vice | *abraham_lincoln] - [20.851 0.500 0.400]
18 21.751 [*abraham_lincoln | *vicepresidente | hannibal hamlin | john_rawls | influencias | *abraham_lincoln] - [20.851 0.500 0.400]
19 21.751 [*abraham_lincoln | *vicepresidente | hannibal hamlin | *abraham_lincoln | nascimentolocal | hodgenville] - [20.851 0.500 0.400]
20 21.751 [*abraham_lincoln | *vicepresidente | hannibal hamlin | *abraham_lincoln | profissao | politico] - [20.851 0.500 0.400]
21 21.751 [*abraham_lincoln | *vicepresidente | hannibal hamlin | *abraham_lincoln | graduacao | 15] - [20.851 0.500 0.400]
22 21.751 [*abraham_lincoln | *vicepresidente | hannibal hamlin | *abraham_lincoln | nascimentolocal | kentucky] - [20.851 0.500 0.400]
23 21.751 [*abraham_lincoln | *vicepresidente | hannibal hamlin | *abraham_lincoln | imagem | abraham lincoln november 1863.jpg] - [20.851 0.500 0.400]
24 21.751 [*abraham_lincoln | *vicepresidente | hannibal hamlin | *abraham_lincoln | anos | 1861] - [20.851 0.500 0.400]
25 21.751 [*abraham_lincoln | *vicepresidente | hannibal hamlin | *abraham_lincoln | titulo | *presidente_dos_estados_unidos] - [20.851 0.500 0.400]
