
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 14.167 [jackie_wilson | *nascimento | *estados_unidos] - [13.000 0.667 0.500]
1 14.167 [stan_lee | *nascimento | *estados_unidos] - [13.000 0.667 0.500]
2 14.167 [raekwon | *nascimento | *estados_unidos] - [13.000 0.667 0.500]
3 14.167 [ray_charles | *nascimento | *estados_unidos] - [13.000 0.667 0.500]
4 14.167 [charlie_haden | *nascimento | *estados_unidos] - [13.000 0.667 0.500]
5 14.167 [fred_neil | *nascimento | *estados_unidos] - [13.000 0.667 0.500]
6 14.167 [guru_(rapper) | *nascimento | *estados_unidos] - [13.000 0.667 0.500]
7 14.167 [kris_allen | *nascimento | *estados_unidos] - [13.000 0.667 0.500]
8 14.167 [robert_langdon | *nascimento | *estados_unidos] - [13.000 0.667 0.500]
9 14.167 [madeleine_peyroux | *nascimento | *estados_unidos] - [13.000 0.667 0.500]
10 14.167 [pete_yorn | *nascimento | *estados_unidos] - [13.000 0.667 0.500]
11 14.034 [jon_mclaughlin | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
12 14.034 [bill_shirley | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
13 14.034 [mitch_grassi | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
14 14.034 [merrill_womach | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
15 14.034 [cripple_clarence_lofton | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
16 14.034 [pinetop_smith | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
17 14.034 [jimmy_mchugh | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
18 14.034 [ron_nevison | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
19 14.034 [chad_hugo | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
20 14.034 [nathan_davis | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
21 14.034 [idris_muhammad | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
22 14.034 [bob_seeley | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
23 14.034 [andy_williams | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
24 14.034 [matty_matlock | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
25 14.034 [mase_(rapper) | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
26 14.034 [chris_wondolowski | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
27 14.034 [johnny_nash | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
28 14.034 [cow_cow_davenport | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
29 14.034 [sheila_jordan | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
30 14.034 [gil_scott_heron | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
31 14.034 [nadia_azzi | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
32 14.034 [cedar_walton | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
33 14.034 [maga_bo | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
34 14.034 [roger_williams_(pianista) | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
35 14.034 [jeffrey_osborne | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
36 14.034 [benny_goodman | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
37 14.034 [anita_bryant | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
38 14.034 [mort_dixon | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
39 14.034 [omar_hakim | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
40 14.034 [mel_lewis | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
41 14.034 [louis_teicher | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
42 14.034 [christian_mcbride | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
43 14.034 [livia_nestrovski | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
44 14.034 [george_mccrae | *nascimentopais | *estados_unidos] - [12.867 0.667 0.500]
