
Melhores respostas:
0 21.667 [*velvet_goldmine | elenco | *christian_bale] - [20.000 0.667 1.000]

Lista de triplas candidatas a resposta: 
0 21.667 [*velvet_goldmine | elenco | *christian_bale] - [20.000 0.667 1.000]
1 21.333 [the_dark_knight_rises | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
2 21.333 [*terminator_salvation | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
3 21.333 [imperio_do_sol_(filme) | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
4 21.333 [american_hustle | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
5 21.333 [*velvet_goldmine | imagem | ficheiro:velvetgold.jpg | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
6 21.333 [pocahontas_(filme) | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
7 21.333 [*velvet_goldmine | titulo | velvet goldmine | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
8 21.333 [*velvet_goldmine | codigoimdb | 120879 | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
9 21.333 [*velvet_goldmine | genero | drama e musical | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
10 21.333 [*velvet_goldmine | duracao | 124 | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
11 21.333 [*velvet_goldmine | roteiro | todd_haynes | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
12 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | imagem | ficheiro:velvetgold.jpg] - [20.000 0.333 1.000]
13 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | titulo | velvet goldmine] - [20.000 0.333 1.000]
14 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | codigoimdb | 120879] - [20.000 0.333 1.000]
15 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | genero | drama e musical] - [20.000 0.333 1.000]
16 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | duracao | 124] - [20.000 0.333 1.000]
17 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | roteiro | todd_haynes] - [20.000 0.333 1.000]
18 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | elenco | jonathan_rhys_meyers] - [20.000 0.333 1.000]
19 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | elenco | ewan_mcgregor] - [20.000 0.333 1.000]
20 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | ano | 1998] - [20.000 0.333 1.000]
21 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | nome | sandy powell] - [20.000 0.333 1.000]
22 21.333 [*velvet_goldmine | elenco | ewan_mcgregor | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
23 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | tipo | lf] - [20.000 0.333 1.000]
24 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | corpb | cor] - [20.000 0.333 1.000]
25 21.333 [*velvet_goldmine | elenco | jonathan_rhys_meyers | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
26 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | cat | melhor figurino] - [20.000 0.333 1.000]
27 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | titulopt | velvet goldmine] - [20.000 0.333 1.000]
28 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | pais | e] - [20.000 0.333 1.000]
29 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | idioma | ingles] - [20.000 0.333 1.000]
30 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | direcao | todd_haynes] - [20.000 0.333 1.000]
31 21.333 [*velvet_goldmine | elenco | *christian_bale | *velvet_goldmine | titulobr | velvet goldmine] - [20.000 0.333 1.000]
32 21.333 [*velvet_goldmine | ano | 1998 | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
33 21.333 [*velvet_goldmine | nome | sandy powell | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
34 21.333 [shaft_(2000) | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
35 21.333 [*velvet_goldmine | tipo | lf | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
36 21.333 [*velvet_goldmine | corpb | cor | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
37 21.333 [*velvet_goldmine | cat | melhor figurino | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
38 21.333 [*velvet_goldmine | titulopt | velvet goldmine | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
39 21.333 [*velvet_goldmine | idioma | ingles | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
40 21.333 [*velvet_goldmine | pais | e | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
41 21.333 [*velvet_goldmine | titulobr | velvet goldmine | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
42 21.333 [*velvet_goldmine | direcao | todd_haynes | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
43 21.333 [sonho_de_uma_noite_de_verao_(1999) | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
44 21.333 [jungle_book:_origins | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
45 21.333 [rescue_dawn | elenco | *christian_bale | *velvet_goldmine | elenco | *christian_bale] - [20.000 0.333 1.000]
