
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 6.374 [jat_airways | *hubssecundarios | *aeroporto_tivat | jat_airways | *servicovip | business club] - [5.874 0.500 0.000]
1 6.374 [jat_airways | *servicovip | business club | jat_airways | *hubssecundarios | *aeroporto_tivat] - [5.874 0.500 0.000]
2 6.270 [croatia_airlines | *hubssecundarios | *aeroporto_de_zadar | croatia_airlines | *servicovip | senator lounge] - [5.770 0.500 0.000]
3 6.270 [croatia_airlines | *hubssecundarios | *aeroporto_de_split | croatia_airlines | *servicovip | senator lounge] - [5.770 0.500 0.000]
4 6.270 [croatia_airlines | *servicovip | senator lounge | croatia_airlines | *hubssecundarios | *aeroporto_de_zadar] - [5.770 0.500 0.000]
5 6.270 [croatia_airlines | *servicovip | senator lounge | croatia_airlines | *hubssecundarios | *aeroporto_de_split] - [5.770 0.500 0.000]
6 6.191 [klm | *hubssecundarios | *aeroporto_de_roterda | klm | *servicovip | klm crown lounge] - [5.691 0.500 0.000]
7 6.191 [klm | *servicovip | klm crown lounge | klm | *hubssecundarios | *aeroporto_de_roterda] - [5.691 0.500 0.000]
8 6.148 [lufthansa | *hubssecundarios | *aeroporto_de_hamburgo | lufthansa | *servicovip | hon / senator lounge] - [5.648 0.500 0.000]
9 6.148 [lufthansa | *servicovip | hon / senator lounge | lufthansa | *hubssecundarios | *aeroporto_de_hamburgo] - [5.648 0.500 0.000]
10 6.104 [lufthansa | *hubssecundarios | *aeroporto_de_stuttgart | lufthansa | *servicovip | hon / senator lounge] - [5.604 0.500 0.000]
11 6.104 [lufthansa | *servicovip | hon / senator lounge | lufthansa | *hubssecundarios | *aeroporto_de_stuttgart] - [5.604 0.500 0.000]
12 6.104 [us_airways | *hubssecundarios | *aeroporto_de_laguardia | us_airways | *servicovip | us airways club] - [5.604 0.500 0.000]
13 6.104 [us_airways | *servicovip | us airways club | us_airways | *hubssecundarios | *aeroporto_de_laguardia] - [5.604 0.500 0.000]
14 6.104 [croatia_airlines | *hubssecundarios | *aeroporto_de_dubrovnik | croatia_airlines | *servicovip | senator lounge] - [5.604 0.500 0.000]
15 6.104 [croatia_airlines | *servicovip | senator lounge | croatia_airlines | *hubssecundarios | *aeroporto_de_dubrovnik] - [5.604 0.500 0.000]
