
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 12.661 [*matt_cameron | ocupacao | *musico, compositor] - [11.795 0.667 0.200]
1 12.335 [*o_seu_caminho | genero | rock_alternativo | *matt_cameron | genero | rock_alternativo] - [11.801 0.333 0.200]
2 12.335 [*matt_cameron | genero | rock_alternativo | *o_seu_caminho | genero | rock_alternativo] - [11.801 0.333 0.200]
3 12.328 [*matt_cameron | ocupacao | *musico, compositor | hater | integrantes | *matt_cameron] - [11.795 0.333 0.200]
4 12.328 [*matt_cameron | ocupacao | *musico, compositor | django_reinhardt | ocupacao | *musico, compositor] - [11.795 0.333 0.200]
5 12.328 [*matt_cameron | ocupacao | *musico, compositor | wellwater_conspiracy | integrantes | *matt_cameron] - [11.795 0.333 0.200]
6 12.328 [*matt_cameron | ocupacao | *musico, compositor | *matt_cameron | apelido | foo cameron] - [11.795 0.333 0.200]
7 12.328 [*matt_cameron | ocupacao | *musico, compositor | *matt_cameron | apelido | ted dameron] - [11.795 0.333 0.200]
8 12.328 [*matt_cameron | ocupacao | *musico, compositor | lista_de_membros_de_pearl_jam | integrantes | *matt_cameron] - [11.795 0.333 0.200]
9 12.328 [*matt_cameron | ocupacao | *musico, compositor | temple_of_the_dog | integrantes | *matt_cameron] - [11.795 0.333 0.200]
10 12.328 [*matt_cameron | afiliacoes | temple of the dog | *matt_cameron | ocupacao | *musico, compositor] - [11.795 0.333 0.200]
11 12.328 [*matt_cameron | afiliacoes | pearl jam( ) | *matt_cameron | ocupacao | *musico, compositor] - [11.795 0.333 0.200]
12 12.328 [*matt_cameron | afiliacoes | janet weiss | *matt_cameron | ocupacao | *musico, compositor] - [11.795 0.333 0.200]
13 12.328 [*matt_cameron | afiliacoes | tone dogs | *matt_cameron | ocupacao | *musico, compositor] - [11.795 0.333 0.200]
14 12.328 [*matt_cameron | afiliacoes | hater | *matt_cameron | ocupacao | *musico, compositor] - [11.795 0.333 0.200]
15 12.328 [*matt_cameron | afiliacoes | soundgarden(  ) | *matt_cameron | ocupacao | *musico, compositor] - [11.795 0.333 0.200]
16 12.328 [*matt_cameron | afiliacoes | geddy lee | *matt_cameron | ocupacao | *musico, compositor] - [11.795 0.333 0.200]
17 12.328 [*matt_cameron | afiliacoes | zach hill | *matt_cameron | ocupacao | *musico, compositor] - [11.795 0.333 0.200]
18 12.328 [*matt_cameron | afiliacoes | queens of the stone age | *matt_cameron | ocupacao | *musico, compositor] - [11.795 0.333 0.200]
19 12.328 [*matt_cameron | afiliacoes | the smashing pumpkins | *matt_cameron | ocupacao | *musico, compositor] - [11.795 0.333 0.200]
20 12.328 [*matt_cameron | afiliacoes | wellwater conspiracy | *matt_cameron | ocupacao | *musico, compositor] - [11.795 0.333 0.200]
21 12.328 [*matt_cameron | afiliacoes | skin yard | *matt_cameron | ocupacao | *musico, compositor] - [11.795 0.333 0.200]
22 12.328 [*matt_cameron | ocupacao | *musico, compositor | pearl_jam | integrantes | *matt_cameron] - [11.795 0.333 0.200]
23 12.328 [*matt_cameron | ocupacao | *musico, compositor | *matt_cameron | genero | rock_alternativo] - [11.795 0.333 0.200]
24 12.328 [*matt_cameron | ocupacao | *musico, compositor | *matt_cameron | genero | metal_alternativo] - [11.795 0.333 0.200]
25 12.328 [*matt_cameron | ocupacao | *musico, compositor | *matt_cameron | genero | grunge] - [11.795 0.333 0.200]
26 12.328 [*matt_cameron | ocupacao | *musico, compositor | *matt_cameron | genero | heavy_metal] - [11.795 0.333 0.200]
27 12.328 [*matt_cameron | ocupacao | *musico, compositor | soundgarden | integrantes | *matt_cameron] - [11.795 0.333 0.200]
28 12.328 [*matt_cameron | ocupacao | *musico, compositor | *matt_cameron | gravadora | monkeywrench, cruz, sub pop, sst, a&m, c/z, third gear, epic, time bomb, tvt, megaforce, j] - [11.795 0.333 0.200]
29 12.328 [*matt_cameron | ocupacao | *musico, compositor | *matt_cameron | imagem | matt cameron sg 2013.jpg] - [11.795 0.333 0.200]
30 12.328 [*matt_cameron | ocupacao | *musico, compositor | *matt_cameron | nome | matt cameron] - [11.795 0.333 0.200]
31 12.328 [*matt_cameron | ocupacao | *musico, compositor | *matt_cameron | nomecompleto | matthew david cameron] - [11.795 0.333 0.200]
32 12.328 [*matt_cameron | nascimentocidade | san_diego | *matt_cameron | ocupacao | *musico, compositor] - [11.795 0.333 0.200]
