
Melhores respostas:
0 13.667 [*dbpedia | *desenvolvedor | openlink_software] - [12.000 0.667 1.000]
1 13.667 [*dbpedia | *desenvolvedor | universidade_de_leipzig] - [12.000 0.667 1.000]
2 13.667 [*dbpedia | *desenvolvedor | universidade_livre_de_berlim] - [12.000 0.667 1.000]

Lista de triplas candidatas a resposta: 
0 13.667 [*dbpedia | *desenvolvedor | openlink_software] - [12.000 0.667 1.000]
1 13.667 [*dbpedia | *desenvolvedor | universidade_de_leipzig] - [12.000 0.667 1.000]
2 13.667 [*dbpedia | *desenvolvedor | universidade_livre_de_berlim] - [12.000 0.667 1.000]
3 11.333 [*dbpedia | nome | *dbpedia] - [10.000 0.333 1.000]
4 11.333 [*dbpedia | licenca | gnu_general_public_license] - [10.000 0.333 1.000]
5 11.333 [*dbpedia | linguagem | scala_(linguagem_de_programacao)] - [10.000 0.333 1.000]
6 11.333 [*dbpedia | linguagem | java_(linguagem_de_programacao)] - [10.000 0.333 1.000]
7 11.333 [*dbpedia | logotipo | 200] - [10.000 0.333 1.000]
8 10.712 [*dbpedia | ultimaversao | *dbpedia 3.8] - [9.378 0.333 1.000]
9 9.929 [*dbpedia | legenda | *logo da dbpedia] - [8.596 0.333 1.000]
10 4.524 [wwf_european_rampage_tour | *desenvolvedora | *arc developers] - [3.858 0.667 0.000]
11 4.461 [rat_attack! | *desenvolvedora | *pure_(developer)] - [3.794 0.667 0.000]
12 2.333 [kika_e_xuxu | *desenvolvedor | walter_avancini] - [2.000 0.333 0.000]
13 2.333 [growl | *desenvolvedor | equipe growl liderada por christopher forsythe] - [2.000 0.333 0.000]
14 2.333 [brave_story:_new_traveler | *desenvolvedor | game_republic] - [2.000 0.333 0.000]
15 2.333 [internet_explorer_4 | *desenvolvedor | microsoft] - [2.000 0.333 0.000]
16 2.333 [yandex | *desenvolvedor | ilya_segalovich] - [2.000 0.333 0.000]
17 2.333 [messenger_plus!_live | *desenvolvedor | yuna software] - [2.000 0.333 0.000]
18 2.333 [invesalius | *desenvolvedor | 122] - [2.000 0.333 0.000]
19 2.333 [ipython | *desenvolvedor | fernando perez and others] - [2.000 0.333 0.000]
20 2.333 [mysql | *desenvolvedor | oracle_corporation] - [2.000 0.333 0.000]
21 2.333 [rsync | *desenvolvedor | wayne davison] - [2.000 0.333 0.000]
22 2.333 [hyperlobby | *desenvolvedor | jiri fojtasek] - [2.000 0.333 0.000]
23 2.333 [zfs | *desenvolvedor | sun_microsystems] - [2.000 0.333 0.000]
24 2.333 [nokia_suite | *desenvolvedor | nokia] - [2.000 0.333 0.000]
25 2.333 [delta3d | *desenvolvedor | delta3d] - [2.000 0.333 0.000]
26 2.333 [esperient_creator | *desenvolvedor | esperient corporation,] - [2.000 0.333 0.000]
27 2.333 [gromacs | *desenvolvedor | people] - [2.000 0.333 0.000]
28 2.333 [forza_horizon_3 | *developer | playground_games] - [2.000 0.333 0.000]
29 2.333 [sdl_(biblioteca) | *desenvolvedor | sam lantinga] - [2.000 0.333 0.000]
30 2.333 [luxrender | *desenvolvedor | terrence vergauwen] - [2.000 0.333 0.000]
31 2.333 [gnu_texmacs | *desenvolvedor | gnu project] - [2.000 0.333 0.000]
32 2.333 [simcity_social | *developer | maxis] - [2.000 0.333 0.000]
33 2.333 [openfoam | *desenvolvedor | cfd direct, opencfd ltd] - [2.000 0.333 0.000]
34 2.333 [wikinoticias | *desenvolvedor | comunidade wikimedia] - [2.000 0.333 0.000]
35 2.333 [liferay | *desenvolvedor | liferay, inc] - [2.000 0.333 0.000]
36 2.333 [gnumeric | *desenvolvedor | gnome] - [2.000 0.333 0.000]
37 2.333 [molleindustria | *desenvolvedor | paolo pedercini] - [2.000 0.333 0.000]
38 2.333 [qbittorrent | *desenvolvedor | varios] - [2.000 0.333 0.000]
39 2.333 [packet_tracer | *desenvolvedor | cisco_systems] - [2.000 0.333 0.000]
40 2.333 [centericq | *desenvolvedor | konstantin klyagin] - [2.000 0.333 0.000]
41 2.333 [nintendo_eshop | *desenvolvedor | nintendo] - [2.000 0.333 0.000]
42 2.333 [adventure_game_studio | *desenvolvedor | chris jones] - [2.000 0.333 0.000]
43 2.333 [protheus | *desenvolvedor | totvs] - [2.000 0.333 0.000]
44 2.333 [shiira | *desenvolvedor | mkino, kei sasaki e outros] - [2.000 0.333 0.000]
45 2.333 [transmission | *desenvolvedor | transmission project/eric petit] - [2.000 0.333 0.000]
46 2.333 [mega,_molecular_evolutionary_genetics_analysis | *desenvolvedor | koichiro tamura, daniel peterson, nicholas peterson, glen stecher, sudhir kumar e nei masatoshi] - [2.000 0.333 0.000]
47 2.333 [gnucash | *desenvolvedor | equipe de desenvolvimento do gnucash] - [2.000 0.333 0.000]
48 2.333 [blast | *desenvolvedor | webb miller,] - [2.000 0.333 0.000]
49 2.333 [espaco_48 | *desenvolvedor | regina fronterotta] - [2.000 0.333 0.000]
50 2.333 [xampp | *desenvolvedor | index.html] - [2.000 0.333 0.000]
51 2.333 [eudora | *desenvolvedor | qualcomm, inc.] - [2.000 0.333 0.000]
52 2.333 [nod32 | *desenvolvedor | eset] - [2.000 0.333 0.000]
53 2.333 [ecmascript | *desenvolvedor | ecma international] - [2.000 0.333 0.000]
54 2.333 [atcalc | *desenvolvedor | jordi march i nogue] - [2.000 0.333 0.000]
55 2.333 [space_dandy | *desenvolvedor | bandai_namco_games] - [2.000 0.333 0.000]
