
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 12.973 [*uschi_freitag | localnascimento | *paises_baixos] - [11.306 0.667 1.000]
1 12.702 [*reinder_nummerdor | localnascimento | *paises_baixos] - [11.035 0.667 1.000]
2 12.517 [*o_rei_leao_(musical) | producao | *paises_baixos] - [10.851 0.667 1.000]
3 12.419 [*paises_baixos_caribenhos | titulolider | *rei] - [10.752 0.667 1.000]
4 12.307 [*maria_dos_paises_baixos | *reinado | 5] - [10.640 0.667 1.000]
5 12.307 [*luisa_dos_paises_baixos | *reinado | a] - [10.640 0.667 1.000]
6 12.307 [*sofia_dos_paises_baixos | *reinado | a] - [10.640 0.667 1.000]
7 12.151 [*maxima_dos_paises_baixos | *reinado | presente] - [10.484 0.667 1.000]
8 12.096 [*paises_baixos_na_fed_cup | *itfranking | 6] - [10.429 0.667 1.000]
9 12.023 [*sofia_dos_paises_baixos | *tiporeinado | *reinado] - [10.356 0.667 1.000]
10 11.986 [*juliana_dos_paises_baixos | *reinado | a] - [10.319 0.667 1.000]
11 11.986 [*beatriz_dos_paises_baixos | *reinado | a] - [10.319 0.667 1.000]
12 11.675 [*maria_dos_paises_baixos | localdamorte | *reino_da_prussia] - [10.008 0.667 1.000]
13 11.674 [*paises_baixos | localizacaolegenda | *localizacao do reino dos paises baixos, que possui territorios no caribe.] - [10.008 0.667 1.000]
14 11.370 [*reino_unido_dos_paises_baixos | estatuto | *reino] - [9.703 0.667 1.000]
15 11.333 [peter_pieters | nascimentolocal | *paises_baixos] - [10.000 0.333 1.000]
16 11.333 [gerrit_de_vries | nascimentolocal | *paises_baixos] - [10.000 0.333 1.000]
17 11.333 [maurice_peeters | nascimentolocal | *paises_baixos] - [10.000 0.333 1.000]
18 11.333 [henrique_casimiro_i_de_nassau_dietz | cidadefalecimento | *paises_baixos] - [10.000 0.333 1.000]
19 11.333 [leontien_van_moorsel | nascimentolocal | *paises_baixos] - [10.000 0.333 1.000]
20 11.333 [*paises_baixos | organizacoes | onu , ue] - [10.000 0.333 1.000]
21 11.333 [ad_dekkers | nascimentolocal | *paises_baixos] - [10.000 0.333 1.000]
22 11.333 [oguzhan_ozyakup | paisnatal | *paises_baixos] - [10.000 0.333 1.000]
23 11.333 [marlies_oostdam | paisnatal | *paises_baixos] - [10.000 0.333 1.000]
24 11.333 [roy_schuiten | nascimentolocal | *paises_baixos] - [10.000 0.333 1.000]
25 11.333 [pagan_metal | cenasregionais | *paises_baixos] - [10.000 0.333 1.000]
26 11.333 [joao_friso_de_orange_nassau | localdenascimento | *paises_baixos] - [10.000 0.333 1.000]
27 11.333 [joao_friso_de_orange_nassau | localdamorte | *paises_baixos] - [10.000 0.333 1.000]
28 11.333 [serginho_greene | paisnatal | *paises_baixos] - [10.000 0.333 1.000]
29 11.333 [celestial_season | pais | *paises_baixos] - [10.000 0.333 1.000]
30 11.333 [max_euwe | localdenascimento | *paises_baixos] - [10.000 0.333 1.000]
31 11.333 [phillip_cocu | paisnatal | *paises_baixos] - [10.000 0.333 1.000]
32 11.333 [nederlandse_spoorwegen | localdeoperacao | *paises_baixos] - [10.000 0.333 1.000]
33 11.333 [ruud_krol | paisnatal | *paises_baixos] - [10.000 0.333 1.000]
34 11.333 [gustaaf_adolf_frederik_molengraaff | localmorte | *paises_baixos] - [10.000 0.333 1.000]
35 11.333 [manon_flier | paisnatal | *paises_baixos] - [10.000 0.333 1.000]
36 11.333 [hendrik_casimir | localnascimento | *paises_baixos] - [10.000 0.333 1.000]
37 11.333 [celeste_plak | paisnatal | *paises_baixos] - [10.000 0.333 1.000]
38 11.333 [patrick_jonker | nascimentolocal | *paises_baixos] - [10.000 0.333 1.000]
