
Melhores respostas:
0 6.122 [*dave_parker | *corridasanotadas | 1272 | *dave_parker | *homeruns | 339] - [5.622 0.500 0.000]
1 6.051 [*dave_kingman | *corridasanotadas | 901 | *dave_kingman | *homeruns | 442] - [5.551 0.500 0.000]
2 5.981 [*dave_winfield | *corridasanotadas | 1669 | *dave_winfield | *homeruns | 465] - [5.481 0.500 0.000]
3 5.753 [*dave_parker | *corridasimpulsionadas | 1493 | *dave_parker | *homeruns | 339] - [5.253 0.500 0.000]

Lista de triplas candidatas a resposta: 
0 6.122 [*dave_parker | *corridasanotadas | 1272 | *dave_parker | *homeruns | 339] - [5.622 0.500 0.000]
1 6.122 [*dave_parker | *homeruns | 339 | *dave_parker | *corridasanotadas | 1272] - [5.622 0.500 0.000]
2 6.051 [*dave_kingman | *corridasanotadas | 901 | *dave_kingman | *homeruns | 442] - [5.551 0.500 0.000]
3 6.051 [*dave_kingman | *homeruns | 442 | *dave_kingman | *corridasanotadas | 901] - [5.551 0.500 0.000]
4 5.981 [*dave_winfield | *corridasanotadas | 1669 | *dave_winfield | *homeruns | 465] - [5.481 0.500 0.000]
5 5.981 [*dave_winfield | *homeruns | 465 | *dave_winfield | *corridasanotadas | 1669] - [5.481 0.500 0.000]
6 5.753 [*dave_parker | *corridasimpulsionadas | 1493 | *dave_parker | *homeruns | 339] - [5.253 0.500 0.000]
7 5.753 [*dave_parker | *homeruns | 339 | *dave_parker | *corridasimpulsionadas | 1493] - [5.253 0.500 0.000]
8 5.691 [*taveiro | *extincao | 28 | *soutelo_mourisco | *extincao | 28] - [5.191 0.500 0.000]
9 5.691 [*soutelo_mourisco | *extincao | 28 | *taveiro | *extincao | 28] - [5.191 0.500 0.000]
10 5.682 [*dave_kingman | *corridasimpulsionadas | 1210 | *dave_kingman | *homeruns | 442] - [5.182 0.500 0.000]
11 5.682 [*dave_kingman | *homeruns | 442 | *dave_kingman | *corridasimpulsionadas | 1210] - [5.182 0.500 0.000]
12 5.611 [*dave_winfield | *homeruns | 465 | *dave_winfield | *corridasimpulsionadas | 1833] - [5.111 0.500 0.000]
