
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 7.174 [frank_miller | *areadeatuacao | *ator | os_300_de_esparta | *artistas | frank_miller] - [6.674 0.500 0.000]
1 6.019 [lestat_de_lioncourt | *actividade | *ator | lestat_de_lioncourt | *interprete | stuart_townsend] - [5.519 0.500 0.000]
2 6.019 [lestat_de_lioncourt | *interprete | stuart_townsend | lestat_de_lioncourt | *actividade | *ator] - [5.519 0.500 0.000]
3 5.369 [frank_miller | *areadeatuacao | *ator] - [4.702 0.667 0.000]
4 5.240 [*the_actress | titulopt | *a actriz | *the_actress | titulobr | *papai nao quer ou a atriz] - [4.740 0.500 0.000]
5 5.240 [*the_actress | titulobr | *papai nao quer ou a atriz | *the_actress | titulopt | *a actriz] - [4.740 0.500 0.000]
6 5.216 [julio_de_andrade | *areadeatuacao | *redator] - [4.549 0.667 0.000]
7 5.035 [frank_miller | *areadeatuacao | *ator | frank_miller | *areadeatuacao | escritor] - [4.702 0.333 0.000]
8 5.035 [frank_miller | *areadeatuacao | *ator | frank_miller | *areadeatuacao | roteirista] - [4.702 0.333 0.000]
9 5.035 [frank_miller | *areadeatuacao | escritor | frank_miller | *areadeatuacao | *ator] - [4.702 0.333 0.000]
10 5.035 [akira_toriyama | *areadeatuacao | *mangaka, character designer | dragon_ball:_xenoverse_2 | *artista | akira_toriyama] - [4.702 0.333 0.000]
11 5.035 [frank_miller | *areadeatuacao | roteirista | frank_miller | *areadeatuacao | *ator] - [4.702 0.333 0.000]
12 5.007 [tom_grummett | *areadeatuacao | desenhista | a_morte_do_superman | *artistas | tom_grummett] - [4.674 0.333 0.000]
13 5.007 [frank_miller | *areadeatuacao | escritor | os_300_de_esparta | *artistas | frank_miller] - [4.674 0.333 0.000]
14 5.007 [frank_miller | *areadeatuacao | roteirista | os_300_de_esparta | *artistas | frank_miller] - [4.674 0.333 0.000]
15 5.007 [dick_giordano | *areadeatuacao | editor | crise_nas_infinitas_terras | *artistas | dick_giordano] - [4.674 0.333 0.000]
16 5.007 [george_perez | *areadeatuacao | escritor | infinite_crisis | *artistas | george_perez] - [4.674 0.333 0.000]
17 4.998 [ryukishi07 | *areadeatuacao | *escritor, artista] - [4.331 0.667 0.000]
18 4.911 [jack_kirby | *areadeatuacao | editor | *x_factor | criadores | jack_kirby] - [4.578 0.333 0.000]
19 4.883 [julio_de_andrade | *areadeatuacao | tradutor | julio_de_andrade | *areadeatuacao | *redator] - [4.549 0.333 0.000]
20 4.883 [julio_de_andrade | *areadeatuacao | *redator | julio_de_andrade | *areadeatuacao | roteirista] - [4.549 0.333 0.000]
21 4.883 [julio_de_andrade | *areadeatuacao | *redator | julio_de_andrade | *areadeatuacao | tradutor] - [4.549 0.333 0.000]
22 4.883 [julio_de_andrade | *areadeatuacao | roteirista | julio_de_andrade | *areadeatuacao | *redator] - [4.549 0.333 0.000]
23 4.755 [john_romita,_jr. | *areadeatuacao | desenhista | john_romita,_jr. | title | *cristal artista] - [4.421 0.333 0.000]
24 4.755 [john_romita,_jr. | title | *cristal artista | john_romita,_jr. | *areadeatuacao | desenhista] - [4.421 0.333 0.000]
25 4.475 [*the_actress | titulopt | *a actriz] - [3.808 0.667 0.000]
26 4.464 [john_romita,_jr. | *areadeatuacao | desenhista | john_romita,_jr. | title | *uncanny x-men artista] - [4.131 0.333 0.000]
27 4.464 [john_romita,_jr. | title | *uncanny x-men artista | john_romita,_jr. | *areadeatuacao | desenhista] - [4.131 0.333 0.000]
28 4.433 [deus_nos_acuda | *artistas | *varios interpretes] - [3.767 0.667 0.000]
29 4.433 [torre_de_babel_(telenovela) | *artistas | *varios interpretes] - [3.767 0.667 0.000]
30 4.433 [mandala_(telenovela) | *artistas | *varios interpretes] - [3.767 0.667 0.000]
31 4.433 [fera_radical | *artistas | *varios interpretes] - [3.767 0.667 0.000]
32 4.333 [edith_piaf | ocupacao | *atriz | la_vie_en_rose | *artista | edith_piaf] - [4.000 0.333 0.000]
33 4.333 [john_candy | ocupacao | *comediante | john_candy | ocupacao | *ator] - [4.000 0.333 0.000]
34 4.333 [sabotage_(cantor) | outrasocupacoes | *ator | cantando_pro_santo | *artista | sabotage_(cantor)] - [4.000 0.333 0.000]
35 4.333 [helena_fernandes | ocupacao | *atriz | helena_fernandes | ocupacao | *comediante] - [4.000 0.333 0.000]
36 4.333 [lily_allen | ocupacao | *atriz | it's_not_me,_it's_you | *artista | lily_allen] - [4.000 0.333 0.000]
37 4.333 [alicia_keys | outrasocupacoes | *actriz | superwoman_(cancao) | *artista | alicia_keys] - [4.000 0.333 0.000]
38 4.333 [tina_turner | outrasocupacoes | *atriz | tina!:_50th_anniversary_tour | *artista | tina_turner] - [4.000 0.333 0.000]
39 4.333 [reino_da_juventude | colunaextra | *interprete | reino_da_juventude | *artista | dick danello, sergio reis, os vips, marcos roberto, tony bizarro, orlando alvarado, tony dilson, tulio e os hitch-hikers, the flyers, sidneia e marly] - [4.000 0.333 0.000]
40 4.333 [john_candy | ocupacao | *ator | john_candy | ocupacao | *comediante] - [4.000 0.333 0.000]
41 4.333 [robbie_williams | ocupacao | *ator | shame_(cancao_de_robbie_williams) | *artista | robbie_williams] - [4.000 0.333 0.000]
42 4.333 [justin_bieber | outrasocupacoes | *ator | heartbreaker_(cancao_de_justin_bieber) | *artista | justin_bieber] - [4.000 0.333 0.000]
43 4.333 [dmx | outrasocupacoes | *ator | grand_champ | *artista | dmx] - [4.000 0.333 0.000]
44 4.333 [marisa_orth | ocupacao | *atriz | i'm_not_in_love | *artista | marisa_orth] - [4.000 0.333 0.000]
45 4.333 [justin_bieber | outrasocupacoes | *ator | all_that_matters_(cancao) | *artista | justin_bieber] - [4.000 0.333 0.000]
46 4.333 [ty_burrell | ocupacao | *comediante | ty_burrell | ocupacao | *ator] - [4.000 0.333 0.000]
47 4.333 [idina_menzel | ocupacao | *atriz | for_the_first_time_in_forever | *artista | idina_menzel] - [4.000 0.333 0.000]
48 4.333 [courteney_cox | ocupacao | *atriz | monica_geller | *interprete | courteney_cox] - [4.000 0.333 0.000]
49 4.333 [lily_allen | ocupacao | *atriz | sheezus_(cancao) | *artista | lily_allen] - [4.000 0.333 0.000]
50 4.333 [tupac_shakur | ocupacao | *ator | wanted_dead_or_alive_(cancao_de_tupac_shakur) | *artista | tupac_shakur] - [4.000 0.333 0.000]
51 4.333 [alicia_keys | outrasocupacoes | *actriz | the_diary_of_alicia_keys | *artista | alicia_keys] - [4.000 0.333 0.000]
52 4.333 [anna_faris | ocupacao | *comediante | anna_faris | ocupacao | *atriz] - [4.000 0.333 0.000]
53 4.333 [solange_knowles | outrasocupacoes | *atriz | a_seat_at_the_table | *artista | solange_knowles] - [4.000 0.333 0.000]
54 4.333 [tupac_shakur | ocupacao | *ator | me_against_the_world | *artista | tupac_shakur] - [4.000 0.333 0.000]
55 4.333 [gene_wilder | ocupacao | *comediante | willy_wonka | *interprete | gene_wilder] - [4.000 0.333 0.000]
56 4.333 [justin_bieber | outrasocupacoes | *ator | the_christmas_song_(chestnuts_roasting_on_an_open_fire) | *artista | justin_bieber] - [4.000 0.333 0.000]
57 4.333 [daisy_ridley | ocupacao | *atriz | rey_(star_wars) | *ator | daisy_ridley] - [4.000 0.333 0.000]
