
Melhores respostas:
0 11.333 [soyuz_tma_15m | chamada | *yenisei] - [10.000 0.333 1.000]
1 11.333 [soyuz_tma_10m | chamada | *yenisei] - [10.000 0.333 1.000]

Lista de triplas candidatas a resposta: 
0 11.333 [soyuz_tma_15m | chamada | *yenisei] - [10.000 0.333 1.000]
1 11.333 [soyuz_tma_10m | chamada | *yenisei] - [10.000 0.333 1.000]
2 11.167 [soyuz_tma_15m | chamada | *yenisei | soyuz_tma_10m | chamada | *yenisei] - [10.000 0.167 1.000]
3 11.167 [soyuz_tma_10m | chamada | *yenisei | soyuz_tma_15m | chamada | *yenisei] - [10.000 0.167 1.000]
4 10.703 [*rio_ienissei | mapa | *yeniseirivermap.png] - [9.037 0.667 1.000]
5 10.370 [*rio_ienissei | mapa | *yeniseirivermap.png | *rio_ienissei | afluentes | *rio_sym] - [9.037 0.333 1.000]
6 10.370 [*rio_ienissei | mapa | *yeniseirivermap.png | *rio_ienissei | posicao | 5] - [9.037 0.333 1.000]
7 10.370 [*rio_ienissei | legendamapa | mapa da bacia do ienissei | *rio_ienissei | mapa | *yeniseirivermap.png] - [9.037 0.333 1.000]
8 10.370 [*rio_ienissei | mapa | *yeniseirivermap.png | *rio_ienissei | nomenativo | 969] - [9.037 0.333 1.000]
9 10.370 [*rio_ienissei | mapa | *yeniseirivermap.png | *rio_ienissei | legendamapa | mapa da bacia do ienissei] - [9.037 0.333 1.000]
10 10.370 [*rio_ienissei | nomenativo | 969 | *rio_ienissei | mapa | *yeniseirivermap.png] - [9.037 0.333 1.000]
11 10.370 [*rio_ienissei | afluentes | *rio_sym | *rio_ienissei | mapa | *yeniseirivermap.png] - [9.037 0.333 1.000]
12 10.370 [*rio_ienissei | mapa | *yeniseirivermap.png | *rio_abakan | foz | *rio_ienissei] - [9.037 0.333 1.000]
13 10.370 [*rio_ienissei | posicao | 5 | *rio_ienissei | mapa | *yeniseirivermap.png] - [9.037 0.333 1.000]
14 10.140 [lingua_ket | corfamilia | *dene-yeniseian] - [8.806 0.333 1.000]
15 10.066 [*rio_tunguska_pedregoso | imagem | *yeniseirivermap.png] - [8.399 0.667 1.000]
16 9.929 [lingua_ket | fam | *norte yeniseian] - [8.596 0.333 1.000]
17 9.762 [lingua_ket | fam | *norte yeniseian | lingua_ket | corfamilia | *dene-yeniseian] - [8.596 0.167 1.000]
18 9.762 [lingua_ket | corfamilia | *dene-yeniseian | lingua_ket | fam | *norte yeniseian] - [8.596 0.167 1.000]
19 6.276 [*bruno_de_colonia | *passagem | \"eu creio nos santos sacramentos da igreja catolica e, em particular, creio que o pao e o vinho consagrados, na santa missa, sao o corpo e o sangue, verdadeiros, de jesus cristo.\" | *bruno_de_colonia | canonizadopor | *papa_gregorio_xv] - [5.776 0.500 0.000]
