
Melhores respostas:
0 14.340 [*john_f._kennedy | *mortelocal | texas] - [12.674 0.667 1.000]
1 14.340 [*john_f._kennedy | *mortelocal | dallas] - [12.674 0.667 1.000]

Lista de triplas candidatas a resposta: 
0 14.340 [*john_f._kennedy | *mortelocal | texas] - [12.674 0.667 1.000]
1 14.340 [*john_f._kennedy | *mortelocal | dallas] - [12.674 0.667 1.000]
2 14.007 [mathew_caldwell | *mortelocal | texas | *john_f._kennedy | *mortelocal | texas] - [12.674 0.333 1.000]
3 14.007 [joseph_p._kennedy,_jr. | parentesco | *john_f._kennedy | joseph_p._kennedy,_jr. | *mortelocal | sobre east suffolk, inglaterra] - [12.674 0.333 1.000]
4 14.007 [joseph_p._kennedy,_jr. | *mortelocal | sobre east suffolk, inglaterra | joseph_p._kennedy,_jr. | parentesco | *john_f._kennedy] - [12.674 0.333 1.000]
5 14.007 [*john_f._kennedy | *mortelocal | texas | mathew_caldwell | *mortelocal | texas] - [12.674 0.333 1.000]
6 14.007 [jacqueline_kennedy_onassis | *mortelocal | nova_iorque | jacqueline_kennedy_onassis | vice | *john_f._kennedy] - [12.674 0.333 1.000]
7 14.007 [jacqueline_kennedy_onassis | *mortelocal | manhattan | jacqueline_kennedy_onassis | vice | *john_f._kennedy] - [12.674 0.333 1.000]
8 14.007 [jacqueline_kennedy_onassis | vice | *john_f._kennedy | jacqueline_kennedy_onassis | *mortelocal | nova_iorque] - [12.674 0.333 1.000]
9 14.007 [jacqueline_kennedy_onassis | vice | *john_f._kennedy | jacqueline_kennedy_onassis | *mortelocal | manhattan] - [12.674 0.333 1.000]
10 14.007 [*john_f._kennedy | *mortelocal | texas | charles_taze_russell | *mortelocal | texas] - [12.674 0.333 1.000]
11 14.007 [lyndon_b._johnson | *mortelocal | stonewall_(texas) | *john_f._kennedy | vicepresidente | lyndon_b._johnson] - [12.674 0.333 1.000]
12 14.007 [lyndon_b._johnson | *mortelocal | stonewall_(texas) | *john_f._kennedy | depois | lyndon_b._johnson] - [12.674 0.333 1.000]
13 14.007 [lyndon_b._johnson | antes | *john_f._kennedy | lyndon_b._johnson | *mortelocal | stonewall_(texas)] - [12.674 0.333 1.000]
14 14.007 [*john_f._kennedy | *mortelocal | texas | *john_f._kennedy | *mortelocal | dallas] - [12.674 0.333 1.000]
15 14.007 [*john_f._kennedy | *mortelocal | dallas | *john_f._kennedy | *mortelocal | texas] - [12.674 0.333 1.000]
