
Melhores respostas:
0 13.667 [*ponte_do_brooklyn | *design | ponte_pensil] - [12.000 0.667 1.000]

Lista de triplas candidatas a resposta: 
0 13.667 [*ponte_do_brooklyn | *design | ponte_pensil] - [12.000 0.667 1.000]
1 13.141 [*ponte_do_brooklyn | *coroutradesignacao | #ff0000] - [11.474 0.667 1.000]
2 13.086 [*ponte_do_brooklyn | *linkoutradesignacao | comissao para a preservacao de monumentos historicos de nova iorque] - [11.420 0.667 1.000]
3 13.086 [*ponte_do_brooklyn | *nomeoutradesignacao | marco historico de nyc] - [11.420 0.667 1.000]
4 13.031 [*ponte_do_brooklyn | *abrevoutradesignacao | nycl] - [11.364 0.667 1.000]
5 11.333 [*ponte_do_brooklyn | trafego | 145000] - [10.000 0.333 1.000]
6 11.333 [*ponte_do_brooklyn | latminutes | 42] - [10.000 0.333 1.000]
7 11.333 [*ponte_do_brooklyn | longminutes | 59] - [10.000 0.333 1.000]
8 11.333 [*ponte_do_brooklyn | longseconds | 48] - [10.000 0.333 1.000]
9 11.333 [*ponte_do_brooklyn | longdirection | w] - [10.000 0.333 1.000]
10 11.333 [*ponte_do_brooklyn | localizacao | 20] - [10.000 0.333 1.000]
11 11.333 [*ponte_do_brooklyn | localizacao | brooklyn] - [10.000 0.333 1.000]
12 11.333 [*ponte_do_brooklyn | localizacao | manhattan] - [10.000 0.333 1.000]
13 11.333 [*ponte_do_brooklyn | imagem | brooklyn bridge ny.jpg] - [10.000 0.333 1.000]
14 11.333 [*ponte_do_brooklyn | vaolivre | 4863] - [10.000 0.333 1.000]
15 11.333 [*ponte_do_brooklyn | nome | brooklyn bridge] - [10.000 0.333 1.000]
16 11.333 [*ponte_do_brooklyn | latdegrees | 40] - [10.000 0.333 1.000]
17 11.333 [*ponte_do_brooklyn | latseconds | 21] - [10.000 0.333 1.000]
18 11.333 [*ponte_do_brooklyn | estilo | neogotico] - [10.000 0.333 1.000]
19 11.333 [*ponte_do_brooklyn | mantida | departamento_de_transporte_da_cidade_de_nova_iorque] - [10.000 0.333 1.000]
20 11.333 [*ponte_do_brooklyn | nomeponte | ponte do brooklyn] - [10.000 0.333 1.000]
21 11.333 [*ponte_do_brooklyn | legenda | ponte do brooklin sobre o rio east em 2009.] - [10.000 0.333 1.000]
22 11.333 [*ponte_do_brooklyn | comprimento | 1825 m] - [10.000 0.333 1.000]
23 11.333 [*ponte_do_brooklyn | tamanhoimagem | 250] - [10.000 0.333 1.000]
24 11.333 [*ponte_do_brooklyn | locmapin | nova iorque] - [10.000 0.333 1.000]
25 11.333 [*ponte_do_brooklyn | cruza | rio_east] - [10.000 0.333 1.000]
26 11.333 [*ponte_do_brooklyn | latdirection | n] - [10.000 0.333 1.000]
27 11.333 [*ponte_do_brooklyn | longdegrees | 73] - [10.000 0.333 1.000]
28 11.333 [*ponte_do_brooklyn | numreg | 66000523] - [10.000 0.333 1.000]
29 11.333 [*ponte_do_brooklyn | largura | 26 m] - [10.000 0.333 1.000]
30 11.333 [*ponte_do_brooklyn | nrhptipo | nhl] - [10.000 0.333 1.000]
31 3.333 [parque_villa_lobos | *projeto | arquiteto decio tozzi] - [3.000 0.333 0.000]
32 3.333 [imperatriz_gemmei | *projeto | japao] - [3.000 0.333 0.000]
33 3.333 [radio_livre_sejus | *projeto | secretaria de justica e cidadania do ceara] - [3.000 0.333 0.000]
34 3.333 [o_rio_nos_pertence | *projeto | sonia silk] - [3.000 0.333 0.000]
35 3.291 [studio_seasons | *projetos | helena, mitsar, ronins, sete dias em alesh, oiran, zucker] - [2.958 0.333 0.000]
36 3.291 [estudios_mauricio_de_sousa | *projetos | turma da monica] - [2.958 0.333 0.000]
37 3.291 [das_ich | *projetos | atrocity] - [2.958 0.333 0.000]
38 3.291 [das_ich | *projetos | seelenzorn] - [2.958 0.333 0.000]
39 3.291 [gurihiru_studios | *projetos | quarteto_futuro] - [2.958 0.333 0.000]
40 3.147 [coracao_d'ouro | *dir.projeto | sergio graciano] - [2.813 0.333 0.000]
41 3.035 [estacao_langelier | *projetoarquit | victor prus e andre g. dionne] - [2.702 0.333 0.000]
42 3.035 [estacao_cote_des_neiges | *projetoarquit | tetreault, parents e languedoc] - [2.702 0.333 0.000]
43 3.035 [estacao_praca_de_espanha | *projetoarquit | francisco keil do amaral e sanchez jorge] - [2.702 0.333 0.000]
44 3.035 [estacao_de_la_concorde | *projetoarquit | andre marcotte] - [2.702 0.333 0.000]
45 3.035 [estacao_moscavide | *projetoarquit | manuel_bastos] - [2.702 0.333 0.000]
46 3.035 [estacao_de_la_savane | *projetoarquit | guy de varennes e almas mathieu] - [2.702 0.333 0.000]
47 3.035 [estacao_prefontaine | *projetoarquit | henri brillon] - [2.702 0.333 0.000]
48 3.035 [estacao_terreiro_do_paco | *projetoarquit | artur_rosa] - [2.702 0.333 0.000]
49 3.035 [estacao_longueuiluniversite_de_sherbrooke | *projetoarquit | jean dumontier] - [2.702 0.333 0.000]
50 3.035 [estacao_encarnacao | *projetoarquit | alberto_barradas] - [2.702 0.333 0.000]
51 3.035 [estacao_restauradores | *projetoarquit | sanchez jorge, duarte nuno simoes e manuel ponte] - [2.702 0.333 0.000]
52 3.035 [estacao_radisson | *projetoarquit | papineau, gerin-lajoie, le blanc e edwards] - [2.702 0.333 0.000]
53 3.035 [estacao_de_castelnau | *projetoarquit | goyer, collette, hamelin e lalonde] - [2.702 0.333 0.000]
54 3.035 [estacao_alto_dos_moinhos | *projetoarquit | ezequiel_nicolau] - [2.702 0.333 0.000]
55 3.035 [amsterdam_centraal | *projetoarquit | pierre_j.h._cuypers] - [2.702 0.333 0.000]
56 3.035 [estacao_beaubien | *projetoarquit | roger d'astous] - [2.702 0.333 0.000]
57 3.035 [estacao_henri_bourassa | *projetoarquit | j. warunkiewicz, andre leonard, claude leclerc e richard fortin] - [2.702 0.333 0.000]
58 3.035 [estacao_namur | *projetoarquit | labelle, marchand e geoffroy] - [2.702 0.333 0.000]
59 3.035 [estacao_jolicoeur | *projetoarquit | claude boucher] - [2.702 0.333 0.000]
60 3.035 [estacao_arroios | *projetoarquit | dinis_gomes] - [2.702 0.333 0.000]
61 3.035 [estacao_reboleira | *projetoarquit | leopoldo_de_almeida_rosa] - [2.702 0.333 0.000]
62 3.035 [estacao_cremazie | *projetoarquit | adalbert niklewicz] - [2.702 0.333 0.000]
63 3.035 [estacao_lucien_l'allier | *projetoarquit | david, boulva e cleve] - [2.702 0.333 0.000]
64 3.035 [estacao_alvalade | *projetoarquit | dinis gomes e sanchez jorge] - [2.702 0.333 0.000]
65 3.035 [estacao_rato | *projetoarquit | sanchez_jorge] - [2.702 0.333 0.000]
66 3.035 [estacao_monk | *projetoarquit | blais e belanger] - [2.702 0.333 0.000]
67 3.035 [estacao_beaudry | *projetoarquit | adalbert niklewicz, beique, thuot e legault] - [2.702 0.333 0.000]
68 3.035 [estacao_baixa_chiado | *projetoarquit | alvaro_siza_vieira] - [2.702 0.333 0.000]
69 3.035 [estacao_parque | *projetoarquit | sanchez_jorge] - [2.702 0.333 0.000]
70 3.035 [estacao_outremont | *projetoarquit | dupuis, chapuis e dubuc] - [2.702 0.333 0.000]
71 3.035 [estacao_place_des_arts | *projetoarquit | david, boulva e cleve] - [2.702 0.333 0.000]
72 3.035 [estacao_peel | *projetoarquit | papineau, gerin-lajoie e leblanc] - [2.702 0.333 0.000]
73 3.035 [estacao_viau | *projetoarquit | irving sager] - [2.702 0.333 0.000]
74 3.035 [estacao_universite_de_montreal | *projetoarquit | andre leonard] - [2.702 0.333 0.000]
75 3.035 [estacao_odivelas | *projetoarquit | paulo_brito_da_silva] - [2.702 0.333 0.000]
76 3.035 [estacao_laranjeiras | *projetoarquit | antonio_j._mendes] - [2.702 0.333 0.000]
77 3.035 [estacao_roma | *projetoarquit | diniz gomes e ana nascimento] - [2.702 0.333 0.000]
78 3.035 [estacao_sherbrooke | *projetoarquit | jean dumontier, crevier, lemieux, mercier e caron] - [2.702 0.333 0.000]
79 3.035 [estacao_amadora_este | *projetoarquit | leopoldo_de_almeida_rosa] - [2.702 0.333 0.000]
80 3.035 [estacao_alfornelos | *projetoarquit | alberto_barradas] - [2.702 0.333 0.000]
81 3.035 [estacao_intendente | *projetoarquit | dinis_gomes] - [2.702 0.333 0.000]
82 3.035 [estacao_atwater | *projetoarquit | david, boulva e cleve] - [2.702 0.333 0.000]
83 3.035 [estacao_sao_sebastiao | *projetoarquit | tiago_henriques] - [2.702 0.333 0.000]
84 3.035 [estacao_saint_laurent | *projetoarquit | brassard e warren] - [2.702 0.333 0.000]
85 3.035 [estacao_cais_do_sodre | *projetoarquit | pedro botelho e nuno teotonio pereira] - [2.702 0.333 0.000]
86 3.035 [estacao_saint_michel | *projetoarquit | lemoyne] - [2.702 0.333 0.000]
87 3.035 [estacao_jarry | *projetoarquit | lemoyne, bland, edwards e shine] - [2.702 0.333 0.000]
88 3.035 [estacao_charlevoix | *projetoarquit | ayotte e bergeron] - [2.702 0.333 0.000]
89 3.035 [estacao_chelas | *projetoarquit | ana_nascimento] - [2.702 0.333 0.000]
90 3.035 [estacao_du_college | *projetoarquit | gilles s. bonnetto e jacques garand] - [2.702 0.333 0.000]
91 3.035 [estacao_anjos | *projetoarquit | dinis gomes e sanchez jorge] - [2.702 0.333 0.000]
92 3.035 [estacao_fabre | *projetoarquit | bedard e averna] - [2.702 0.333 0.000]
93 3.035 [union_station_(chicago) | *projetoarquit | daniel_burnham] - [2.702 0.333 0.000]
94 3.035 [estacao_picoas | *projetoarquit | dinis_gomes] - [2.702 0.333 0.000]
95 3.035 [estacao_sauve | *projetoarquit | adalbert niklewicz] - [2.702 0.333 0.000]
96 3.035 [estacao_snowdon | *projetoarquit | jean-louis beaulieu] - [2.702 0.333 0.000]
97 3.035 [estacao_pontinha | *projetoarquit | ana_nascimento] - [2.702 0.333 0.000]
98 3.035 [estacao_papineau | *projetoarquit | bolduc, venne e mario bibeau] - [2.702 0.333 0.000]
99 3.035 [estacao_cartier | *projetoarquit | richard fortin] - [2.702 0.333 0.000]
