
Melhores respostas:
0 13.667 [ernst_gabor_straus | orientador | *albert_einstein] - [12.000 0.667 1.000]
1 13.667 [*albert_einstein | orientador | alfred_kleiner] - [12.000 0.667 1.000]
2 13.333 [ernst_gabor_straus | orientador | *albert_einstein | ernst_gabor_straus | orientador | francis joseph murray e] - [12.000 0.333 1.000]
3 13.333 [ernst_gabor_straus | orientador | *albert_einstein | ernst_gabor_straus | orientador | francis joseph murray e] - [12.000 0.333 1.000]
4 13.333 [ernst_gabor_straus | orientador | francis joseph murray e | ernst_gabor_straus | orientador | *albert_einstein] - [12.000 0.333 1.000]
5 13.333 [ernst_gabor_straus | orientador | francis joseph murray e | ernst_gabor_straus | orientador | *albert_einstein] - [12.000 0.333 1.000]
6 13.276 [*hans_albert_einstein | orientador | eugen_meyer_peter] - [11.609 0.667 1.000]
7 13.276 [*hans_albert_einstein | orientador | george_polya] - [11.609 0.667 1.000]
8 13.276 [*hans_albert_einstein | orientador | ,] - [11.609 0.667 1.000]
9 12.942 [wolfgang_walter | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
10 12.942 [wolfgang_walter | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
11 12.942 [pavel_alexandrov | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
12 12.942 [pavel_alexandrov | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
13 12.942 [*hans_albert_einstein | orientador | , | roland_weitzenbock | orientador | ,] - [11.609 0.333 1.000]
14 12.942 [*hans_albert_einstein | orientador | , | roland_weitzenbock | orientador | ,] - [11.609 0.333 1.000]
15 12.942 [francois_labourie | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
16 12.942 [francois_labourie | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
17 12.942 [*hans_albert_einstein | orientador | , | carl_von_linde | orientador | ,] - [11.609 0.333 1.000]
18 12.942 [*hans_albert_einstein | orientador | , | carl_von_linde | orientador | ,] - [11.609 0.333 1.000]
19 12.942 [bernhard_thibaut | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
20 12.942 [bernhard_thibaut | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
21 12.942 [*hans_albert_einstein | orientador | , | laurence_chisholm_young | orientador | ,] - [11.609 0.333 1.000]
22 12.942 [*hans_albert_einstein | orientador | , | laurence_chisholm_young | orientador | ,] - [11.609 0.333 1.000]
23 12.942 [*hans_albert_einstein | orientador | , | edward_james_mcshane | orientador | ,] - [11.609 0.333 1.000]
24 12.942 [*hans_albert_einstein | orientador | , | edward_james_mcshane | orientador | ,] - [11.609 0.333 1.000]
25 12.942 [*hans_albert_einstein | orientador | , | viktor_meyer | orientador | ,] - [11.609 0.333 1.000]
26 12.942 [*hans_albert_einstein | orientador | , | viktor_meyer | orientador | ,] - [11.609 0.333 1.000]
27 12.942 [*hans_albert_einstein | orientador | , | gerhard_hessenberg | orientador | ,] - [11.609 0.333 1.000]
28 12.942 [*hans_albert_einstein | orientador | , | gerhard_hessenberg | orientador | ,] - [11.609 0.333 1.000]
29 12.942 [*hans_albert_einstein | orientador | , | hans_triebel | orientador | ,] - [11.609 0.333 1.000]
30 12.942 [*hans_albert_einstein | orientador | , | hans_triebel | orientador | ,] - [11.609 0.333 1.000]
31 12.942 [svante_arrhenius | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
32 12.942 [svante_arrhenius | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
33 12.942 [isaak_yaglom | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
34 12.942 [isaak_yaglom | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
35 12.942 [samuel_chao_chung_ting | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
36 12.942 [samuel_chao_chung_ting | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
37 12.942 [*hans_albert_einstein | orientador | , | henry_andrews_bumstead | orientador | ,] - [11.609 0.333 1.000]
38 12.942 [*hans_albert_einstein | orientador | , | henry_andrews_bumstead | orientador | ,] - [11.609 0.333 1.000]
39 12.942 [jean_henri_van_swinden | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
40 12.942 [jean_henri_van_swinden | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
41 12.942 [august_ephraim_kramer | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
42 12.942 [august_ephraim_kramer | orientador | , | *hans_albert_einstein | orientador | ,] - [11.609 0.333 1.000]
43 12.942 [*hans_albert_einstein | orientador | , | haim_brezis | orientador | ,] - [11.609 0.333 1.000]
44 12.942 [*hans_albert_einstein | orientador | , | haim_brezis | orientador | ,] - [11.609 0.333 1.000]
45 12.942 [*hans_albert_einstein | orientador | , | werner_rolfinck | orientador | ,] - [11.609 0.333 1.000]
