
Melhores respostas:
0 14.333 [rocky_balboa | *morada | filadelfia | rocky_balboa | interprete | *sylvester_stallone] - [13.000 0.333 1.000]
1 14.333 [rocky_balboa | *morada | filadelfia | rocky_balboa | criador | *sylvester_stallone] - [13.000 0.333 1.000]

Lista de triplas candidatas a resposta: 
0 14.333 [rocky_balboa | *morada | filadelfia | rocky_balboa | interprete | *sylvester_stallone] - [13.000 0.333 1.000]
1 14.333 [rocky_balboa | *morada | filadelfia | rocky_balboa | criador | *sylvester_stallone] - [13.000 0.333 1.000]
2 14.333 [rocky_balboa | interprete | *sylvester_stallone | rocky_balboa | *morada | filadelfia] - [13.000 0.333 1.000]
3 14.333 [rocky_balboa | criador | *sylvester_stallone | rocky_balboa | *morada | filadelfia] - [13.000 0.333 1.000]
4 13.235 [nova_iorque | *areametropole | 17405 | *sylvester_stallone | nascimentolocal | nova_iorque] - [11.902 0.333 1.000]
5 11.333 [*sylvester_stallone | ocupacao | ator, cineasta, roteirista e diretor] - [10.000 0.333 1.000]
6 11.333 [*sylvester_stallone | conjuge | sasha czack] - [10.000 0.333 1.000]
7 11.333 [*sylvester_stallone | conjuge | jennifer_flavin] - [10.000 0.333 1.000]
8 11.333 [*sylvester_stallone | conjuge | brigitte_nielsen] - [10.000 0.333 1.000]
9 11.333 [*sylvester_stallone | nationalboardofreview | 2016] - [10.000 0.333 1.000]
10 11.333 [*sylvester_stallone | nationalboardofreview | melhor ator coadjuvante] - [10.000 0.333 1.000]
11 11.333 [*sylvester_stallone | imagemtamanho | 240] - [10.000 0.333 1.000]
12 11.333 [*sylvester_stallone | cesar | cesar honorario] - [10.000 0.333 1.000]
13 11.333 [*sylvester_stallone | cesar | 1992] - [10.000 0.333 1.000]
14 11.333 [*sylvester_stallone | imdbid | 230] - [10.000 0.333 1.000]
15 11.333 [*sylvester_stallone | outrosnomes | stallone sly] - [10.000 0.333 1.000]
16 11.333 [*sylvester_stallone | nomedenascimento | sylvester gardenzio stallone] - [10.000 0.333 1.000]
17 11.333 [*sylvester_stallone | nascimentolocal | nova_iorque_(estado)] - [10.000 0.333 1.000]
18 11.333 [*sylvester_stallone | nascimentolocal | nova_iorque] - [10.000 0.333 1.000]
19 11.333 [*sylvester_stallone | nome | sylvester stallone] - [10.000 0.333 1.000]
20 11.333 [*sylvester_stallone | outrospremios | 2016] - [10.000 0.333 1.000]
21 11.333 [*sylvester_stallone | outrospremios | critics choice de melhor ator coadjuvante em cinema] - [10.000 0.333 1.000]
22 11.333 [*sylvester_stallone | id | 230] - [10.000 0.333 1.000]
23 11.333 [*sylvester_stallone | atividade | 1970] - [10.000 0.333 1.000]
