
Melhores respostas:
0 24.970 [*aristoteles | *influencias | *socrates] - [22.970 1.000 1.000]

Lista de triplas candidatas a resposta: 
0 24.970 [*aristoteles | *influencias | *socrates] - [22.970 1.000 1.000]
1 24.470 [*aristoteles | *influencias | *socrates | edmund_burke | *influencias | *socrates] - [22.970 0.500 1.000]
2 24.470 [prodico | *influencias | *socrates | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
3 24.470 [*aristoteles | ocupacao | filosofo | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
4 24.470 [*aristoteles | ocupacao | professor | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
5 24.470 [*socrates | escola | filosofia_grega | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
6 24.470 [arquelau_de_atenas | *influencias | *socrates | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
7 24.470 [*aristoteles | *influencias | *socrates | leo_strauss | *influencias | *socrates] - [22.970 0.500 1.000]
8 24.470 [*socrates | era | filosofia_antiga | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
9 24.470 [*aristoteles | imagemlegenda | copia romana de uma escultura de lisipo | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
10 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | *influencias | heraclito] - [22.970 0.500 1.000]
11 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | *influencias | parmenides] - [22.970 0.500 1.000]
12 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | *influencias | democrito] - [22.970 0.500 1.000]
13 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | *influencias | platao] - [22.970 0.500 1.000]
14 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | rodape | portal:filosofia] - [22.970 0.500 1.000]
15 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | interesses | etica] - [22.970 0.500 1.000]
16 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | interesses | metafisica] - [22.970 0.500 1.000]
17 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | interesses | politica] - [22.970 0.500 1.000]
18 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | interesses | teatro] - [22.970 0.500 1.000]
19 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | interesses | retorica] - [22.970 0.500 1.000]
20 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | ideiasnotaveis | logica] - [22.970 0.500 1.000]
21 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | interesses | musica] - [22.970 0.500 1.000]
22 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | interesses | poesia] - [22.970 0.500 1.000]
23 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | interesses | biologia] - [22.970 0.500 1.000]
24 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | interesses | governo] - [22.970 0.500 1.000]
25 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | interesses | fisica] - [22.970 0.500 1.000]
26 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | interesses | zoologia] - [22.970 0.500 1.000]
27 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | ideiasnotaveis | doutrina_do_meio_termo] - [22.970 0.500 1.000]
28 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | ideiasnotaveis | razao] - [22.970 0.500 1.000]
29 24.470 [*aristoteles | *influencias | heraclito | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
30 24.470 [*aristoteles | *influencias | parmenides | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
31 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | nome | *aristoteles] - [22.970 0.500 1.000]
32 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | imagem | aristotle altemps detail.jpg] - [22.970 0.500 1.000]
33 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | mortelocal | calcis, na ilha eubeia] - [22.970 0.500 1.000]
34 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | escola | escola_peripatetica] - [22.970 0.500 1.000]
35 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | escola | aristotelismo] - [22.970 0.500 1.000]
36 24.470 [antistenes | *influencias | *socrates | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
37 24.470 [*aristoteles | *influencias | democrito | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
38 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | nascimentolocal | estagira] - [22.970 0.500 1.000]
39 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | nascimentolocal | calcidica] - [22.970 0.500 1.000]
40 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | nascimentolocal | grecia_antiga] - [22.970 0.500 1.000]
41 24.470 [*aristoteles | *influencias | platao | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
42 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | ocupacao | professor] - [22.970 0.500 1.000]
43 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | ocupacao | filosofo] - [22.970 0.500 1.000]
44 24.470 [*aristoteles | *influencias | *socrates | *aristoteles | imagemlegenda | copia romana de uma escultura de lisipo] - [22.970 0.500 1.000]
45 24.470 [*aristoteles | *influencias | *socrates | tomas_de_aquino | caption | *aristoteles] - [22.970 0.500 1.000]
46 24.470 [*aristoteles | rodape | portal:filosofia | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
47 24.470 [*aristoteles | interesses | etica | *aristoteles | *influencias | *socrates] - [22.970 0.500 1.000]
