
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 11.333 [copa_intercontinental_de_1970 | city | *rotterdam] - [10.000 0.333 1.000]
1 11.333 [roterdao | commons | *rotterdam] - [10.000 0.333 1.000]
2 11.333 [roterdao | commonscat | *rotterdam] - [10.000 0.333 1.000]
3 11.333 [kew_jaliens | cidadenatal | *rotterdam] - [10.000 0.333 1.000]
4 11.333 [roterdao | nomenativo | *rotterdam] - [10.000 0.333 1.000]
5 11.333 [final_da_copa_da_uefa_de_197374 | estadio | *rotterdam] - [10.000 0.333 1.000]
6 11.333 [rajiv_van_la_parra | cidadenatal | *rotterdam] - [10.000 0.333 1.000]
7 11.333 [hendrik_chabot | mortelocal | *rotterdam] - [10.000 0.333 1.000]
8 11.333 [raemon_sluiter | cidadenatal | *rotterdam] - [10.000 0.333 1.000]
9 11.333 [ronald_landa | origem | *rotterdam] - [10.000 0.333 1.000]
10 11.333 [tim_vincken | cidadenatal | *rotterdam] - [10.000 0.333 1.000]
11 11.333 [jean_paul_boetius | cidadenatal | *rotterdam] - [10.000 0.333 1.000]
12 11.333 [paises_baixos_na_copa_do_mundo_fifa_de_2014 | stadium | *rotterdam] - [10.000 0.333 1.000]
13 11.333 [david_van_dantzig | localnascimento | *rotterdam] - [10.000 0.333 1.000]
14 11.333 [raemon_sluiter | residencia | *rotterdam] - [10.000 0.333 1.000]
15 11.333 [final_da_copa_da_uefa_de_197374 | city | *rotterdam] - [10.000 0.333 1.000]
16 11.333 [destiny's_child_world_tour | gravado | *rotterdam] - [10.000 0.333 1.000]
17 11.333 [pim_verbeek | cidadenatal | *rotterdam] - [10.000 0.333 1.000]
18 11.333 [richard_krajicek | cidadenatal | *rotterdam] - [10.000 0.333 1.000]
19 11.333 [luigi_bruins | cidadenatal | *rotterdam] - [10.000 0.333 1.000]
20 11.333 [jeffrey_bruma | cidadenatal | *rotterdam] - [10.000 0.333 1.000]
21 11.333 [eliminatorias_da_copa_do_mundo_fifa_de_1978 | location | *rotterdam] - [10.000 0.333 1.000]
22 11.333 [adriaan_van_wijngaarden | localnascimento | *rotterdam] - [10.000 0.333 1.000]
23 11.333 [copa_da_uefa_de_200102 | estadio | *rotterdam] - [10.000 0.333 1.000]
24 11.333 [leo_beenhakker | cidadenatal | *rotterdam] - [10.000 0.333 1.000]
25 11.333 [aiesec | sede | *rotterdam] - [10.000 0.333 1.000]
26 11.223 [frits_bernard | nascimentolocal | *rotterdam,] - [9.890 0.333 1.000]
