
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 5.129 [*afinidades | genero | *pop_rock | *david_paich | genero | *pop_rock] - [4.629 0.500 0.000]
1 5.129 [*david_paich | genero | *pop_rock | *afinidades | genero | *pop_rock] - [4.629 0.500 0.000]
2 4.710 [*dado_villa_lobos | genero | *pop_rock | *david_paich | genero | *pop_rock] - [4.210 0.500 0.000]
3 4.710 [*david_paich | genero | *pop_rock | *dado_villa_lobos | genero | *pop_rock] - [4.210 0.500 0.000]
4 4.386 [china | *populacaoestimadaano | 2010 | *condado_de_debao | *pais | china] - [3.886 0.500 0.000]
5 4.360 [franca | *populacaoestimada | 65447374 | *silvio_paiva | *cidadenatal | franca] - [3.860 0.500 0.000]
6 4.333 [maria_da_hungria | *pai | luis_i_da_hungria | maria_da_hungria | *mae | isabel_da_bosnia] - [4.000 0.333 0.000]
7 4.333 [maria_da_hungria | *mae | isabel_da_bosnia | maria_da_hungria | *pai | luis_i_da_hungria] - [4.000 0.333 0.000]
8 4.333 [abel_da_dinamarca | *mae | berengaria_de_portugal | abel_da_dinamarca | *pai | valdemar_ii_da_dinamarca] - [4.000 0.333 0.000]
9 4.333 [abel_da_dinamarca | *pai | valdemar_ii_da_dinamarca | abel_da_dinamarca | *mae | berengaria_de_portugal] - [4.000 0.333 0.000]
10 4.333 [pedro_i_de_castela | *pai | afonso_xi_de_castela | pedro_i_de_castela | *mae | maria_de_portugal,_rainha_de_castela] - [4.000 0.333 0.000]
11 4.333 [pedro_i_de_castela | *mae | maria_de_portugal,_rainha_de_castela | pedro_i_de_castela | *pai | afonso_xi_de_castela] - [4.000 0.333 0.000]
12 4.333 [francisco_barreto | *mae | branca de vilhena | francisco_barreto | *pai | rui barreto] - [4.000 0.333 0.000]
13 4.333 [francisco_barreto | *pai | rui barreto | francisco_barreto | *mae | branca de vilhena] - [4.000 0.333 0.000]
14 4.333 [valdemar_iii_da_dinamarca | *pai | erico ii, duque de schleswig | valdemar_iii_da_dinamarca | *mae | adelaide de holstein-rendsburg] - [4.000 0.333 0.000]
15 4.333 [valdemar_iii_da_dinamarca | *mae | adelaide de holstein-rendsburg | valdemar_iii_da_dinamarca | *pai | erico ii, duque de schleswig] - [4.000 0.333 0.000]
16 4.333 [margarida_douglas | *pai | arquibaldo_douglas,_6o_conde_de_angus | margarida_douglas | *mae | margarida_tudor] - [4.000 0.333 0.000]
17 4.333 [margarida_douglas | *mae | margarida_tudor | margarida_douglas | *pai | arquibaldo_douglas,_6o_conde_de_angus] - [4.000 0.333 0.000]
18 4.333 [maria_kirillovna_da_russia | *mae | vitoria_melita_de_saxe_coburgo_gota | maria_kirillovna_da_russia | *pai | cyril_vladimirovich] - [4.000 0.333 0.000]
19 4.333 [maria_kirillovna_da_russia | *pai | cyril_vladimirovich | maria_kirillovna_da_russia | *mae | vitoria_melita_de_saxe_coburgo_gota] - [4.000 0.333 0.000]
20 4.333 [maria_ana_de_braganca,_princesa_da_saxonia | *pai | fernando_ii_de_portugal | maria_ana_de_braganca,_princesa_da_saxonia | *mae | maria_ii_de_portugal] - [4.000 0.333 0.000]
21 4.333 [maria_ana_de_braganca,_princesa_da_saxonia | *mae | maria_ii_de_portugal | maria_ana_de_braganca,_princesa_da_saxonia | *pai | fernando_ii_de_portugal] - [4.000 0.333 0.000]
22 4.333 [carlos_filipe,_duque_de_varmland | *mae | silvia_da_suecia | carlos_filipe,_duque_de_varmland | *pai | carlos_xvi_gustavo_da_suecia] - [4.000 0.333 0.000]
23 4.333 [joao_i_de_bourbon | *mae | joana de chatillon | joao_i_de_bourbon | *pai | jaime_i_de_bourbon] - [4.000 0.333 0.000]
24 4.333 [joao_i_de_bourbon | *pai | jaime_i_de_bourbon | joao_i_de_bourbon | *mae | joana de chatillon] - [4.000 0.333 0.000]
25 4.333 [carlos_filipe,_duque_de_varmland | *pai | carlos_xvi_gustavo_da_suecia | carlos_filipe,_duque_de_varmland | *mae | silvia_da_suecia] - [4.000 0.333 0.000]
26 4.333 [alexandre_ii_da_valaquia | *mae | maria_despina_da_servia | mihnea,_o_turco | *pai | alexandre_ii_da_valaquia] - [4.000 0.333 0.000]
27 4.333 [alexandre_ii_da_valaquia | *mae | maria_despina_da_servia | alexandre_ii_da_valaquia | *pai | mircea_iv_da_valaquia] - [4.000 0.333 0.000]
28 4.333 [alexandre_ii_da_valaquia | *pai | mircea_iv_da_valaquia | alexandre_ii_da_valaquia | *mae | maria_despina_da_servia] - [4.000 0.333 0.000]
29 4.321 [lituania | *populacaoestimadapos | 130 | *telsiai_(condado) | *pais | lituania] - [3.821 0.500 0.000]
30 4.278 [*condado_de_lake_(ohio) | capital | *painesville | *condado_de_lake_(ohio) | *populacao | 227511] - [3.778 0.500 0.000]
31 4.278 [*condado_de_lake_(ohio) | *populacao | 227511 | *condado_de_lake_(ohio) | capital | *painesville] - [3.778 0.500 0.000]
