
Melhores respostas:
0 5.658 [*espn_nba_basketball | *njogadores | *de 1 a 8 jogadores | *espn_nba_basketball | modos | *multiplayer] - [5.158 0.500 0.000]
1 5.569 [*espn_nba_basketball | *njogadores | *de 1 a 8 jogadores | *espn_nba_basketball | modos | *single_player] - [5.069 0.500 0.000]

Lista de triplas candidatas a resposta: 
0 5.658 [*espn_nba_basketball | *njogadores | *de 1 a 8 jogadores | *espn_nba_basketball | modos | *multiplayer] - [5.158 0.500 0.000]
1 5.658 [*espn_nba_basketball | modos | *multiplayer | *espn_nba_basketball | *njogadores | *de 1 a 8 jogadores] - [5.158 0.500 0.000]
2 5.569 [*espn_nba_basketball | *njogadores | *de 1 a 8 jogadores | *espn_nba_basketball | modos | *single_player] - [5.069 0.500 0.000]
3 5.569 [*espn_nba_basketball | modos | *single_player | *espn_nba_basketball | *njogadores | *de 1 a 8 jogadores] - [5.069 0.500 0.000]
4 5.330 [*mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | thomas_gehrke] - [4.830 0.500 0.000]
5 5.330 [*mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | gerson_santo] - [4.830 0.500 0.000]
6 5.330 [*mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | wagner] - [4.830 0.500 0.000]
7 5.330 [*mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | tyrone_curnell] - [4.830 0.500 0.000]
8 5.330 [*mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | alexandre_pinheiro] - [4.830 0.500 0.000]
9 5.330 [*mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | elinho] - [4.830 0.500 0.000]
10 5.330 [*mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | gustavo_santos_pereira_lima] - [4.830 0.500 0.000]
11 5.330 [*mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | guilherme_filipin] - [4.830 0.500 0.000]
12 5.330 [*mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | paulao_prestes] - [4.830 0.500 0.000]
13 5.330 [*mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | shamell] - [4.830 0.500 0.000]
14 5.330 [*mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | jimmy_dreher] - [4.830 0.500 0.000]
15 5.330 [*mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | pedro_macedo] - [4.830 0.500 0.000]
16 5.330 [*mogi_das_cruzes_basketball_clube | *nomejogador | wagner | *mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete] - [4.830 0.500 0.000]
17 5.330 [*mogi_das_cruzes_basketball_clube | *nomejogador | thomas_gehrke | *mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete] - [4.830 0.500 0.000]
18 5.330 [*mogi_das_cruzes_basketball_clube | *nomejogador | gerson_santo | *mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete] - [4.830 0.500 0.000]
19 5.330 [*mogi_das_cruzes_basketball_clube | *nomejogador | pedro_macedo | *mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete] - [4.830 0.500 0.000]
20 5.330 [*mogi_das_cruzes_basketball_clube | *nomejogador | paulao_prestes | *mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete] - [4.830 0.500 0.000]
21 5.330 [*mogi_das_cruzes_basketball_clube | *nomejogador | shamell | *mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete] - [4.830 0.500 0.000]
22 5.330 [*mogi_das_cruzes_basketball_clube | *nomejogador | jimmy_dreher | *mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete] - [4.830 0.500 0.000]
23 5.330 [*mogi_das_cruzes_basketball_clube | *nomejogador | guilherme_filipin | *mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete] - [4.830 0.500 0.000]
24 5.330 [*mogi_das_cruzes_basketball_clube | *nomejogador | elinho | *mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete] - [4.830 0.500 0.000]
25 5.330 [*mogi_das_cruzes_basketball_clube | *nomejogador | gustavo_santos_pereira_lima | *mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete] - [4.830 0.500 0.000]
26 5.330 [*mogi_das_cruzes_basketball_clube | *nomejogador | alexandre_pinheiro | *mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete] - [4.830 0.500 0.000]
27 5.330 [*mogi_das_cruzes_basketball_clube | *nomejogador | tyrone_curnell | *mogi_das_cruzes_basketball_clube | ultcl | *franca_basquete] - [4.830 0.500 0.000]
28 5.292 [*mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | tyrone_curnell] - [4.792 0.500 0.000]
29 5.292 [*mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | alexandre_pinheiro] - [4.792 0.500 0.000]
30 5.292 [*mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | gustavo_santos_pereira_lima] - [4.792 0.500 0.000]
31 5.292 [*mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | elinho] - [4.792 0.500 0.000]
32 5.292 [*mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | guilherme_filipin] - [4.792 0.500 0.000]
33 5.292 [*mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | jimmy_dreher] - [4.792 0.500 0.000]
34 5.292 [*mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | shamell] - [4.792 0.500 0.000]
35 5.292 [*mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | paulao_prestes] - [4.792 0.500 0.000]
36 5.292 [*mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | pedro_macedo] - [4.792 0.500 0.000]
37 5.292 [*mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | gerson_santo] - [4.792 0.500 0.000]
38 5.292 [*mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | thomas_gehrke] - [4.792 0.500 0.000]
39 5.292 [*mogi_das_cruzes_basketball_clube | ultcl | *limeira_basquete | *mogi_das_cruzes_basketball_clube | *nomejogador | wagner] - [4.792 0.500 0.000]
