
Melhores respostas:
0 11.333 [primeira_republica_da_coreia_do_sul | lider | *syngman_rhee] - [10.000 0.333 1.000]
1 11.333 [*syngman_rhee | depois | yun_bo_seon] - [10.000 0.333 1.000]
2 11.333 [*syngman_rhee | depois | heo_jeong] - [10.000 0.333 1.000]
3 11.333 [*syngman_rhee | primeiroministrotitulo | no baek-rin] - [10.000 0.333 1.000]
4 11.333 [*syngman_rhee | primeiroministrotitulo | yi_dongnyeong] - [10.000 0.333 1.000]
5 11.333 [*syngman_rhee | primeiroministrotitulo | sin gyu-sik] - [10.000 0.333 1.000]
6 11.333 [*syngman_rhee | primeiroministrotitulo | yi_donghwi] - [10.000 0.333 1.000]
7 11.333 [*syngman_rhee | primeiroministrotitulo | park_eunsik] - [10.000 0.333 1.000]
8 11.333 [heo_jeong | antes | *syngman_rhee] - [10.000 0.333 1.000]
9 11.333 [*syngman_rhee | mortelocal | honolulu, havai,] - [10.000 0.333 1.000]
10 11.333 [*syngman_rhee | conjuge | seungseon park] - [10.000 0.333 1.000]
11 11.333 [*syngman_rhee | conjuge | francesca_donner] - [10.000 0.333 1.000]
12 11.333 [*syngman_rhee | antes | kim_gu] - [10.000 0.333 1.000]
13 11.333 [*syngman_rhee | titulo | presidente do governo provisorio da republica da coreia em exilio] - [10.000 0.333 1.000]
14 11.333 [*syngman_rhee | titulo | presidentes_da_coreia_do_sul] - [10.000 0.333 1.000]
15 11.333 [*syngman_rhee | almamater | universidade george washington] - [10.000 0.333 1.000]
16 11.333 [*syngman_rhee | almamater | universidade princeton] - [10.000 0.333 1.000]
17 11.333 [*syngman_rhee | almamater | universidade harvard] - [10.000 0.333 1.000]
18 11.333 [*syngman_rhee | mandatoiniciotitulo | 11] - [10.000 0.333 1.000]
19 11.333 [*syngman_rhee | mandatofimtitulo | 21] - [10.000 0.333 1.000]
20 11.333 [*syngman_rhee | imagem | rhee syng-man in 1956.jpg] - [10.000 0.333 1.000]
21 11.333 [*syngman_rhee | mandatoinicio | 24] - [10.000 0.333 1.000]
22 11.333 [*syngman_rhee | anos | 1948] - [10.000 0.333 1.000]
23 11.333 [*syngman_rhee | vicepresidente | yun_bo_seon] - [10.000 0.333 1.000]
24 11.333 [*syngman_rhee | vicepresidente | hahm tae-yong] - [10.000 0.333 1.000]
25 11.333 [*syngman_rhee | vicepresidente | chang_myon] - [10.000 0.333 1.000]
26 11.333 [*syngman_rhee | vicepresidente | kim_seong_su] - [10.000 0.333 1.000]
27 11.333 [*syngman_rhee | vicepresidente | yi_si_yeong] - [10.000 0.333 1.000]
28 11.333 [*syngman_rhee | partido | partido_liberal_(coreia_do_sul)] - [10.000 0.333 1.000]
29 11.333 [*syngman_rhee | nome | syngman rhee] - [10.000 0.333 1.000]
30 11.333 [*syngman_rhee | depoistitulo | park_eunsik] - [10.000 0.333 1.000]
31 11.333 [*syngman_rhee | nacionalidade | coreia] - [10.000 0.333 1.000]
32 11.333 [*syngman_rhee | preposicao | da] - [10.000 0.333 1.000]
33 11.333 [*syngman_rhee | mandatofim | 16] - [10.000 0.333 1.000]
34 11.333 [*syngman_rhee | ordempresidente | 1] - [10.000 0.333 1.000]
35 11.333 [*syngman_rhee | nascimentolocal | haeju, hwanghae, joseon] - [10.000 0.333 1.000]
36 11.333 [*syngman_rhee | nomecomp | syngman rhee] - [10.000 0.333 1.000]
37 11.333 [*syngman_rhee | imagemtamanho | 225] - [10.000 0.333 1.000]
38 11.333 [*syngman_rhee | legenda | syngman rhee em 1956] - [10.000 0.333 1.000]
39 11.333 [*syngman_rhee | religiao | igreja_metodista] - [10.000 0.333 1.000]
40 11.333 [*syngman_rhee | assinatura | syngman rhee signature.svg] - [10.000 0.333 1.000]
41 11.333 [*syngman_rhee | pais | coreia do sul] - [10.000 0.333 1.000]
42 11.333 [governo_provisorio_da_republica_da_coreia | lider | *syngman_rhee] - [10.000 0.333 1.000]
43 11.333 [presidente_da_coreia_do_sul | inauguradopor | *syngman_rhee] - [10.000 0.333 1.000]

Lista de triplas candidatas a resposta: 
0 11.333 [primeira_republica_da_coreia_do_sul | lider | *syngman_rhee] - [10.000 0.333 1.000]
1 11.333 [*syngman_rhee | depois | yun_bo_seon] - [10.000 0.333 1.000]
2 11.333 [*syngman_rhee | depois | heo_jeong] - [10.000 0.333 1.000]
3 11.333 [*syngman_rhee | primeiroministrotitulo | no baek-rin] - [10.000 0.333 1.000]
4 11.333 [*syngman_rhee | primeiroministrotitulo | yi_dongnyeong] - [10.000 0.333 1.000]
5 11.333 [*syngman_rhee | primeiroministrotitulo | sin gyu-sik] - [10.000 0.333 1.000]
6 11.333 [*syngman_rhee | primeiroministrotitulo | yi_donghwi] - [10.000 0.333 1.000]
7 11.333 [*syngman_rhee | primeiroministrotitulo | park_eunsik] - [10.000 0.333 1.000]
8 11.333 [heo_jeong | antes | *syngman_rhee] - [10.000 0.333 1.000]
9 11.333 [*syngman_rhee | mortelocal | honolulu, havai,] - [10.000 0.333 1.000]
10 11.333 [*syngman_rhee | conjuge | seungseon park] - [10.000 0.333 1.000]
11 11.333 [*syngman_rhee | conjuge | francesca_donner] - [10.000 0.333 1.000]
12 11.333 [*syngman_rhee | antes | kim_gu] - [10.000 0.333 1.000]
