
Melhores respostas:
0 4.392 [transformers:_revenge_of_the_fallen_(jogo_eletronico) | *njogadores | *multiplayer] - [3.725 0.667 0.000]
1 4.392 [tony_hawk's_downhill_jam | *njogadores | *multiplayer] - [3.725 0.667 0.000]
2 4.392 [the_mana_world | *njogadores | *multiplayer] - [3.725 0.667 0.000]
3 4.392 [war_thunder | *njogadores | *multiplayer] - [3.725 0.667 0.000]
4 4.392 [call_of_duty:_modern_warfare_3 | *njogadores | *multiplayer] - [3.725 0.667 0.000]
5 4.392 [tony_hawk's_underground | *njogadores | *multiplayer] - [3.725 0.667 0.000]
6 4.392 [tony_hawk's_pro_skater_4 | *njogadores | *multiplayer] - [3.725 0.667 0.000]
7 4.392 [everquest | *njogadores | *multiplayer] - [3.725 0.667 0.000]
8 4.392 [wurm_online | *njogadores | *multiplayer] - [3.725 0.667 0.000]
9 4.392 [rayman_raving_rabbids_2 | *njogadores | *multiplayer] - [3.725 0.667 0.000]
10 4.392 [tony_hawk's_pro_skater | *njogadores | *multiplayer] - [3.725 0.667 0.000]
11 4.392 [tony_hawk's_american_wasteland | *njogadores | *multiplayer] - [3.725 0.667 0.000]
12 4.392 [blazing_angels:_squadrons_of_wwii | *njogadores | *multiplayer] - [3.725 0.667 0.000]
13 4.392 [tony_hawk's_american_sk8land | *njogadores | *multiplayer] - [3.725 0.667 0.000]
14 4.392 [transformers:_the_game | *njogadores | *multiplayer] - [3.725 0.667 0.000]
15 4.392 [club_penguin:_elite_penguin_force___herbert's_revenge | *njogadores | *multiplayer] - [3.725 0.667 0.000]
16 4.392 [tony_hawk's_pro_skater_3 | *njogadores | *multiplayer] - [3.725 0.667 0.000]
17 4.348 [tony_hawk's_downhill_jam | *njogadores | *singleplayer] - [3.682 0.667 0.000]
18 4.348 [ape_escape_2 | *njogadores | *singleplayer] - [3.682 0.667 0.000]
19 4.348 [tony_hawk's_underground | *njogadores | *singleplayer] - [3.682 0.667 0.000]
20 4.348 [infection | *njogadores | *singleplayer] - [3.682 0.667 0.000]
21 4.348 [tony_hawk's_pro_skater_4 | *njogadores | *singleplayer] - [3.682 0.667 0.000]
22 4.348 [eternal_quest | *njogadores | *singleplayer] - [3.682 0.667 0.000]
23 4.348 [driver:_la_undercover | *njogadores | *singleplayer] - [3.682 0.667 0.000]
24 4.348 [rayman_raving_rabbids_2 | *njogadores | *singleplayer] - [3.682 0.667 0.000]
25 4.348 [tony_hawk's_pro_skater | *njogadores | *singleplayer] - [3.682 0.667 0.000]
26 4.348 [driver:_parallel_lines | *njogadores | *singleplayer] - [3.682 0.667 0.000]
27 4.348 [tony_hawk's_american_wasteland | *njogadores | *singleplayer] - [3.682 0.667 0.000]
28 4.348 [blazing_angels:_squadrons_of_wwii | *njogadores | *singleplayer] - [3.682 0.667 0.000]
29 4.348 [tony_hawk's_american_sk8land | *njogadores | *singleplayer] - [3.682 0.667 0.000]
30 4.348 [zack_&_wiki:_quest_for_barbaros'_treasure | *njogadores | *singleplayer] - [3.682 0.667 0.000]
31 4.348 [tony_hawk's_pro_skater_3 | *njogadores | *singleplayer] - [3.682 0.667 0.000]
32 4.348 [dragon_ball_z:_attack_of_the_saiyan | *njogadores | *singleplayer] - [3.682 0.667 0.000]

Lista de triplas candidatas a resposta: 
0 4.392 [transformers:_revenge_of_the_fallen_(jogo_eletronico) | *njogadores | *multiplayer] - [3.725 0.667 0.000]
1 4.392 [tony_hawk's_downhill_jam | *njogadores | *multiplayer] - [3.725 0.667 0.000]
2 4.392 [the_mana_world | *njogadores | *multiplayer] - [3.725 0.667 0.000]
3 4.392 [war_thunder | *njogadores | *multiplayer] - [3.725 0.667 0.000]
4 4.392 [call_of_duty:_modern_warfare_3 | *njogadores | *multiplayer] - [3.725 0.667 0.000]
5 4.392 [tony_hawk's_underground | *njogadores | *multiplayer] - [3.725 0.667 0.000]
6 4.392 [tony_hawk's_pro_skater_4 | *njogadores | *multiplayer] - [3.725 0.667 0.000]
7 4.392 [everquest | *njogadores | *multiplayer] - [3.725 0.667 0.000]
8 4.392 [wurm_online | *njogadores | *multiplayer] - [3.725 0.667 0.000]
9 4.392 [rayman_raving_rabbids_2 | *njogadores | *multiplayer] - [3.725 0.667 0.000]
10 4.392 [tony_hawk's_pro_skater | *njogadores | *multiplayer] - [3.725 0.667 0.000]
11 4.392 [tony_hawk's_american_wasteland | *njogadores | *multiplayer] - [3.725 0.667 0.000]
12 4.392 [blazing_angels:_squadrons_of_wwii | *njogadores | *multiplayer] - [3.725 0.667 0.000]
13 4.392 [tony_hawk's_american_sk8land | *njogadores | *multiplayer] - [3.725 0.667 0.000]
14 4.392 [transformers:_the_game | *njogadores | *multiplayer] - [3.725 0.667 0.000]
15 4.392 [club_penguin:_elite_penguin_force___herbert's_revenge | *njogadores | *multiplayer] - [3.725 0.667 0.000]
16 4.392 [tony_hawk's_pro_skater_3 | *njogadores | *multiplayer] - [3.725 0.667 0.000]
17 4.348 [tony_hawk's_downhill_jam | *njogadores | *singleplayer] - [3.682 0.667 0.000]
18 4.348 [ape_escape_2 | *njogadores | *singleplayer] - [3.682 0.667 0.000]
19 4.348 [tony_hawk's_underground | *njogadores | *singleplayer] - [3.682 0.667 0.000]
20 4.348 [infection | *njogadores | *singleplayer] - [3.682 0.667 0.000]
21 4.348 [tony_hawk's_pro_skater_4 | *njogadores | *singleplayer] - [3.682 0.667 0.000]
22 4.348 [eternal_quest | *njogadores | *singleplayer] - [3.682 0.667 0.000]
23 4.348 [driver:_la_undercover | *njogadores | *singleplayer] - [3.682 0.667 0.000]
24 4.348 [rayman_raving_rabbids_2 | *njogadores | *singleplayer] - [3.682 0.667 0.000]
25 4.348 [tony_hawk's_pro_skater | *njogadores | *singleplayer] - [3.682 0.667 0.000]
26 4.348 [driver:_parallel_lines | *njogadores | *singleplayer] - [3.682 0.667 0.000]
27 4.348 [tony_hawk's_american_wasteland | *njogadores | *singleplayer] - [3.682 0.667 0.000]
28 4.348 [blazing_angels:_squadrons_of_wwii | *njogadores | *singleplayer] - [3.682 0.667 0.000]
29 4.348 [tony_hawk's_american_sk8land | *njogadores | *singleplayer] - [3.682 0.667 0.000]
30 4.348 [zack_&_wiki:_quest_for_barbaros'_treasure | *njogadores | *singleplayer] - [3.682 0.667 0.000]
31 4.348 [tony_hawk's_pro_skater_3 | *njogadores | *singleplayer] - [3.682 0.667 0.000]
32 4.348 [dragon_ball_z:_attack_of_the_saiyan | *njogadores | *singleplayer] - [3.682 0.667 0.000]
33 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | timo_boll | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
34 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | jakub_dyjas | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
35 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | '''joo sae-hyuk | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
36 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | daniel_gorak | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
37 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | koki_niwa | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
38 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | '''liam pitchford | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
39 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | '''xu xin | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
40 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | xu_xin | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
41 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | '''marcos freitas | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
42 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | '''wong chun ting | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
43 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | robert_gardos | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
44 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | '''timo boll | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
45 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | bastian_steger | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
46 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | cazuo_matsumoto | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
47 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | joo_sae_hyuk | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
48 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | mattias_karlsson | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
49 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | david_powell_(mesa_tenista) | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
50 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | gustavo_tsuboi | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
51 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | '''stefan fegerl | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
52 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | '''tang peng | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
53 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | kristian_karlsson | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
54 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | '''robert gardos | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
55 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | ho_kwan_kit | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
56 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | '''paul drinkhall | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
57 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | '''simon gauzy | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
58 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | hu_heiming | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
59 4.317 [tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *player | timothy_wang | tenis_de_mesa_nos_jogos_olimpicos_de_verao_de_2016___equipes_masculinas | *participantes | 48] - [3.983 0.333 0.000]
