
Melhores respostas:

Lista de triplas candidatas a resposta: 
0 20.833 [international_champions_cup_de_2016 | estadio | *glasgow | international_champions_cup_de_2016 | estadio | *dublin] - [20.000 0.333 0.500]
1 20.833 [eliminatorias_da_copa_do_mundo_fifa_de_1966 | estadio | *dublin | eliminatorias_da_copa_do_mundo_fifa_de_1966 | estadio | *glasgow] - [20.000 0.333 0.500]
2 20.833 [liga_dos_campeoes_da_uefa_de_201415__rodadas_de_qualificacao | estadio | *dublin | liga_dos_campeoes_da_uefa_de_201415__rodadas_de_qualificacao | estadio | *glasgow] - [20.000 0.333 0.500]
3 20.833 [eliminatorias_da_copa_do_mundo_fifa_de_1966 | estadio | *glasgow | eliminatorias_da_copa_do_mundo_fifa_de_1966 | estadio | *dublin] - [20.000 0.333 0.500]
4 20.833 [liga_dos_campeoes_da_uefa_de_201415__rodadas_de_qualificacao | estadio | *glasgow | liga_dos_campeoes_da_uefa_de_201415__rodadas_de_qualificacao | estadio | *dublin] - [20.000 0.333 0.500]
5 20.833 [africa) | rd2t3loc | *dublin | africa) | rd2t3loc | *glasgow] - [20.000 0.333 0.500]
6 20.833 [africa) | rd2t3loc | *glasgow | africa) | rd2t3loc | *dublin] - [20.000 0.333 0.500]
7 20.833 [africa) | rd2t3loc | *glasgow | africa) | rd2t1loc | *dublin] - [20.000 0.333 0.500]
8 20.833 [liga_dos_campeoes_da_uefa_de_201112__rodadas_de_qualificacao | estadio | *dublin | liga_dos_campeoes_da_uefa_de_201112__rodadas_de_qualificacao | estadio | *glasgow] - [20.000 0.333 0.500]
9 20.833 [africa) | rd1t2loc | *dublin | africa) | rd2t3loc | *glasgow] - [20.000 0.333 0.500]
10 20.833 [qualificacoes_para_o_campeonato_europeu_de_futebol_de_2016 | goleada2cidade | *dublin | qualificacoes_para_o_campeonato_europeu_de_futebol_de_2016 | estadio | *glasgow] - [20.000 0.333 0.500]
11 20.833 [liga_dos_campeoes_da_uefa_de_201112__rodadas_de_qualificacao | estadio | *glasgow | liga_dos_campeoes_da_uefa_de_201112__rodadas_de_qualificacao | estadio | *dublin] - [20.000 0.333 0.500]
12 20.833 [africa) | rd2t3loc | *glasgow | africa) | rd1t6loc | *dublin] - [20.000 0.333 0.500]
13 20.833 [liga_europa_da_uefa_de_201112__rodada_de_play_off | estadio | *dublin | liga_europa_da_uefa_de_201112__rodada_de_play_off | estadio | *glasgow] - [20.000 0.333 0.500]
14 20.833 [liga_europa_da_uefa_de_201112__rodada_de_play_off | estadio | *glasgow | liga_europa_da_uefa_de_201112__rodada_de_play_off | estadio | *dublin] - [20.000 0.333 0.500]
15 20.833 [africa) | rd2t3loc | *glasgow | africa) | rd1t2loc | *dublin] - [20.000 0.333 0.500]
16 20.833 [qualificacoes_para_o_campeonato_europeu_de_futebol_de_2016 | estadio | *dublin | qualificacoes_para_o_campeonato_europeu_de_futebol_de_2016 | estadio | *glasgow] - [20.000 0.333 0.500]
17 20.833 [qualificacoes_para_o_campeonato_europeu_de_futebol_de_2016 | estadio | *glasgow | qualificacoes_para_o_campeonato_europeu_de_futebol_de_2016 | estadio | *dublin] - [20.000 0.333 0.500]
18 20.833 [copa_do_mundo_de_rugby_union_de_1999 | stadium | *dublin | copa_do_mundo_de_rugby_union_de_1999 | stadium | *glasgow] - [20.000 0.333 0.500]
19 20.833 [copa_do_mundo_de_rugby_union_de_1999 | stadium | *glasgow | copa_do_mundo_de_rugby_union_de_1999 | stadium | *dublin] - [20.000 0.333 0.500]
20 20.833 [qualificacoes_para_o_campeonato_europeu_de_futebol_de_2016 | estadio | *glasgow | qualificacoes_para_o_campeonato_europeu_de_futebol_de_2016 | goleada2cidade | *dublin] - [20.000 0.333 0.500]
21 20.833 [liga_europa_da_uefa_de_201011__fases_finais | estadio | *dublin | liga_europa_da_uefa_de_201011__fases_finais | estadio | *glasgow] - [20.000 0.333 0.500]
22 20.833 [liga_europa_da_uefa_de_201011__fases_finais | estadio | *glasgow | liga_europa_da_uefa_de_201011__fases_finais | estadio | *dublin] - [20.000 0.333 0.500]
23 20.833 [eliminatorias_da_copa_do_mundo_fifa_de_1950 | estadio | *dublin | eliminatorias_da_copa_do_mundo_fifa_de_1950 | estadio | *glasgow] - [20.000 0.333 0.500]
24 20.833 [eliminatorias_da_copa_do_mundo_fifa_de_1950 | estadio | *glasgow | eliminatorias_da_copa_do_mundo_fifa_de_1950 | estadio | *dublin] - [20.000 0.333 0.500]
25 20.833 [liga_dos_campeoes_da_uefa_de_201213__rodadas_de_qualificacao | estadio | *dublin | liga_dos_campeoes_da_uefa_de_201213__rodadas_de_qualificacao | estadio | *glasgow] - [20.000 0.333 0.500]
26 20.833 [liga_dos_campeoes_da_uefa_de_201213__rodadas_de_qualificacao | estadio | *glasgow | liga_dos_campeoes_da_uefa_de_201213__rodadas_de_qualificacao | estadio | *dublin] - [20.000 0.333 0.500]
27 20.833 [eliminatorias_da_copa_do_mundo_fifa_de_1978 | location | *glasgow | eliminatorias_da_copa_do_mundo_fifa_de_1978 | location | *dublin] - [20.000 0.333 0.500]
28 20.833 [eliminatorias_da_copa_do_mundo_fifa_de_1978 | location | *dublin | eliminatorias_da_copa_do_mundo_fifa_de_1978 | location | *glasgow] - [20.000 0.333 0.500]
29 20.833 [resultados_dos_jogos_das_qualificacoes_para_campeonato_europeu_de_futebol_de_2012 | estadio | *dublin | resultados_dos_jogos_das_qualificacoes_para_campeonato_europeu_de_futebol_de_2012 | estadio | *glasgow] - [20.000 0.333 0.500]
30 20.833 [liga_dos_campeoes_da_uefa_de_201617__rodadas_de_qualificacao | estadio | *dublin | liga_dos_campeoes_da_uefa_de_201617__rodadas_de_qualificacao | estadio | *glasgow] - [20.000 0.333 0.500]
31 20.833 [resultados_dos_jogos_das_qualificacoes_para_campeonato_europeu_de_futebol_de_2012 | estadio | *glasgow | resultados_dos_jogos_das_qualificacoes_para_campeonato_europeu_de_futebol_de_2012 | estadio | *dublin] - [20.000 0.333 0.500]
32 20.833 [eliminatorias_da_copa_do_mundo_fifa_de_1962 | estadio | *glasgow | eliminatorias_da_copa_do_mundo_fifa_de_1962 | estadio | *dublin] - [20.000 0.333 0.500]
33 20.833 [eliminatorias_da_copa_do_mundo_fifa_de_1958 | estadio | *dublin | eliminatorias_da_copa_do_mundo_fifa_de_1958 | estadio | *glasgow] - [20.000 0.333 0.500]
34 20.833 [eliminatorias_da_copa_do_mundo_fifa_de_1962 | estadio | *dublin | eliminatorias_da_copa_do_mundo_fifa_de_1962 | estadio | *glasgow] - [20.000 0.333 0.500]
35 20.833 [liga_dos_campeoes_da_uefa_de_201617__rodadas_de_qualificacao | estadio | *glasgow | liga_dos_campeoes_da_uefa_de_201617__rodadas_de_qualificacao | estadio | *dublin] - [20.000 0.333 0.500]
36 20.833 [africa) | rd2t1loc | *dublin | africa) | rd2t3loc | *glasgow] - [20.000 0.333 0.500]
37 20.833 [eliminatorias_da_copa_do_mundo_fifa_de_1954 | estadio | *dublin | eliminatorias_da_copa_do_mundo_fifa_de_1954 | estadio | *glasgow] - [20.000 0.333 0.500]
38 20.833 [eliminatorias_da_copa_do_mundo_fifa_de_1958 | estadio | *glasgow | eliminatorias_da_copa_do_mundo_fifa_de_1958 | estadio | *dublin] - [20.000 0.333 0.500]
39 20.833 [eliminatorias_da_copa_do_mundo_fifa_de_1954 | estadio | *glasgow | eliminatorias_da_copa_do_mundo_fifa_de_1954 | estadio | *dublin] - [20.000 0.333 0.500]
40 20.833 [copa_heineken_2007_08 | stadium | *dublin | copa_heineken_2007_08 | stadium | *glasgow] - [20.000 0.333 0.500]
41 20.833 [copa_heineken_2007_08 | stadium | *glasgow | copa_heineken_2007_08 | stadium | *dublin] - [20.000 0.333 0.500]
42 20.833 [africa) | rd1t6loc | *dublin | africa) | rd2t3loc | *glasgow] - [20.000 0.333 0.500]
43 20.833 [international_champions_cup_de_2016 | estadio | *dublin | international_champions_cup_de_2016 | estadio | *glasgow] - [20.000 0.333 0.500]
44 19.841 [copa_heineken_2005_06 | stadium | *dublin | copa_heineken_2005_06 | home | *glasgow rugby] - [19.007 0.333 0.500]
45 19.841 [copa_heineken_2005_06 | stadium | *dublin | copa_heineken_2005_06 | away | *glasgow rugby] - [19.007 0.333 0.500]
46 19.841 [liga_celta_de_rugby_de_2012_13 | lugardafinal | *dublin | liga_celta_de_rugby_de_2012_13 | away | *glasgow rugby] - [19.007 0.333 0.500]
47 19.841 [copa_heineken_2005_06 | home | *glasgow rugby | copa_heineken_2005_06 | stadium | *dublin] - [19.007 0.333 0.500]
48 19.841 [liga_celta_de_rugby_de_2012_13 | away | *glasgow rugby | liga_celta_de_rugby_de_2012_13 | lugardafinal | *dublin] - [19.007 0.333 0.500]
49 19.841 [copa_heineken_2005_06 | away | *glasgow rugby | copa_heineken_2005_06 | stadium | *dublin] - [19.007 0.333 0.500]
50 19.841 [copa_heineken_2012_13 | stadium | *dublin | copa_heineken_2012_13 | home | *glasgow rugby] - [19.007 0.333 0.500]
51 19.841 [copa_heineken_2012_13 | stadium | *dublin | copa_heineken_2012_13 | away | *glasgow rugby] - [19.007 0.333 0.500]
52 19.841 [copa_heineken_2002_03 | stadium | *dublin | copa_heineken_2002_03 | away | *glasgow rugby] - [19.007 0.333 0.500]
53 19.841 [copa_heineken_2002_03 | stadium | *dublin | copa_heineken_2002_03 | home | *glasgow rugby] - [19.007 0.333 0.500]
54 19.841 [copa_heineken_2012_13 | home | *glasgow rugby | copa_heineken_2012_13 | stadium | *dublin] - [19.007 0.333 0.500]
55 19.841 [copa_heineken_2012_13 | away | *glasgow rugby | copa_heineken_2012_13 | stadium | *dublin] - [19.007 0.333 0.500]
56 19.841 [copa_heineken_2002_03 | home | *glasgow rugby | copa_heineken_2002_03 | stadium | *dublin] - [19.007 0.333 0.500]
57 19.841 [copa_heineken_2012_13 | lugardafinal | *dublin | copa_heineken_2012_13 | home | *glasgow rugby] - [19.007 0.333 0.500]
58 19.841 [copa_heineken_2012_13 | lugardafinal | *dublin | copa_heineken_2012_13 | away | *glasgow rugby] - [19.007 0.333 0.500]
59 19.841 [copa_heineken_2002_03 | away | *glasgow rugby | copa_heineken_2002_03 | stadium | *dublin] - [19.007 0.333 0.500]
60 19.841 [copa_heineken_2012_13 | home | *glasgow rugby | copa_heineken_2012_13 | lugardafinal | *dublin] - [19.007 0.333 0.500]
61 19.841 [copa_heineken_2002_03 | lugardafinal | *dublin | copa_heineken_2002_03 | away | *glasgow rugby] - [19.007 0.333 0.500]
62 19.841 [copa_heineken_2002_03 | lugardafinal | *dublin | copa_heineken_2002_03 | home | *glasgow rugby] - [19.007 0.333 0.500]
63 19.841 [copa_heineken_2012_13 | away | *glasgow rugby | copa_heineken_2012_13 | lugardafinal | *dublin] - [19.007 0.333 0.500]
64 19.841 [copa_heineken_2002_03 | home | *glasgow rugby | copa_heineken_2002_03 | lugardafinal | *dublin] - [19.007 0.333 0.500]
65 19.841 [copa_heineken_2002_03 | away | *glasgow rugby | copa_heineken_2002_03 | lugardafinal | *dublin] - [19.007 0.333 0.500]
66 19.841 [copa_heineken_2004_05 | stadium | *dublin | copa_heineken_2004_05 | home | *glasgow rugby] - [19.007 0.333 0.500]
67 19.841 [copa_heineken_2004_05 | stadium | *dublin | copa_heineken_2004_05 | away | *glasgow rugby] - [19.007 0.333 0.500]
68 19.841 [copa_heineken_2004_05 | home | *glasgow rugby | copa_heineken_2004_05 | stadium | *dublin] - [19.007 0.333 0.500]
69 19.841 [copa_heineken_2004_05 | away | *glasgow rugby | copa_heineken_2004_05 | stadium | *dublin] - [19.007 0.333 0.500]
70 19.572 [*dublinenses | idioma | lingua_inglesa | *traveler | idioma | lingua_inglesa] - [18.738 0.333 0.500]
71 19.572 [*traveler | idioma | lingua_inglesa | *dublinenses | idioma | lingua_inglesa] - [18.738 0.333 0.500]
72 19.429 [*glasgow_village | latp | n | *dublin | latp | n] - [18.596 0.333 0.500]
73 19.429 [*dublin | latp | n | *glasgow_village | latp | n] - [18.596 0.333 0.500]
74 19.232 [anthony_bourdain:_no_reservations | emissoraorig | *travel channel | anthony_bourdain:_no_reservations | shortsummary | *dublin] - [18.399 0.333 0.500]
75 19.232 [*dublin | latp | n | *travelers_rest | latp | n] - [18.399 0.333 0.500]
76 19.232 [anthony_bourdain:_no_reservations | shortsummary | *dublin | anthony_bourdain:_no_reservations | emissoraorig | *travel channel] - [18.399 0.333 0.500]
77 19.232 [*travelers_rest | latp | n | *dublin | latp | n] - [18.399 0.333 0.500]
78 19.209 [copa_heineken_2007_08 | home | *glasgow warriors | copa_heineken_2007_08 | stadium | *dublin] - [18.375 0.333 0.500]
79 19.209 [liga_celta_de_rugby_de_2011_12 | lugardafinal | *dublin | liga_celta_de_rugby_de_2011_12 | away | *glasgow warriors] - [18.375 0.333 0.500]
80 19.209 [copa_heineken_2007_08 | away | *glasgow warriors | copa_heineken_2007_08 | stadium | *dublin] - [18.375 0.333 0.500]
81 19.209 [copa_heineken_1998_99 | home | *glasgow warriors | copa_heineken_1998_99 | stadium | *dublin] - [18.375 0.333 0.500]
82 19.209 [copa_heineken_1998_99 | away | *glasgow warriors | copa_heineken_1998_99 | stadium | *dublin] - [18.375 0.333 0.500]
83 19.209 [liga_celta_de_rugby_de_2011_12 | away | *glasgow warriors | liga_celta_de_rugby_de_2011_12 | lugardafinal | *dublin] - [18.375 0.333 0.500]
84 19.209 [copa_heineken_1998_99 | lugardafinal | *dublin | copa_heineken_1998_99 | away | *glasgow warriors] - [18.375 0.333 0.500]
85 19.209 [copa_heineken_1998_99 | lugardafinal | *dublin | copa_heineken_1998_99 | home | *glasgow warriors] - [18.375 0.333 0.500]
86 19.209 [copa_heineken_1998_99 | home | *glasgow warriors | copa_heineken_1998_99 | lugardafinal | *dublin] - [18.375 0.333 0.500]
87 19.209 [copa_heineken_1998_99 | away | *glasgow warriors | copa_heineken_1998_99 | lugardafinal | *dublin] - [18.375 0.333 0.500]
88 19.209 [copa_heineken_2011_12 | stadium | *dublin | copa_heineken_2011_12 | away | *glasgow warriors] - [18.375 0.333 0.500]
89 19.209 [copa_heineken_2011_12 | stadium | *dublin | copa_heineken_2011_12 | home | *glasgow warriors] - [18.375 0.333 0.500]
90 19.209 [copa_heineken_2011_12 | home | *glasgow warriors | copa_heineken_2011_12 | stadium | *dublin] - [18.375 0.333 0.500]
91 19.209 [copa_heineken_2011_12 | away | *glasgow warriors | copa_heineken_2011_12 | stadium | *dublin] - [18.375 0.333 0.500]
92 19.209 [copa_heineken_2007_08 | stadium | *dublin | copa_heineken_2007_08 | away | *glasgow warriors] - [18.375 0.333 0.500]
93 19.209 [copa_heineken_2007_08 | stadium | *dublin | copa_heineken_2007_08 | home | *glasgow warriors] - [18.375 0.333 0.500]
94 19.209 [copa_heineken_1998_99 | stadium | *dublin | copa_heineken_1998_99 | away | *glasgow warriors] - [18.375 0.333 0.500]
95 19.209 [copa_heineken_1998_99 | stadium | *dublin | copa_heineken_1998_99 | home | *glasgow warriors] - [18.375 0.333 0.500]
