
Melhores respostas:
0 15.449 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | abdula_ibne_al_zubair | *localmorte | *meca] - [13.949 0.500 1.000]
1 15.050 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | abu_bakr | *localnascimento | *meca] - [13.550 0.500 1.000]
2 15.050 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | eisa_majrashi | *localnascimento | *meca] - [13.550 0.500 1.000]
3 14.876 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | talal_da_jordania | *localdenascimento | *meca] - [13.376 0.500 1.000]
4 14.876 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | abdullah_i_da_jordania | *localdenascimento | *meca] - [13.376 0.500 1.000]

Lista de triplas candidatas a resposta: 
0 15.449 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | abdula_ibne_al_zubair | *localmorte | *meca] - [13.949 0.500 1.000]
1 15.449 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | *meca | *localidade | *meca] - [13.949 0.500 1.000]
2 15.449 [*meca | *localidade | *meca | *meca | tiposubdivisao | *provincias_da_arabia_saudita] - [13.949 0.500 1.000]
3 15.050 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | amir_ibne_alas | *nascimentolocal | *meca] - [13.550 0.500 1.000]
4 15.050 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | iazide_ibne_abi_sufiane | *nascimentolocal | *meca] - [13.550 0.500 1.000]
5 15.050 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | abu_bakr | *localnascimento | *meca] - [13.550 0.500 1.000]
6 15.050 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | hind_bint_utbah | *nascimentolocal | *meca] - [13.550 0.500 1.000]
7 15.050 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | eisa_majrashi | *localnascimento | *meca] - [13.550 0.500 1.000]
8 15.050 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | abu_sufiane_ibne_harbe | *nascimentolocal | *meca] - [13.550 0.500 1.000]
9 15.050 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | sa%60d_ibn_abi_waqqas | *nascimentolocal | *meca] - [13.550 0.500 1.000]
10 14.876 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | talal_da_jordania | *localdenascimento | *meca] - [13.376 0.500 1.000]
11 14.876 [*meca | tiposubdivisao | *provincias_da_arabia_saudita | abdullah_i_da_jordania | *localdenascimento | *meca] - [13.376 0.500 1.000]
12 14.423 [tomada_da_grande_mesquita | *local | *meca,] - [12.756 0.667 1.000]
13 14.423 [abraj_al_bait | *localizacao | *meca,] - [12.756 0.667 1.000]
14 14.360 [*premeca | *distrito | *moravica_(distrito) | *premeca | *provincia | servia_central] - [12.860 0.500 1.000]
15 14.360 [*premeca | *provincia | servia_central | *premeca | *distrito | *moravica_(distrito)] - [12.860 0.500 1.000]
16 14.340 [abdula_ibne_al_zubair | *localmorte | *meca] - [12.674 0.667 1.000]
17 14.340 [*meca | *localidade | *meca] - [12.674 0.667 1.000]
18 14.229 [*premeca | publicado | *maplandia.com | *premeca | *provincia | servia_central] - [12.729 0.500 1.000]
19 14.229 [*premeca | *provincia | servia_central | *premeca | publicado | *maplandia.com] - [12.729 0.500 1.000]
20 14.183 [*meca | titulo | *what life was like in the lands of the prophet: islamic world, ad 570  1405 | abdula_ibne_al_zubair | *localmorte | *meca] - [12.683 0.500 1.000]
21 14.183 [*meca | titulo | *what life was like in the lands of the prophet: islamic world, ad 570  1405 | *meca | *localidade | *meca] - [12.683 0.500 1.000]
