
Melhores respostas:
0 15.901 [universo_z | *empproducao | super_8_producoes | universo_z | *produtorexecutivo | *rose_franca] - [14.401 0.500 1.000]

Lista de triplas candidatas a resposta: 
0 15.901 [universo_z | *empproducao | super_8_producoes | universo_z | *produtorexecutivo | *rose_franca] - [14.401 0.500 1.000]
1 15.901 [universo_z | *produtorexecutivo | *rose_franca | universo_z | *empproducao | super_8_producoes] - [14.401 0.500 1.000]
2 14.667 [o_rei_leao_(musical) | *producao | *franca] - [13.000 0.667 1.000]
3 14.333 [*franca | longitude | 2 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
4 14.333 [*franca | diferencauctverao | +2 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
5 14.333 [*franca | websitegoverno | 175 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
6 14.333 [*franca | fusohorario | central_european_time | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
7 14.333 [*franca | imagembandeira | flag of france.svg | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
8 14.333 [balada_triste_de_trompeta | pais | *franca | balada_triste_de_trompeta | *producao | adrian politowski] - [13.000 0.333 1.000]
9 14.333 [*franca | mesorregiao | mesorregiao_de_ribeirao_preto | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
10 14.333 [*franca | pibnominaltotal | * | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
11 14.333 [*franca | rodape | 1 nos territorios franceses do oceano pacifico, a moeda corrente e o franco cfp. | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
12 14.333 [*franca | bars | --10-05 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
13 14.333 [*franca | titlebar | #ddd | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
14 14.333 [the_imaginarium_of_doctor_parnassus | pais | *franca | the_imaginarium_of_doctor_parnassus | *producao | samuel_hadida] - [13.000 0.333 1.000]
15 14.333 [la_tete_en_friche | *producao | louis becker | la_tete_en_friche | pais | *franca] - [13.000 0.333 1.000]
16 14.333 [*franca | lonm | 24 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
17 14.333 [*franca | lons | 3 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
18 14.333 [*franca | pibpercapita | 21804.85 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
19 14.333 [*franca | densidadepos | 89 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
20 14.333 [*franca | pibpercapitapos | 24 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
21 14.333 [*franca | organizacoes | uniao_da_europa_ocidental | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
22 14.333 [*franca | preposicao | da | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
23 14.333 [*franca | latm | 32 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
24 14.333 [*franca | areatotal | 543965 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
25 14.333 [*franca | populacaoestimada | 65447374 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
26 14.333 [*franca | moeda | franco_cfp | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
27 14.333 [*franca | fimmandato | 2016 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
28 14.333 [*franca | dataidh | 2010 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
29 14.333 [*franca | site | 175 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
30 14.333 [*franca | long | 47 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
31 14.333 [atomik_circus | *producao | claude letessier | atomik_circus | pais | *franca] - [13.000 0.333 1.000]
32 14.333 [*franca | mapa | france - location map  - fra - unocha.svg | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
33 14.333 [*franca | datapib | ibge | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
34 14.333 [*franca | organizacoes | organizacao_mundial_do_comercio | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
35 14.333 [*franca | organizacoes | francofonia | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
36 14.333 [*franca | organizacoes | g8 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
37 14.333 [*franca | organizacoes | ocde | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
38 14.333 [*franca | organizacoes | clube_de_paris | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
39 14.333 [*franca | moeda | euro | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
40 14.333 [*franca | datapib | 2013 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
41 14.333 [*franca | preposicao | de | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
42 14.333 [*franca | organizacoes | uniao_europeia | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
43 14.333 [*franca | organizacoes | g20_maiores_economias | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
44 14.333 [*franca | datamesorregiao | ibge | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
45 14.333 [*franca | datamesorregiao | 2008 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
46 14.333 [*franca | organizacoes | conselho_da_europa | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
47 14.333 [a_rainha | pais | *franca | a_rainha | *producao | tracey seaward] - [13.000 0.333 1.000]
48 14.333 [*franca | idhpos | lista_de_municipios_de_sao_paulo_por_idh | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
49 14.333 [*franca | localizacao | france in european union.svg | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
50 14.333 [*franca | lema | liberte, egalite, fraternite | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
51 14.333 [*franca | hino | la marseillaise | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
52 14.333 [*franca | datapop | estimativa populacional ibge/2016 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
53 14.333 [cela_211 | *producao | juan gordon | cela_211 | pais | *franca] - [13.000 0.333 1.000]
54 14.333 [*franca | hino | ficheiro:la_marseillaise.ogg | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
55 14.333 [*franca | lema | g(entile meae paulistae fidelis ) | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
56 14.333 [*franca | latitude | 48 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
57 14.333 [*franca | dataentradaue | 25 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
58 14.333 [*franca | left | religiao | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
59 14.333 [*franca | areapos | 40 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
60 14.333 [*franca | pibppcano | 2014 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
61 14.333 [*franca | localizacaolegenda | no continente europeu | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
62 14.333 [*franca | pibnominalpercapitapos | 20 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
63 14.333 [*franca | lonp | o | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
64 14.333 [*franca | latg | 20 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
65 14.333 [*franca | localizacaolegenda | na uniao europeia  290px | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
66 14.333 [o_rei_leao_(musical) | *producao | *franca | o_rei_leao_(musical) | *producao | 1998] - [13.000 0.333 1.000]
67 14.333 [o_rei_leao_(musical) | *producao | *franca | o_rei_leao_(musical) | *producao | londres] - [13.000 0.333 1.000]
68 14.333 [o_rei_leao_(musical) | *producao | londres | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
69 14.333 [*franca | vizinhos | norte:cristais paulista\n\nsul: patrocinio paulista ,restinga , batatais\n\nleste: claraval-mg e ibiraci-mg\n\noeste:ribeirao corrente e sao jose da bela vista. | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
70 14.333 [o_rei_leao_(musical) | *producao | 1998 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
71 14.333 [*franca | area | 607333 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
72 14.333 [*franca | idh | 780 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
73 14.333 [*franca | capital | paris | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
74 14.333 [*franca | tipogoverno | republica | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
75 14.333 [*franca | idh | 0.888 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
76 14.333 [*franca | partido | partido_da_social_democracia_brasileira | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
77 14.333 [*franca | tipogoverno | semipresidencialismo | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
78 14.333 [*franca | moedaiso | eur | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
79 14.333 [*franca | tipogoverno | estado_unitario | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
80 14.333 [*franca | right | porcentagem | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
81 14.333 [*franca | tamanhomapa | 280 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
82 14.333 [*franca | capitallink | sao paulo | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
83 14.333 [*franca | evento | estado | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
84 14.333 [bugatti_veyron | *producao | 2009 | bugatti_veyron | matriz | *franca] - [13.000 0.333 1.000]
85 14.333 [*franca | pibtotal | * | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
86 14.333 [*franca | fusohorariodst | central_european_summer_time | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
87 14.333 [*franca | pibpos | 9 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
88 14.333 [*franca | nomelider | francois_hollande | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
89 14.333 [*franca | nomelider | gerard_larcher | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
90 14.333 [*franca | codigopais | fra | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
91 14.333 [*franca | eventodata | 843 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
92 14.333 [*franca | tld | .fr | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
93 14.333 [*franca | pibpos | lista_de_municipios_do_brasil_por_pib | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
94 14.333 [*franca | eventodata | 1958 | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
95 14.333 [*franca | nomelider | manuel_valls | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
96 14.333 [paris | pais | *franca | jesus_christ_superstar | *producao | paris] - [13.000 0.333 1.000]
97 14.333 [balada_triste_de_trompeta | *producao | adrian politowski | balada_triste_de_trompeta | pais | *franca] - [13.000 0.333 1.000]
98 14.333 [bugatti_veyron | matriz | *franca | bugatti_veyron | *producao | 2009] - [13.000 0.333 1.000]
99 14.333 [*franca | datamicrorregiao | ibge | o_rei_leao_(musical) | *producao | *franca] - [13.000 0.333 1.000]
